2026/07/14 17:59:25 maxprocs: Leaving GOMAXPROCS=4: CPU quota undefined
[Current] DELIVERY - Takes(s): 8.7, Count: 148, TPM: 1026.3, Sum(ms): 43410.2, Avg(ms): 293.3, 50th(ms): 285.2, 90th(ms): 402.7, 95th(ms): 520.1, 99th(ms): 704.6, 99.9th(ms): 738.2, Max(ms): 738.2
[Current] NEW_ORDER - Takes(s): 8.7, Count: 1662, TPM: 11505.6, Sum(ms): 364843.5, Avg(ms): 219.5, 50th(ms): 209.7, 90th(ms): 302.0, 95th(ms): 369.1, 99th(ms): 738.2, 99.9th(ms): 805.3, Max(ms): 838.9
[Current] ORDER_STATUS - Takes(s): 8.9, Count: 158, TPM: 1070.2, Sum(ms): 10212.0, Avg(ms): 64.7, 50th(ms): 56.6, 90th(ms): 121.6, 95th(ms): 134.2, 99th(ms): 209.7, 99.9th(ms): 335.5, Max(ms): 335.5
[Current] PAYMENT - Takes(s): 8.8, Count: 1605, TPM: 10885.1, Sum(ms): 153696.4, Avg(ms): 95.8, 50th(ms): 79.7, 90th(ms): 159.4, 95th(ms): 201.3, 99th(ms): 453.0, 99.9th(ms): 536.9, Max(ms): 704.6
[Current] STOCK_LEVEL - Takes(s): 8.8, Count: 151, TPM: 1032.0, Sum(ms): 4881.7, Avg(ms): 32.3, 50th(ms): 19.9, 90th(ms): 75.5, 95th(ms): 88.1, 99th(ms): 100.7, 99.9th(ms): 369.1, Max(ms): 369.1
[Current] DELIVERY - Takes(s): 10.0, Count: 175, TPM: 1053.6, Sum(ms): 44745.5, Avg(ms): 255.8, 50th(ms): 251.7, 90th(ms): 302.0, 95th(ms): 335.5, 99th(ms): 453.0, 99.9th(ms): 536.9, Max(ms): 536.9
[Current] NEW_ORDER - Takes(s): 10.0, Count: 2075, TPM: 12453.4, Sum(ms): 432121.7, Avg(ms): 208.3, 50th(ms): 209.7, 90th(ms): 285.2, 95th(ms): 318.8, 99th(ms): 385.9, 99.9th(ms): 503.3, Max(ms): 536.9
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 179, TPM: 1079.2, Sum(ms): 7514.3, Avg(ms): 42.1, 50th(ms): 39.8, 90th(ms): 71.3, 95th(ms): 83.9, 99th(ms): 92.3, 99.9th(ms): 100.7, Max(ms): 100.7
[Current] PAYMENT - Takes(s): 10.0, Count: 1824, TPM: 10948.8, Sum(ms): 150106.4, Avg(ms): 82.3, 50th(ms): 75.5, 90th(ms): 117.4, 95th(ms): 142.6, 99th(ms): 226.5, 99.9th(ms): 302.0, Max(ms): 352.3
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 148, TPM: 890.5, Sum(ms): 2645.7, Avg(ms): 17.9, 50th(ms): 15.7, 90th(ms): 26.2, 95th(ms): 31.5, 99th(ms): 56.6, 99.9th(ms): 56.6, Max(ms): 56.6
[Current] DELIVERY - Takes(s): 9.9, Count: 184, TPM: 1112.0, Sum(ms): 45467.9, Avg(ms): 247.6, 50th(ms): 243.3, 90th(ms): 302.0, 95th(ms): 335.5, 99th(ms): 369.1, 99.9th(ms): 604.0, Max(ms): 604.0
