Linux 4.18.0-425.3.1.el8.x86_64 (l-dbm-labroom-1) 	西元2026年07月18日 	_x86_64_	(4 CPU)

01時20分22秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01時20分23秒  all   34.17    0.00   18.59    0.00    0.75    0.50    0.00    0.00    0.00   45.98
01時20分24秒  all   31.39    0.00   22.53    0.00    0.51    0.51    0.00    0.00    0.00   45.06
01時20分25秒  all   29.87    0.00   22.53    0.00    0.51    0.51    0.00    0.00    0.00   46.58
01時20分26秒  all   27.75    0.00   15.50    0.00    0.75    0.50    0.00    0.00    0.00   55.50
01時20分27秒  all   32.83    0.00   21.97    0.00    0.51    0.51    0.00    0.00    0.00   44.19
01時20分28秒  all   29.57    0.00   21.80    0.00    0.75    0.50    0.00    0.00    0.00   47.37
01時20分29秒  all   33.50    0.00   21.32    0.00    0.76    0.51    0.00    0.00    0.00   43.91
01時20分30秒  all   27.02    0.00   15.40    0.00    0.25    0.25    0.00    0.00    0.00   57.07
01時20分31秒  all   30.23    0.00   19.90    0.00    1.01    0.25    0.00    0.00    0.00   48.61
01時20分32秒  all   32.99    0.00   21.57    0.00    0.51    0.76    0.00    0.00    0.00   44.16
01時20分33秒  all   29.87    0.00   21.27    0.00    0.51    0.51    0.00    0.00    0.00   47.85
01時20分34秒  all   28.97    0.00   14.86    0.00    1.01    0.00    0.00    0.00    0.00   55.16
01時20分35秒  all   29.19    0.00   21.83    0.00    0.00    0.76    0.00    0.00    0.00   48.22
01時20分36秒  all   33.08    0.00   21.21    0.00    1.01    0.25    0.00    0.00    0.00   44.44
01時20分37秒  all   28.46    0.00   21.66    0.00    0.76    0.76    0.00    0.00    0.00   48.36
01時20分38秒  all   24.62    0.00    9.90    0.00    0.25    0.25    0.00    0.00    0.00   64.97
01時20分39秒  all   31.65    0.00   22.28    0.00    1.01    0.25    0.00    0.00    0.00   44.81
01時20分40秒  all   30.40    0.00   21.36    0.00    0.25    0.75    0.00    0.00    0.00   47.24
01時20分41秒  all   31.65    0.00   21.77    0.00    0.76    0.25    0.00    0.00    0.00   45.57
01時20分42秒  all   25.63    0.00   11.31    0.00    0.50    0.25    0.00    0.00    0.00   62.31
01時20分43秒  all   26.26    0.00   14.90    0.00    0.51    0.51    0.00    0.00    0.00   57.83
01時20分44秒  all   33.25    0.00   21.41    0.00    1.01    0.25    0.00    0.00    0.00   44.08
01時20分45秒  all   29.55    0.00   21.97    0.00    0.25    0.76    0.00    0.00    0.00   47.47
01時20分46秒  all   31.12    0.00   21.68    0.00    0.77    0.26    0.00    0.00    0.00   46.17
01時20分47秒  all   27.20    0.00   10.83    0.00    0.76    0.25    0.00    0.00    0.00   60.96
01時20分48秒  all   27.85    0.00   17.97    0.00    0.25    0.51    0.00    0.00    0.00   53.42
01時20分49秒  all   32.00    0.00   22.25    0.00    1.00    0.25    0.00    0.00    0.00   44.50
01時20分50秒  all   29.11    0.00   22.28    0.00    0.25    0.76    0.00    0.00    0.00   47.59
