Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年07月18日 	_x86_64_	(4 CPU)

00時14分36秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00時14分37秒  all    1.00    0.00    1.00    0.25    0.25    0.00    0.00    0.00    0.00   97.50
00時14分38秒  all    0.76    0.00    0.25    0.00    0.25    0.25    0.00    0.00    0.00   98.49
00時14分39秒  all    1.00    0.00    0.50    0.25    0.00    0.00    0.00    0.00    0.00   98.25
00時14分40秒  all    2.27    0.00    2.27    0.25    0.50    0.25    0.00    0.00    0.00   94.46
00時14分41秒  all    1.01    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   98.48
00時14分42秒  all    0.50    0.00    0.50    0.00    0.50    0.00    0.00    0.00    0.00   98.49
00時14分43秒  all    2.00    0.00    1.50    0.50    0.00    0.50    0.00    0.00    0.00   95.50
00時14分44秒  all    0.75    0.00    0.75    0.00    0.25    0.00    0.00    0.00    0.00   98.24
00時14分45秒  all    0.51    0.00    0.51    0.00    0.25    0.00    0.00    0.00    0.00   98.73
00時14分46秒  all    0.50    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   98.49
00時14分47秒  all    1.00    0.00    0.25    0.50    0.50    0.00    0.00    0.00    0.00   97.76
00時14分48秒  all    1.25    0.00    0.75    0.00    0.00    0.50    0.00    0.00    0.00   97.50
00時14分49秒  all    0.76    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.99
00時14分50秒  all    1.50    0.00    0.75    0.00    0.25    0.00    0.00    0.00    0.00   97.50
00時14分51秒  all    0.75    0.00    1.00    0.25    0.25    0.25    0.00    0.00    0.00   97.50
00時14分52秒  all    0.75    0.00    0.25    0.25    0.25    0.25    0.00    0.00    0.00   98.24
00時14分53秒  all    1.00    0.00    0.75    0.50    0.50    0.00    0.00    0.00    0.00   97.24
00時14分54秒  all    1.01    0.00    0.25    0.00    0.00    0.50    0.00    0.00    0.00   98.24
00時14分55秒  all    0.25    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   98.99
00時14分56秒  all    1.00    0.00    0.75    0.00    0.25    0.00    0.00    0.00    0.00   97.99
00時14分57秒  all    0.75    0.00    0.50    0.25    0.25    0.00    0.00    0.00    0.00   98.24
00時14分58秒  all    1.25    0.00    0.50    0.50    0.25    0.25    0.00    0.00    0.00   97.25
00時14分59秒  all    0.50    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   98.74
00時15分00秒  all    1.50    0.00    0.50    0.00    0.25    0.25    0.00    0.00    0.00   97.49
00時15分01秒  all    1.01    0.00    1.01    0.00    0.50    0.25    0.00    0.00    0.00   97.24
00時15分02秒  all    1.01    0.00    0.50    0.00    0.25    0.00    0.00    0.00    0.00   98.24
00時15分03秒  all    1.27    0.00    0.76    0.25    0.00    0.00    0.00    0.00    0.00   97.72
00時15分04秒  all    1.49    0.00    0.74    0.00    0.25    0.50    0.00    0.00    0.00   97.02
00時15分05秒  all   48.38    0.00    6.48    4.49    1.00    2.49    0.00    0.00    0.00   37.16
00時15分06秒  all   71.18    0.00    9.52   11.53    1.00    3.01    0.00    0.00    0.00    3.76
00時15分07秒  all   69.29    0.00   11.68    6.85    0.76    2.28    0.00    0.00    0.00    9.14
00時15分08秒  all   72.14    0.00    7.71   10.70    1.24    3.23    0.00    0.00    0.00    4.98
00時15分09秒  all   74.44    0.00    7.27   12.28    0.75    3.01    0.00    0.00    0.00    2.26
00時15分10秒  all   72.43    0.00    9.02    5.51    1.25    2.76    0.00    0.00    0.00    9.02
00時15分11秒  all   71.68    0.00    8.27   10.78    1.00    3.01    0.00    0.00    0.00    5.26
00時15分12秒  all   71.00    0.00    7.75    8.75    1.25    2.75    0.00    0.00    0.00    8.50
00時15分13秒  all   72.18    0.00    6.77    7.52    1.00    2.76    0.00    0.00    0.00    9.77
00時15分14秒  all   76.71    0.00    7.09    7.85    0.51    2.28    0.00    0.00    0.00    5.57
00時15分15秒  all   71.64    0.00    8.71    6.47    1.24    2.99    0.00    0.00    0.00    8.96
00時15分16秒  all   71.28    0.00    7.05    8.06    1.01    2.52    0.00    0.00    0.00   10.08
00時15分17秒  all   74.69    0.00    7.27    7.52    1.00    2.76    0.00    0.00    0.00    6.77
00時15分18秒  all   73.25    0.00    7.00   11.50    1.00    3.00    0.00    0.00    0.00    4.25
00時15分19秒  all   71.64    0.00    7.21   11.19    1.24    2.99    0.00    0.00    0.00    5.72
00時15分20秒  all   75.06    0.00    6.55   11.08    1.01    2.27    0.00    0.00    0.00    4.03
00時15分21秒  all   71.79    0.00    8.31    6.05    0.76    2.77    0.00    0.00    0.00   10.33
00時15分22秒  all   72.07    0.00    6.98    8.73    1.00    2.99    0.00    0.00    0.00    8.23
00時15分23秒  all   72.89    0.00    6.72   10.70    1.00    2.74    0.00    0.00    0.00    5.97
00時15分24秒  all   74.37    0.00    6.53   11.06    1.01    2.76    0.00    0.00    0.00    4.27
00時15分25秒  all   73.05    0.00    7.56   12.09    1.26    3.02    0.00    0.00    0.00    3.02
00時15分26秒  all   72.50    0.00    6.75    9.00    1.25    2.50    0.00    0.00    0.00    8.00
00時15分27秒  all   74.06    0.00    7.23    7.73    0.50    2.74    0.00    0.00    0.00    7.73
00時15分28秒  all   72.29    0.00    6.80    8.56    1.01    2.27    0.00    0.00    0.00    9.07
00時15分29秒  all   72.50    0.00    8.00    8.00    1.00    2.75    0.00    0.00    0.00    7.75
00時15分30秒  all   74.62    0.00    7.04   12.81    1.01    3.02    0.00    0.00    0.00    1.51
00時15分31秒  all   74.81    0.00    7.90    9.38    1.23    2.72    0.00    0.00    0.00    3.95
00時15分32秒  all   72.66    0.00    7.85    8.86    0.76    2.78    0.00    0.00    0.00    7.09
00時15分33秒  all   71.75    0.00    7.50    7.75    1.00    2.75    0.00    0.00    0.00    9.25
00時15分34秒  all   71.93    0.00    7.27    8.02    1.00    2.51    0.00    0.00    0.00    9.27
00時15分35秒  all   70.68    0.00    8.02   12.53    1.00    2.51    0.00    0.00    0.00    5.26
00時15分36秒  all   72.80    0.00    7.56    8.56    1.01    3.02    0.00    0.00    0.00    7.05
00時15分37秒  all   74.00    0.00    7.75    8.00    1.00    2.75    0.00    0.00    0.00    6.50
00時15分38秒  all   75.82    0.00    7.56   12.85    1.01    2.77    0.00    0.00    0.00    0.00
00時15分39秒  all   73.63    0.00    8.71   13.68    1.00    2.99    0.00    0.00    0.00    0.00
00時15分40秒  all   74.94    0.00    7.27   13.78    1.25    2.76    0.00    0.00    0.00    0.00
00時15分41秒  all   74.87    0.00    7.04   10.30    0.75    2.51    0.00    0.00    0.00    4.52
00時15分42秒  all   72.54    0.00    6.80   10.08    0.76    2.27    0.00    0.00    0.00    7.56
00時15分43秒  all   71.75    0.00    9.50   11.25    1.25    2.25    0.00    0.00    0.00    4.00
00時15分44秒  all   71.75    0.00    8.00    8.00    1.00    2.50    0.00    0.00    0.00    8.75
00時15分45秒  all   76.44    0.00    7.52    9.02    0.75    2.76    0.00    0.00    0.00    3.51
00時15分46秒  all   75.19    0.00    7.85   12.91    1.01    3.04    0.00    0.00    0.00    0.00
00時15分47秒  all   74.94    0.00    7.94   12.66    1.24    2.98    0.00    0.00    0.00    0.25
00時15分48秒  all   75.31    0.00    7.73   12.72    1.00    2.49    0.00    0.00    0.00    0.75
00時15分49秒  all   71.11    0.00    7.79   12.06    1.01    2.26    0.00    0.00    0.00    5.78
00時15分50秒  all   72.36    0.00    8.04    5.53    1.01    3.02    0.00    0.00    0.00   10.05
00時15分51秒  all   73.32    0.00    7.73   11.97    1.25    3.24    0.00    0.00    0.00    2.49
00時15分52秒  all   76.63    0.00    7.04   12.31    1.01    2.51    0.00    0.00    0.00    0.50
00時15分53秒  all   74.49    0.00    6.82   13.38    0.76    2.53    0.00    0.00    0.00    2.02
00時15分54秒  all   74.62    0.00    7.29   14.07    1.01    3.02    0.00    0.00    0.00    0.00
00時15分55秒  all   73.75    0.00    8.00   13.25    1.25    2.75    0.00    0.00    0.00    1.00
00時15分56秒  all   76.32    0.00    7.05   12.59    1.01    2.77    0.00    0.00    0.00    0.25
00時15分57秒  all   75.19    0.00    7.77   12.78    1.00    3.01    0.00    0.00    0.00    0.25
00時15分58秒  all   75.19    0.00    7.77   13.28    1.00    2.76    0.00    0.00    0.00    0.00
00時15分59秒  all   76.06    0.00    6.98    8.48    1.00    2.99    0.00    0.00    0.00    4.49
00時16分00秒  all   75.44    0.00    7.27    8.77    1.00    2.51    0.00    0.00    0.00    5.01
00時16分01秒  all   75.56    0.00    7.23   12.97    1.25    2.99    0.00    0.00    0.00    0.00
00時16分02秒  all   73.32    0.00    7.48   12.72    1.00    2.49    0.00    0.00    0.00    2.99
00時16分03秒  all   70.78    0.00    8.31   12.59    0.76    2.27    0.00    0.00    0.00    5.29
00時16分04秒  all   72.39    0.00    8.46    8.21    1.00    2.74    0.00    0.00    0.00    7.21
