ts_ns,query_type,latency_ms
1784306842943466095,select,442.256
1784306843391478132,update,418.180
1784306843918342645,select,390.258
1784306844314428608,update,419.429
1784306844842523705,select,402.810
1784306845251109625,update,429.566
1784306845789109992,select,404.916
1784306846199690888,update,409.955
1784306846718135872,select,393.382
1784306847117294974,update,417.992
1784306847643872035,select,399.506
1784306848049291079,update,401.229
1784306848559375779,select,402.915
1784306848967801316,update,417.810
1784306849494011526,select,402.888
1784306849902471245,update,418.049
1784306850428655396,select,396.033
1784306850830203002,update,416.425
1784306851354820105,select,393.363
1784306851753687236,update,410.039
1784306852271704380,select,390.240
1784306852667492978,update,426.107
1784306853202252817,select,404.102
1784306853611923267,update,408.894
1784306854129793527,select,403.862
1784306854539201758,update,421.087
1784306855068472822,select,400.066
1784306855474656432,update,400.493
1784306855983483631,select,396.116
1784306856384983120,update,419.691
1784306856912928691,select,394.313
1784306857312712492,update,413.857
1784306857834549630,select,404.171
1784306858244450583,update,405.307
1784306858757912453,select,384.821
1784306859148474941,update,413.985
1784306859670469114,select,405.549
1784306860081798981,update,433.989
1784306860624188799,select,393.838
1784306861024138015,update,423.363
1784306861556379557,select,402.746
1784306861965117485,update,432.132
1784306862505741983,select,399.060
1784306862910837588,update,432.696
1784306863452273930,select,405.083
1784306863863538879,update,413.763
1784306864385988037,select,414.232
1784306864805884416,update,424.354
1784306865338518759,select,412.362
1784306865756898334,update,439.699
1784306866304785551,select,405.109
1784306866715509968,update,432.090
1784306867256422979,select,395.038
1784306867657082233,update,411.558
1784306868176966392,select,404.661
1784306868587342041,update,407.051
1784306869102583427,select,396.418
1784306869504652158,update,427.101
1784306870040511441,select,400.291
1784306870446386398,update,426.997
1784306870981959636,select,395.840
1784306871383539601,update,415.972
1784306871908087982,select,400.086
1784306872313758512,update,415.840
1784306872837693022,select,431.396
1784306873274941115,update,418.412
1784306873802025312,select,417.361
1784306874225382327,update,417.843
1784306874751514957,select,400.393
1784306875157591658,update,429.774
1784306875695673950,select,410.996
1784306876112627799,update,435.621
1784306876656490351,select,400.379
1784306877062678316,update,432.708
1784306877603850777,select,401.195
1784306878010991079,update,441.567
1784306878561381378,select,391.767
1784306878958679457,update,444.656
1784306879511493292,select,400.656
1784306879917645163,update,481.807
1784306880507685328,select,390.958
1784306880904648774,update,433.034
1784306881446328808,select,397.402
1784306881849479948,update,438.801
1784306882396658428,select,402.659
1784306882805110699,update,437.405
1784306883351099245,select,382.573
1784306883739325547,update,415.658
1784306884263495844,select,396.722
1784306884665815948,update,426.408
1784306885200594594,select,397.784
1784306885604012410,update,443.647
1784306886155519555,select,402.838
1784306886564080037,update,434.217
1784306887107126383,select,413.518
1784306887526361452,update,444.932
1784306888080189191,select,400.386
1784306888486117411,update,438.129
1784306889032424205,select,412.124
1784306889450119663,update,434.663
1784306889993538991,select,404.321
1784306890403935159,update,438.934
1784306890951108199,select,405.184
1784306891362014761,update,434.673
1784306891905603717,select,393.662
1784306892305276536,update,430.558
1784306892844201577,select,401.341
1784306893251331468,update,561.649
1784306893921709518,select,419.340
1784306894346669325,update,426.725
1784306894882325311,select,410.352
1784306895298453321,update,438.186
1784306895845046908,select,400.783
1784306896251442563,update,524.384
1784306896884210105,select,403.613
1784306897293847742,update,423.106
1784306897825322119,select,404.623
1784306898235748426,update,455.805
1784306898799868960,select,415.220
1784306899220902517,update,435.269
1784306899764498010,select,399.117
1784306900169332839,update,450.416
1784306900728726750,select,410.173
1784306901144719450,update,435.485
1784306901688669707,select,401.479
1784306902096016210,update,420.607
