ts_ns,query_type,latency_ms
1784307634976661707,select,294.976
1784307635275507037,update,254.080
1784307635634303988,select,249.876
1784307635888016507,update,253.271
1784307636246159122,select,256.702
1784307636506196035,update,258.622
1784307636869375475,select,242.462
1784307637115934935,update,264.036
1784307637484756454,select,255.609
1784307637743561134,update,254.155
1784307638102894798,select,258.604
1784307638364970900,update,257.433
1784307638728142445,select,281.279
1784307639012947533,update,258.260
1784307639376212031,select,255.210
1784307639634677590,update,268.321
1784307640007941888,select,277.228
1784307640288661904,update,264.468
1784307640659065968,select,237.392
1784307640899816099,update,246.854
1784307641251288021,select,238.588
1784307641493143700,update,266.678
1784307641864831707,select,248.280
1784307642116225958,update,284.097
1784307642505405595,select,250.472
1784307642760154633,update,268.621
1784307643134523536,select,271.826
1784307643409947477,update,291.905
1784307643809950189,select,253.068
1784307644066747073,update,276.266
1784307644447724357,select,269.076
1784307644720509752,update,275.498
1784307645101535975,select,280.673
1784307645385393775,update,270.927
1784307645762213128,select,265.150
1784307646031562742,update,242.215
1784307646379042393,select,239.257
1784307646621753679,update,267.650
1784307646994391892,select,253.445
1784307647251609090,update,265.718
1784307647622870087,select,253.365
1784307647879383399,update,269.797
1784307648254661522,select,286.276
1784307648544560318,update,299.139
1784307648949574353,select,324.882
1784307649279149428,update,264.538
1784307649650280061,select,287.044
1784307649940679603,update,261.786
1784307650307578386,select,259.971
1784307650571309783,update,258.355
1784307650934728571,select,288.192
1784307651228295003,update,252.855
1784307651586431564,select,281.820
1784307651871907578,update,269.010
1784307652247715718,select,266.425
1784307652518353145,update,273.780
1784307652897107841,select,296.392
1784307653197551544,update,273.697
1784307653576212207,select,278.067
1784307653858628292,update,322.212
1784307654286946894,select,293.901
1784307654585247265,update,296.672
1784307654988422432,select,250.018
1784307655242251958,update,265.398
1784307655613529908,select,254.670
1784307655871881979,update,252.323
1784307656228469677,select,272.959
1784307656504761920,update,258.175
1784307656868475816,select,265.491
1784307657138070642,update,277.109
1784307657520462367,select,261.671
1784307657785597843,update,253.536
1784307658143931024,select,262.381
1784307658409539900,update,280.837
1784307658796145210,select,266.617
1784307659066731250,update,259.505
1784307659431340002,select,266.944
1784307659702102836,update,258.970
1784307660066763291,select,259.263
1784307660329960532,update,256.258
1784307660691520278,select,255.050
1784307660951132420,update,259.084
1784307661315470931,select,283.483
1784307661602543886,update,286.170
1784307661996542816,select,279.986
1784307662279589900,update,275.352
1784307662661677003,select,261.339
1784307662927057186,update,258.580
1784307663290435658,select,257.994
1784307663552395767,update,272.535
1784307663930035493,select,284.787
1784307664218388462,update,276.042
1784307664599634736,select,252.522
1784307664855932660,update,247.942
1784307665209583444,select,243.600
1784307665456926093,update,247.913
1784307665809853519,select,234.595
1784307666047853105,update,238.868
1784307666391957207,select,232.552
1784307666627702812,update,269.648
1784307667002192362,select,248.173
1784307667253390646,update,240.958
1784307667601110974,select,266.583
1784307667871331667,update,295.553
1784307668272358862,select,258.359
1784307668534793595,update,275.298
1784307668915918578,select,250.190
1784307669169660874,update,281.795
1784307669556969135,select,280.308
1784307669841566812,update,286.181
1784307670234590874,select,258.998
1784307670496841550,update,292.493
1784307670895846985,select,248.354
1784307671147444148,update,253.770
1784307671506634332,select,239.688
1784307671749751065,update,272.657
1784307672127325391,select,257.050
1784307672387952133,update,352.505
1784307672846999065,select,256.885
1784307673107544925,update,271.597
1784307673485974092,select,265.053
1784307673754288541,update,275.813
1784307674136102389,select,299.535
1784307674439445436,update,284.319
1784307674829804054,select,280.852
1784307675114421093,update,286.307
1784307675507062684,select,267.782
1784307675778503004,update,263.526
1784307676147927743,select,253.431
1784307676405079951,update,308.395
1784307676818793887,select,238.897
1784307677060966002,update,273.900
1784307677440597441,select,257.168
1784307677701147619,update,262.093
1784307678068430653,select,249.792
1784307678321807071,update,282.700
1784307678709863392,select,256.298
1784307678969613643,update,279.564
1784307679354035725,select,251.192
1784307679608577259,update,257.413
1784307679971479548,select,253.697
1784307680228816770,update,283.272
1784307680617292054,select,243.166
1784307680863927364,update,264.380
1784307681233712124,select,243.217
1784307681480489734,update,263.721
1784307681849205097,select,246.022
1784307682098702997,update,263.429
1784307682467570051,select,257.682
1784307682728725799,update,262.821
1784307683097223026,select,273.977
1784307683374765219,update,268.239
1784307683748776449,select,260.025
1784307684012714883,update,268.327
1784307684386828207,select,260.420
1784307684651172963,update,268.577
1784307685025088217,select,258.574
1784307685287315739,update,271.563
1784307685664531819,select,271.122
1784307685939745976,update,312.997
1784307686358885032,select,276.400
1784307686638742739,update,309.196
1784307687053416052,select,249.228
1784307687306097949,update,337.610
1784307687748571211,select,248.643
1784307688000680757,update,295.986
1784307688402797912,select,277.635
1784307688684431573,update,368.577
1784307689159338527,select,274.787
1784307689438087793,update,269.527
1784307689813199678,select,279.393
1784307690096931271,update,277.451
1784307690479762862,select,256.932
1784307690740283905,update,268.539
1784307691113892196,select,250.653
1784307691367784849,update,261.268
1784307691734209617,select,239.232
1784307691977702204,update,281.536
1784307692364415252,select,268.236
1784307692636110591,update,263.399
1784307693005332879,select,254.938
1784307693264205945,update,340.425
1784307693709772199,select,267.342
1784307693981017636,update,285.356
