ts_ns,query_type,latency_ms
1784281953193733227,select,17.302
1784281953216727977,update,42.241
1784281953368006134,select,13.473
1784281953387395298,update,24.540
1784281953520745050,select,13.270
1784281953540106594,update,24.604
1784281953672871690,select,12.610
1784281953690983736,update,23.849
1784281953823375844,select,13.390
1784281953842563519,update,23.397
1784281953974535933,select,12.388
1784281953992541433,update,24.596
1784281954126064149,select,12.953
1784281954144652643,update,23.767
1784281954276833017,select,13.247
1784281954295844736,update,23.525
1784281954427456971,select,12.586
1784281954445708890,update,23.800
1784281954578270035,select,13.430
1784281954597316636,update,24.257
1784281954730323160,select,13.074
1784281954749473856,update,23.210
1784281954880715326,select,13.297
1784281954899649465,update,23.775
1784281955032184928,select,13.248
1784281955051257969,update,23.675
1784281955183475442,select,12.982
1784281955202263200,update,23.241
1784281955333712182,select,14.520
1784281955353899336,update,27.019
1784281955489114420,select,13.268
1784281955507901963,update,23.787
1784281955639754833,select,13.249
1784281955659009179,update,23.541
1784281955791109491,select,13.305
1784281955809938918,update,23.241
1784281955941497831,select,13.918
1784281955961537382,update,23.952
1784281956094223884,select,12.687
1784281956112419517,update,24.483
1784281956245648841,select,13.392
1784281956264728769,update,23.152
1784281956396610471,select,12.904
1784281956415278696,update,22.668
1784281956547091070,select,13.313
1784281956566247984,update,23.926
1784281956698732947,select,13.605
1784281956718184348,update,23.492
1784281956849558045,select,13.826
1784281956868936987,update,24.746
1784281957002230098,select,13.576
1784281957021810257,update,24.095
1784281957154591950,select,12.721
1784281957172922096,update,23.996
1784281957305591003,select,13.819
1784281957325120851,update,23.959
1784281957457765390,select,13.180
1784281957476703832,update,23.963
1784281957609351976,select,12.623
1784281957627907078,update,23.101
1784281957759683997,select,13.286
1784281957779008215,update,24.342
1784281957912307095,select,13.098
1784281957931382004,update,25.456
1784281958065638578,select,13.442
1784281958084814751,update,23.661
1784281958216862007,select,13.625
1784281958236676724,update,24.134
1784281958369790291,select,12.774
1784281958388380963,update,23.381
1784281958520182614,select,12.605
1784281958538386310,update,23.496
1784281958670294428,select,12.461
1784281958688771679,update,23.877
1784281958821264557,select,13.136
1784281958840456713,update,23.777
1784281958972422862,select,12.870
1784281958991120203,update,24.185
1784281959124058134,select,12.956
1784281959142722403,update,23.567
1784281959274584660,select,12.932
1784281959293092492,update,24.451
1784281959425693211,select,13.050
1784281959444684804,update,23.685
1784281959576723128,select,12.765
1784281959595023378,update,23.474
1784281959726673902,select,12.283
1784281959744624942,update,24.663
1784281959877671553,select,13.110
1784281959896424609,update,24.983
1784281960029837990,select,14.441
1784281960050504522,update,23.781
1784281960183468692,select,13.119
1784281960202434102,update,23.964
1784281960334801990,select,13.421
1784281960353997846,update,24.443
1784281960487376007,select,12.797
1784281960505960534,update,24.305
1784281960639269957,select,12.067
1784281960656889909,update,23.241
1784281960789358544,select,13.372
1784281960808623295,update,23.990
1784281960941431078,select,13.840
1784281960961389874,update,25.264
1784281961095743926,select,12.751
