procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 11869048   3128 3562936    0    0    11   461   58  337  6  4 86  4  0
 0  0      0 11870592   3128 3562992    0    0     0    53 1580 2286  1  1 98  0  0
 0  0      0 11870656   3128 3562992    0    0     0    75 1415 2154  0  1 98  0  0
 0  0      0 11870880   3128 3562992    0    0     0    98 1606 2456  1  1 98  0  0
 0  0      0 11870912   3128 3562992    0    0     0     0 1220 1972  1  1 99  0  0
 0  0      0 11871104   3128 3562992    0    0     0    81 1646 2538  1  1 98  0  0
 0  0      0 11871168   3128 3562992    0    0     0    68 1394 2154  1  1 98  0  0
 0  0      0 11871392   3128 3562992    0    0     0    63 1538 2323  1  1 98  0  0
 0  0      0 11871488   3128 3562992    0    0     0    30 1494 2342  0  1 99  0  0
 0  0      0 11871616   3128 3562992    0    0     0    40 1639 2468  1  1 98  0  0
 0  0      0 11868864   3128 3562992    0    0     0   116 1778 2736  1  1 98  0  0
 0  0      0 11868832   3128 3562992    0    0     0    14 1197 1861  1  1 99  0  0
 0  0      0 11868928   3128 3562992    0    0     0    20 1342 2125  1  1 98  0  0
 0  0      0 11868992   3128 3562992    0    0     0    60 1402 2222  1  1 99  0  0
 0  0      0 11869184   3128 3562992    0    0     0    93 1720 2739  0  1 98  0  0
 0  0      0 11869312   3128 3562992    0    0     0    20 1444 2267  1  1 99  0  0
 3  0      0 11869504   3128 3562992    0    0     0   123 1555 2344  1  1 98  0  0
 0  0      0 11869568   3128 3562992    0    0     0   102 1605 2539  1  1 98  0  0
 0  0      0 11869728   3128 3562992    0    0     0    60 1630 2394  1  1 97  0  0
 0  0      0 11869856   3128 3562992    0    0     0    20 1646 2639  1  1 99  0  0
 0  0      0 11869920   3128 3562992    0    0     0    24 1285 2023  1  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 11870112   3128 3562992    0    0     0    87 1824 2867  1  1 98  1  0
 0  0      0 11870240   3128 3562992    0    0     0    10 1160 1810  0  1 99  0  0
 0  0      0 11870336   3128 3562992    0    0     0    40 1569 2494  1  1 98  0  0
 0  0      0 11870400   3128 3562992    0    0     0    50 1802 2917  0  1 99  0  0
 0  0      0 11870624   3128 3562992    0    0     0    67 1386 2188  1  1 98  0  0
 0  0      0 11870752   3128 3562992    0    0     0    51 1623 2556  1  1 98  0  0
 1  0      0 11870816   3128 3562992    0    0     0   244 1359 2100  1  1 98  0  0
 0  0      0 11870976   3128 3562992    0    0     0    58 1722 2747  1  1 98  0  0
 0  0      0 11871292   3128 3562992    0    0     0    30 1676 2602  1  1 98  0  0
 0  0      0 11871484   3128 3562992    0    0     0    10 1284 1965  0  1 99  0  0
 0  0      0 11871548   3128 3562992    0    0     0    99 1641 2509  1  1 98  0  0
 0  0      0 11871804   3128 3562992    0    0     0   111 1539 2365  0  1 98  0  0
 0  0      0 11871868   3128 3562992    0    0     0    20 1501 2345  1  1 98  0  0
 1  0      0 11871996   3128 3562992    0    0     0    58 1555 2473  1  1 98  0  0
 0  0      0 11872124   3128 3562992    0    0     0    80 1611 2502  1  1 99  0  0
 0  0      0 11872316   3128 3562992    0    0     0    88 1557 2401  0  1 98  0  0
 0  0      0 11872412   3128 3562992    0    0     0    31 1275 1956  1  1 99  0  0
 0  0      0 11872508   3128 3562992    0    0     0    54 1604 2525  1  1 98  0  0
 0  0      0 11872636   3128 3562992    0    0     0    59 1654 2532  1  1 98  0  0
 0  0      0 11872732   3128 3562992    0    0     0    30 1495 2295  1  1 98  0  0
 0  0      0 11872860   3128 3562992    0    0     0    60 1444 2214  0  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 11873020   3128 3562992    0    0     0    40 1526 2387  1  1 99  0  0
 0  0      0 11873180   3128 3562992    0    0     0    78 1638 2587  1  1 98  0  0
 0  0      0 11873276   3128 3562992    0    0     0    35 1596 2557  1  1 98  0  0
 0  0      0 11873404   3128 3562992    0    0     0    39 1578 2483  1  1 98  0  0
 0  0      0 11873532   3128 3562992    0    0     0    24 1223 1826  1  1 98  0  0
 0  0      0 11873692   3128 3562992    0    0     0    83 1344 2047  0  1 99  0  0
 0  0      0 11873820   3128 3562992    0    0     0    59 1748 2705  1  1 98  0  0
 0  0      0 11873760   3128 3562996    0    0     0    63 3314 3977  3  5 93  0  0
 0  0      0 11874172   3128 3563016    0    0     0    77 1696 2522  1  1 98  0  0
 0  0      0 11874300   3128 3563016    0    0     0    70 1502 2207  1  1 98  0  0
 0  0      0 11874460   3128 3563016    0    0     0    24 1278 1974  1  1 99  0  0
