procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   2560 497628   5796 6876876    0    0     0     1    0    0  0  0 100  0  0
 2  0   2560 463792   5796 6877092    0    0     0    71 8936 8671 18 19 63  0  0
 2  0   2560 463960   5796 6877092    0    0     0     0 8627 9218 10 22 68  0  0
 3  0   2560 463704   5796 6877092    0    0     0     0 8980 9884 11 22 68  0  0
 1  0   2560 464288   5796 6877096    0    0     0     0 6787 7215  8 14 78  0  0
 1  0   2560 463500   5796 6877104    0    0     0     0 9203 10366 11 21 69  0  0
 1  0   2560 463736   5796 6877104    0    0     0     0 8982 9825  9 23 68  0  0
 1  0   2560 464420   5796 6877104    0    0     0     0 8806 9545 10 22 68  0  0
 2  0   2560 463060   5796 6877104    0    0     0     0 9082 10281 11 21 68  0  0
 1  0   2560 464940   5796 6877104    0    0     0     0 9046 10082 11 21 68  0  0
 1  0   2560 464280   5796 6877104    0    0     0     0 9085 10186 11 22 68  0  0
 1  0   2560 464320   5796 6877124    0    0     0     0 8801 9686 10 22 68  0  0
 2  0   2560 463936   5796 6877136    0    0     0     0 6357 6186  8 14 79  0  0
 1  0   2560 464212   5796 6877136    0    0     0     0 8661 9305 10 22 68  0  0
 1  0   2560 463876   5796 6877152    0    0     0     0 9087 10091 11 21 68  0  0
 1  0   2560 464324   5796 6877168    0    0     0   280 9094 10184 10 21 68  0  0
 1  0   2560 463200   5796 6877168    0    0     0     0 8898 9814 10 23 68  0  0
 1  0   2560 489116   5796 6877168    0    0     0   276 8993 10019 17 22 61  0  0
 3  0   2560 488820   5796 6877168    0    0     0     0 9110 10254 10 21 69  0  0
 1  0   2560 488528   5796 6877168    0    0     0     0 9183 10500 11 22 68  0  0
 1  0   2560 487832   5796 6877168    0    0     0   175 9226 10414 11 21 68  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 488436   5796 6877180    0    0     0     0 9260 10540 10 22 68  0  0
 1  0   2560 488072   5796 6877188    0    0     0     0 6584 6786  7 14 79  0  0
 1  0   2560 488328   5796 6877196    0    0     0     0 8949 9946 11 22 68  0  0
 1  0   2560 487396   5796 6877196    0    0     0     0 8813 9536 10 22 68  0  0
 1  0   2560 488508   5796 6877196    0    0     0   208 9026 10080 11 22 68  0  0
 1  0   2560 488120   5796 6877196    0    0     0     0 8898 9783 10 22 68  0  0
 1  0   2560 489044   5796 6877212    0    0     0     0 8753 9509 10 22 68  0  0
 1  0   2560 487612   5796 6877224    0    0     0     0 8940 9937 11 22 67  0  0
 1  0   2560 488548   5796 6877228    0    0     0     0 9002 10075 11 21 68  0  0
 1  0   2560 487656   5796 6877228    0    0     0   160 9024 10250 11 21 68  0  0
 2  0   2560 488336   5796 6877228    0    0     0     0 8834 9716 10 22 68  0  0
