procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 488404   3032 8033372    0    0   273  3421  363  283 12  6 77  5  0
 0  0      0 488324   3032 8033404    0    0     0   290 6004 8168  3  2 95  0  0
 0  0      0 488100   3032 8033408    0    0     0   291 5648 7870  2  2 95  1  0
 0  0      0 487924   3032 8033408    0    0     0   244 6090 8379  3  2 95  0  0
 0  0      0 488052   3032 8033408    0    0     0   386 5782 8172  2  2 95  1  0
 0  0      0 487700   3032 8033408    0    0     0   249 5472 7703  3  2 95  0  0
 0  0      0 487540   3032 8033408    0    0     0   555 6047 8329  3  2 95  0  0
 1  0      0 487924   3032 8033408    0    0     0   328 6214 8510  3  4 93  1  0
 0  0      0 487732   3032 8033408    0    0     0   257 5475 7696  2  2 96  1  0
 0  0      0 487508   3032 8033408    0    0     0   289 5870 8251  2  2 96  1  0
 0  0      0 487476   3032 8033408    0    0     0   262 5634 7812  2  2 96  0  0
 1  0      0 487252   3032 8033408    0    0     0   266 6119 8568  2  2 95  1  0
 0  0      0 487316   3032 8033408    0    0     0   316 6074 8397  2  2 96  1  0
 0  0      0 487220   3032 8033408    0    0     0   260 5763 7930  3  1 96  0  0
 0  0      0 487012   3032 8033412    0    0     0   359 6087 8448  3  2 96  1  0
 0  0      0 487556   3032 8033412    0    0     0   309 5795 8182  2  2 96  0  0
 0  0      0 487684   3032 8033412    0    0     0   273 6053 8520  2  2 96  1  0
 0  0      0 488004   3032 8033412    0    0     0   326 5790 8112  2  2 96  0  0
 0  0      0 488036   3032 8033412    0    0     0   216 5492 7686  2  2 96  0  0
 1  0      0 488036   3032 8033412    0    0     0   276 5766 7863  2  1 96  1  0
 0  0      0 487556   3032 8033412    0    0     0   365 6138 8439  2  2 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 486848   3032 8033416    0    0     0   312 5997 8360  3  2 95  1  0
 0  0      0 485712   3032 8033444    0    0     0   311 7263 9465  4  3 93  0  0
 0  0      0 485936   3032 8033444    0    0     0   430 6284 8796  2  2 96  1  0
 1  0      0 486016   3032 8033444    0    0     0   281 5472 7647  2  1 97  0  0
 0  0      0 486048   3032 8033444    0    0     0   278 5979 8237  3  2 95  0  0
 0  0      0 485952   3032 8033444    0    0     0   269 5821 8021  2  2 96  1  0
 1  0      0 485824   3032 8033444    0    0     0   300 6240 8464  3  2 95  0  0
 0  0      0 485824   3032 8033444    0    0     0   256 5735 7932  2  2 96  0  0
 0  0      0 485680   3032 8033444    0    0     0   295 5777 8215  2  2 96  0  0
 0  0      0 485808   3032 8033444    0    0     0   293 5603 7989  2  2 96  1  0
 0  0      0 485680   3032 8033444    0    0     0   255 6165 8412  2  2 96  0  0
 0  0      0 485664   3032 8033444    0    0     0   336 5646 7720  2  2 96  1  0
 0  0      0 485696   3032 8033444    0    0     0   365 6310 8774  2  2 97  0  0
 0  0      0 485824   3032 8033444    0    0     0   295 5678 7895  2  1 96  0  0
 0  0      0 484996   3032 8033448    0    0     0   362 6667 9051  3  3 94  0  0
 1  0      0 485084   3032 8033452    0    0     0   637 5837 8333  2  2 96  1  0
 0  0      0 485276   3032 8033452    0    0     0   285 5792 8003  3  2 95  0  0
 1  0      0 485336   3032 8033452    0    0     0   308 6043 8456  2  2 96  0  0
 0  0      0 485796   3032 8033452    0    0     0   309 5598 7854  2  2 96  1  0
 1  0      0 485892   3032 8033452    0    0     0   277 5644 7898  2  1 96  0  0
 0  0      0 485700   3032 8033452    0    0     0   320 6241 8792  2  2 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 485732   3032 8033452    0    0     0   456 5859 8157  2  2 96  1  0
 0  0      0 485572   3032 8033452    0    0     0   320 6069 8399  2  2 95  0  0
 0  0      0 485476   3032 8033452    0    0     0   287 6004 8146  3  2 95  1  0
 0  0      0 485348   3032 8033456    0    0     0   294 5846 7980  3  2 95  0  0
 0  0      0 485476   3032 8033456    0    0     0   269 6101 8427  3  2 95  1  0
 0  0      0 485668   3032 8033456    0    0     0   319 6086 8364  2  2 96  1  0
 0  0      0 485540   3032 8033456    0    0     0   314 5742 8092  2  2 96  0  0
 0  0      0 485828   3032 8033456    0    0     0   229 5704 8051  2  2 96  0  0
 0  0      0 485764   3032 8033456    0    0     0   293 5791 8226  2  2 96  1  0
 1  0      0 485636   3032 8033456    0    0     0   290 6185 8599  2  2 95  0  0
 0  0      0 485924   3032 8033456    0    0     0   319 6233 8377  2  2 95  1  0
 0  0      0 485764   3032 8033456    0    0     0   211 5819 7803  2  2 96  0  0
 0  0      0 485508   3032 8033456    0    0     0   321 5984 8263  3  2 96  0  0
 0  0      0 485540   3032 8033456    0    0     0   254 5623 7811  2  2 96  0  0
 0  0      0 485572   3032 8033456    0    0     0   288 6532 8885  3  2 95  0  0
 0  0      0 485252   3032 8033456    0    0     0   291 5758 7929  2  2 96  1  0
 0  0      0 485444   3032 8033456    0    0     0   270 5244 7419  2  2 96  0  0
 0  0      0 485252   3032 8033456    0    0     0   320 5856 8272  2  1 96  1  0
 0  0      0 485532   3032 8033456    0    0     0   171 4106 5794  2  2 97  0  0
 2  0      0 485428   3032 8033468    0    0     0    53 3258 4739  1  1 97  0  0
 1  0      0 485396   3032 8033468    0    0     0    44 2244 3377  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 485268   3032 8033468    0    0     0    44 2320 3480  1  1 99  0  0
 0  0      0 485268   3032 8033468    0    0     0    52 2172 3278  1  1 98  0  0
 1  0      0 488280   3032 8033468    0    0     0  1601 43980 49901 18 12 70  1  0
 2  1      0 486524   3032 8033468    0    0     0 26353 90735 116254 34 27 29 10  0
 0  4      0 486620   3032 8033468    0    0     0 29244 81984 119442 30 25 33 12  0
 7  2      0 486108   3032 8033468    0    0    24 32047 88486 130386 28 22 35 16  0
 2  1      0 486076   3032 8033492    0    0     0 31302 86787 130726 27 21 34 17  0
11  0      0 486012   3032 8033492    0    0     0 30919 84753 128494 26 19 37 18  0
 4  3      0 486768   3032 8033492    0    0     0 30903 84271 126319 29 20 35 17  0
 8  2      0 485984   3032 8033492    0    0     0 31899 86534 128667 30 21 32 16  0
 7  1      0 486252   3032 8033492    0    0     0 32298 89285 133209 28 20 35 17  0
 4  1      0 486012   3032 8033492    0    0     0 32014 86664 130001 28 21 34 17  0
 3  1      0 485740   3032 8033492    0    0     0 26750 76027 111716 28 19 32 20  0
10  1      0 486396   3032 8033492    0    0     0 30632 84343 122142 30 22 31 17  0
 2  3      0 485916   3032 8033492    0    0     0 30953 83890 123511 31 22 32 16  0
 2  1      0 486044   3032 8033492    0    0    24 32157 84884 128079 28 21 34 17  0
 6  4      0 485884   3032 8033516    0    0     0 30662 83701 126617 27 19 37 17  0
 1  0      0 485820   3032 8033516    0    0     0 31623 89238 133553 27 20 35 18  0
 8  1      0 486316   3032 8033516    0    0     0 31340 86046 127149 28 22 33 17  0
11  0      0 486828   3032 8033520    0    0     0 29782 81913 120316 30 20 33 17  0
 0  0      0 485840   3032 8033520    0    0     0 31466 85588 128384 28 20 34 18  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  4      0 486608   3032 8033520    0    0     0 30577 83202 123266 29 21 33 18  0
 3  0      0 486396   3032 8033520    0    0     0 31299 84665 126155 29 21 32 18  0
 3  3      0 486268   3032 8033520    0    0     0 29622 81763 121473 30 21 34 16  0
17  2      0 488048   3032 8031476    0    0     0 31130 84910 124694 30 22 31 16  0
 0  0      0 488016   3032 8031476    0    0     0 30964 86919 129280 27 20 35 17  0
 5  1      0 485072   3032 8035572    0    0     0 31529 85904 128989 28 20 35 17  0
 6  0      0 484592   3032 8035572    0    0     0 30482 83019 125497 27 20 37 16  0
 6  2      0 484912   3032 8035572    0    0     0 31757 86537 129018 31 20 32 17  0
11  3      0 485472   3032 8035572    0    0     0 31416 83842 126265 30 21 32 17  0
 6  0      0 484384   3032 8035572    0    0     0 33640 91459 137422 28 22 33 18  0
 0  0      0 485152   3032 8035572    0    0     0 32506 87023 130869 30 22 32 16  0
 2  1      0 484832   3032 8035572    0    0     0 29765 82407 121472 29 21 35 16  0
 8  4      0 485504   3032 8035572    0    0     0 30092 83481 120878 29 22 34 15  0
 5  1      0 484672   3032 8035576    0    0     0 31434 86285 126347 31 22 31 15  0
10  0      0 476324   3032 8043808    0    0     0 37334 77850 118124 29 21 35 15  0
 6  4      0 476468   3032 8043888    0    0     0 36622 88589 130550 29 21 33 16  0
12  1      0 476692   3032 8043888    0    0     0 32423 89064 133185 28 21 34 17  0
 6  1      0 477188   3032 8043888    0    0     0 29560 81343 121012 29 20 36 16  0
 5  0      0 472996   3032 8047984    0    0     0 31594 84880 124922 32 21 32 15  0
 1  0      0 472868   3032 8047984    0    0     0 31822 88252 131953 28 20 35 17  0
 3  1      0 472340   3032 8047984    0    0     0 32697 87201 130114 30 21 33 16  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  1      0 473344   3032 8047968    0    0     0 31483 85210 126295 32 21 31 16  0
 9  0      0 451616   3032 8069908    0    0     0 50994 77364 112764 43 22 22 12  0
16  0      0 465652   3032 8054912    0    0     4 70857 72907 103177 52 22 16 10  0
 3  0      0 466148   3032 8054888    0    0     0 30039 82297 120567 29 22 33 16  0
 5  3      0 466052   3032 8054928    0    0    24 32437 86741 126128 30 21 33 16  0
 6  1      0 464000   3032 8054944    0    0    24 35290 77136 114351 28 19 38 15  0
 5  2      0 463796   3032 8054940    0    0     0 31684 87306 127521 31 22 32 16  0
 3  2      0 463520   3032 8054920    0    0    24 31183 83616 123251 30 21 33 16  0
 5  2      0 464240   3032 8054940    0    0     0 33034 89154 133932 29 21 33 16  0
 5  0      0 463744   3032 8054944    0    0     0 31567 85545 128375 29 21 33 16  0
 7  0      0 463712   3032 8054944    0    0     0 32185 85563 126654 31 22 31 16  0
 3  3      0 463648   3032 8054944    0    0     0 30489 83830 123395 30 22 32 16  0
 5  0      0 463632   3032 8054944    0    0     0 31190 85333 124797 32 22 32 15  0
 3  1      0 463728   3032 8054944    0    0     0 31696 85899 129759 29 20 34 17  0
 2  1      0 463760   3032 8054944    0    0     0 30699 83767 126931 27 21 35 17  0
 4  1      0 463552   3032 8054944    0    0     0 30232 84389 125032 27 20 33 20  0
14  1      0 461708   3032 8054960    0    0     0 30793 85261 125022 31 21 33 16  0
 4  1      0 461516   3032 8054960    0    0     0 31078 85641 126717 30 21 33 16  0
 5  1      0 461900   3032 8054960    0    0     0 33163 89100 133627 29 21 32 18  0
 1  0      0 461932   3032 8054960    0    0     0 31639 85032 128029 32 19 33 16  0
 4  0      0 462468   3032 8054964    0    0     0 30607 83394 124770 30 21 33 16  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  1      0 462644   3032 8054964    0    0     0 30421 81176 120629 31 21 33 15  0
 8  5      0 461940   3032 8054964    0    0     0 30636 83339 120329 31 22 33 15  0
 1  3      0 462612   3032 8054964    0    0     0 32326 87799 132786 28 20 35 17  0
 7  3      0 462708   3032 8054964    0    0     0 32011 86685 131122 27 20 36 17  0
 2  2      0 462180   3032 8054964    0    0     0 36030 87362 130728 28 21 34 16  0
 1  1      0 462452   3032 8054964    0    0     0 31904 86644 128780 30 22 31 16  0
 5  6      0 462388   3032 8054964    0    0     0 31017 83928 124834 30 21 33 16  0
 2  1      0 462532   3032 8054964    0    0     0 31587 86077 129805 29 20 34 17  0
 1  3      0 463124   3032 8054968    0    0     0 32180 87383 129857 30 21 33 16  0
 3  2      0 462500   3032 8054968    0    0     0 30622 81525 121612 32 21 33 15  0
 1  0      0 462720   3032 8054972    0    0     0 31096 84058 125031 32 21 32 16  0
 3  0      0 462336   3032 8054972    0    0     0 32896 89083 131477 30 23 31 16  0
 6  2      0 462804   3032 8054972    0    0     0 31890 84431 126792 29 20 34 17  0
 3  0      0 462772   3032 8054972    0    0     0 29408 81289 121425 28 19 34 19  0
 4  1      0 462592   3032 8054972    0    0    24 31481 83159 121489 31 21 32 15  0
 4  3      0 462832   3032 8055024    0    0    24 32512 87283 126850 31 22 31 16  0
 4  1      0 462896   3032 8055016    0    0     0 32434 86535 129275 31 22 32 16  0
 7  0      0 462768   3032 8055048    0    0    24 32583 87384 131694 28 20 35 17  0
 1  4      0 462864   3032 8055036    0    0     0 30857 83663 125586 29 20 34 17  0
11  0      0 462832   3032 8055036    0    0     0 30847 83518 123499 31 20 33 16  0
 3  3      0 462928   3032 8055036    0    0     0 29647 81310 118497 31 22 32 15  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  1      0 463488   3032 8055036    0    0     0 32547 88974 129519 31 22 31 17  0
 2  1      0 462544   3032 8055040    0    0     0 32244 88329 131146 29 22 32 17  0
 1  3      0 463028   3032 8055040    0    0     0 31406 83925 126276 29 20 35 16  0
 5  2      0 463092   3032 8055040    0    0     0 34104 83831 127518 28 20 37 16  0
 2  1      0 417208   3032 8101592    0    0     0 71646 68221 101690 40 19 28 13  0
 9  1      0 450888   3032 8067048    0    0     0 27398 68971 102731 24 17 43 16  0
 0  0      0 455560   3032 8067052    0    0     4 27070 76918 115337 25 18 41 16  0
 9  2      0 485236   3032 8114332    0    0     0 73031 70175 100619 47 21 22 11  0
 7  0      0 525844   3032 8072940    0    0     4 41652 77191 110844 34 21 31 14  0
 8  2      0 526036   3032 8072940    0    0     0 26040 73439 110180 26 19 40 15  0
 1  2      0 525812   3032 8072940    0    0     0 28975 81045 116893 29 20 36 16  0
 1  1      0 526084   3032 8072944    0    0     0 30664 85316 124598 28 21 34 16  0
 6  3      0 526148   3032 8072944    0    0     0 28387 81459 122010 24 20 40 16  0
 1  3      0 526096   3032 8072944    0    0     0 28384 79830 118529 25 20 39 16  0
10  5      0 526640   3032 8072944    0    0    24 35944 83842 121249 30 20 35 15  0
 0  0      0 525588   3032 8072968    0    0     0 31752 88459 129088 30 22 33 16  0
 4  4      0 525584   3032 8072968    0    0     0 30941 85009 128848 27 20 36 16  0
 9  2      0 519164   3032 8081820    0    0     0 37990 83094 124228 33 21 31 15  0
 6  1      0 485720   3032 8114832    0    0     0 62617 69575 101813 50 21 18 11  0
 5  0      0 453064   3032 8148068    0    0     0 59740 67962 96398 52 19 18 10  0
 9  0      0 425308   3032 8181876    0    0     0 62231 71109 102142 50 20 18 11  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  2      0 548224   3032 8058044    0    0     8 35476 81159 118512 29 20 35 16  0
 2  0      0 548320   3032 8058040    0    0     0 30448 83700 125334 27 19 37 17  0
 2  0      0 548164   3032 8058040    0    0    24 28818 80624 118408 26 20 38 16  0
 3  3      0 547652   3032 8058064    0    0     0 29649 82060 121032 28 20 35 16  0
10  3      0 548064   3032 8058064    0    0     0 28760 77982 113910 31 20 34 14  0
10  2      0 544976   3032 8062140    0    0     0 29193 79642 118186 28 20 37 16  0
 2  2      0 544944   3032 8062144    0    0     0 29182 80774 119198 27 21 36 16  0
 7  6      0 544832   3032 8062144    0    0    24 29544 80192 117764 28 21 36 16  0
 7  1      0 544716   3032 8062164    0    0     0 27553 75605 111290 29 19 37 15  0
 2  1      0 545172   3032 8062172    0    0     0 22881 64703 95425 23 17 46 14  0
 0  0      0 545620   3032 8062188    0    0     0 18635 56229 88894 15 14 57 15  0
12  3      0 544948   3032 8062296    0    0     0 15522 49670 71654 13 12 63 12  0
 0  0      0 545156   3032 8062328    0    0     0 23243 72065 101862 20 17 47 17  0
 3  0      0 543696   3032 8062384    0    0     0 24534 60533 90382 18 16 50 15  0
 4  0      0 543472   3032 8062388    0    0     0 14166 44686 65134 14 11 65 11  0
 0  0      0 543168   3032 8062396    0    0     0 29954 92199 120547 26 21 37 16  0
 6  1      0 542812   3032 8062396    0    0    24 31383 80970 119444 28 21 34 16  0
 4  1      0 543628   3032 8062420    0    0     0 27638 75798 113495 27 19 37 17  0
 2  1      0 543100   3032 8062424    0    0     0 27921 77666 113254 28 20 36 16  0
 1  2      0 543436   3032 8062452    0    0    24 29867 81251 118140 29 21 34 16  0
 4  2      0 544116   3032 8062456    0    0     0 24986 71362 106364 22 17 46 15  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
