procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 11946204   2772 3694644    0    0    19   458   47  980  4  3 86  7  0
 0  0      0 11948404   2772 3694720    0    0     0    72 1647 2454  1  1 98  0  0
 0  0      0 11948500   2772 3694720    0    0     0    74 1632 2538  1  1 99  0  0
 0  0      0 11945652   2772 3694728    0    0     0    65 1622 2356  1  1 98  0  0
 0  0      0 11945748   2772 3694728    0    0     0   146 1887 2987  1  1 98  1  0
 0  0      0 11945940   2772 3694728    0    0     0    32 1430 2207  1  1 99  0  0
 0  0      0 11946036   2772 3694728    0    0     0    71 1364 2165  1  1 98  0  0
 0  0      0 11946260   2772 3694732    0    0     0    71 1847 2864  1  1 98  0  0
 0  0      0 11946356   2772 3694732    0    0     0    81 1866 2852  0  1 99  1  0
 0  0      0 11946548   2772 3694736    0    0     0    11 1327 2122  0  1 99  0  0
 0  0      0 11946612   2772 3694736    0    0     0    55 1607 2540  1  1 99  0  0
 0  0      0 11946804   2772 3694740    0    0     0   312 1363 2128  1  0 99  0  0
 0  0      0 11946964   2772 3694740    0    0     0   108 1685 2645  1  1 98  0  0
 0  0      0 11947124   2772 3694744    0    0     0    91 1712 2633  0  1 98  0  0
 1  0      0 11947220   2772 3694748    0    0     0    21 1505 2265  1  1 98  0  0
 0  0      0 11947380   2772 3694748    0    0     0   163 1397 2209  0  1 99  0  0
 0  0      0 11947728   2772 3694748    0    0     0    30 1419 2162  1  1 98  0  0
 0  0      0 11947920   2772 3694752    0    0     0    67 1746 2689  1  1 98  0  0
 0  0      0 11948048   2772 3694752    0    0     0    60 2058 3263  1  1 98  0  0
 0  0      0 11948240   2772 3694756    0    0     0    67 1471 2298  1  1 98  0  0
 0  0      0 11948400   2772 3694756    0    0     0    85 1743 2648  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 11948560   2772 3694760    0    0     0    46 1375 2101  1  1 99  0  0
 0  0      0 11948688   2772 3694760    0    0     0    86 1680 2648  1  1 98  0  0
 0  0      0 11948848   2772 3694764    0    0     0    79 1758 2726  1  1 98  0  0
 0  0      0 11949204   2772 3694768    0    0     0    89 1495 2346  1  1 99  0  0
 0  0      0 11949388   2772 3694768    0    0     0    26 1492 2302  1  1 99  0  0
 0  0      0 11949548   2772 3694768    0    0     0    30 1333 1977  1  1 99  0  0
 0  0      0 11949676   2772 3694772    0    0     0    31 1593 2513  1  1 99  0  0
 1  0      0 11949772   2772 3694776    0    0     0    31 1784 2791  1  1 99  0  0
 0  0      0 11949648   2772 3694776    0    0     0   106 1709 2582  0  1 98  1  0
 0  0      0 11949968   2772 3694780    0    0     0   105 1857 2892  1  1 98  0  0
 0  0      0 11950096   2772 3694780    0    0     0    31 1385 2136  0  1 99  0  0
 0  0      0 11950192   2772 3694780    0    0     0    41 1569 2443  0  1 98  0  0
 0  0      0 11950416   2772 3694788    0    0     0   104 1714 2631  1  1 98  0  0
 0  0      0 11950512   2772 3694788    0    0     0   108 1715 2670  1  1 98  0  0
