ts_ns,query_type,latency_ms
1784336503505288784,select,35.776
1784336503544759216,update,127.633
1784336503778548378,select,22.020
1784336503804068781,update,85.068
1784336503994138287,select,20.498
1784336504018019814,update,88.227
1784336504210961432,select,19.471
1784336504234639513,update,76.815
1784336504416800960,select,19.970
1784336504440203442,update,72.630
1784336504617344435,select,19.273
1784336504639949187,update,68.293
1784336504813423779,select,18.651
1784336504835024358,update,71.248
1784336505013187991,select,20.674
1784336505037057654,update,76.805
1784336505218403564,select,19.909
1784336505241986393,update,70.557
1784336505417183369,select,21.807
1784336505442363237,update,74.465
1784336505621431174,select,21.790
1784336505647537934,update,75.783
1784336505828769462,select,19.895
1784336505851851129,update,69.339
1784336506025736778,select,19.618
1784336506049669550,update,73.421
1784336506227883996,select,19.590
1784336506251086002,update,74.914
1784336506430909605,select,19.788
1784336506453819872,update,76.632
1784336506634952708,select,21.439
1784336506660874904,update,318.667
1784336507083820727,select,20.404
1784336507107179601,update,73.302
1784336507285314142,select,20.587
1784336507309407297,update,71.140
1784336507485698305,select,19.685
1784336507508341830,update,70.280
1784336507682902113,select,20.015
1784336507705913924,update,71.061
1784336507881782665,select,20.285
1784336507905949137,update,69.386
1784336508080337140,select,19.257
1784336508102905206,update,72.580
1784336508280445171,select,19.114
1784336508302615207,update,70.631
1784336508477959654,select,22.198
1784336508503252643,update,72.854
1784336508681027832,select,20.750
1784336508704782303,update,80.398
1784336508890421352,select,20.076
1784336508913991227,update,70.787
1784336509090576885,select,19.298
1784336509113208831,update,69.059
1784336509288621239,select,20.755
1784336509312507060,update,73.542
1784336509491039123,select,21.486
1784336509515847234,update,74.578
1784336509695720491,select,22.415
1784336509721907570,update,69.836
1784336509898588888,select,22.102
1784336509924017652,update,77.357
1784336510106320471,select,21.157
1784336510131924408,update,75.431
1784336510311580046,select,21.615
1784336510336566472,update,105.362
1784336510546932631,select,23.803
1784336510573745966,update,80.578
1784336510758926790,select,21.788
1784336510784034375,update,78.369
1784336510967004798,select,20.244
1784336510990558196,update,74.594
1784336511170279673,select,22.366
1784336511196794743,update,75.272
1784336511376831083,select,21.214
1784336511401388309,update,72.176
1784336511578496115,select,22.096
1784336511603868934,update,72.900
1784336511782034528,select,21.295
1784336511806995163,update,73.269
1784336511985161066,select,20.479
1784336512008867939,update,67.099
1784336512180640377,select,19.083
1784336512203958372,update,75.051
1784336512384187604,select,19.292
1784336512406606315,update,74.101
1784336512585320284,select,19.589
1784336512607748503,update,70.491
1784336512782810881,select,20.420
1784336512806910888,update,75.118
1784336512986660185,select,21.824
1784336513011667687,update,71.623
1784336513189307918,select,19.421
1784336513212945098,update,109.850
1784336513428326284,select,21.430
1784336513452917931,update,73.877
1784336513631487215,select,21.169
1784336513655692400,update,74.701
1784336513834740955,select,19.194
1784336513857214159,update,70.208
1784336514032670336,select,20.593
1784336514057045255,update,69.566
1784336514231708184,select,21.762
1784336514256701544,update,73.304
1784336514434553855,select,23.198
1784336514461350885,update,78.790
