Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年06月19日 	_x86_64_	(4 CPU)

02時05分19秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02時05分20秒  all   23.23    0.00    6.82    4.80    1.01    2.27    0.00    0.00    0.00   61.87
02時05分21秒  all   19.75    0.00    4.81    4.56    1.27    1.77    0.00    0.00    0.00   67.85
02時05分22秒  all   13.52    0.00    4.34    4.59    1.02    0.77    0.00    0.00    0.00   75.77
02時05分23秒  all   16.62    0.00    5.54    5.04    1.01    1.76    0.00    0.00    0.00   70.03
02時05分24秒  all   14.32    0.00    4.02    4.52    1.01    1.76    0.00    0.00    0.00   74.37
02時05分25秒  all   15.94    0.00    4.11    4.63    0.77    1.29    0.00    0.00    0.00   73.26
02時05分26秒  all   15.44    0.00    5.32    4.81    1.27    1.77    0.00    0.00    0.00   71.39
02時05分27秒  all   15.38    0.00    4.36    4.87    1.03    1.54    0.00    0.00    0.00   72.82
02時05分28秒  all   15.38    0.00    5.38    5.13    0.77    1.54    0.00    0.00    0.00   71.79
02時05分29秒  all   18.53    0.00    4.31    4.82    1.27    1.52    0.00    0.00    0.00   69.54
02時05分30秒  all   16.58    0.00    4.85    5.36    1.02    1.53    0.00    0.00    0.00   70.66
02時05分31秒  all   15.01    0.00    4.83    5.09    1.02    1.78    0.00    0.00    0.00   72.26
02時05分32秒  all   14.47    0.00    4.06    4.31    0.76    1.27    0.00    0.00    0.00   75.13
02時05分33秒  all   13.67    0.00    4.05    4.81    1.27    1.27    0.00    0.00    0.00   74.94
02時05分34秒  all   11.76    0.00    4.09    4.09    1.02    1.53    0.00    0.00    0.00   77.49
02時05分35秒  all   13.13    0.00    3.54    4.29    1.01    1.26    0.00    0.00    0.00   76.77
02時05分36秒  all   16.50    0.00    5.58    4.57    1.02    1.52    0.00    0.00    0.00   70.81
02時05分37秒  all   13.38    0.00    3.79    5.56    1.01    1.52    0.00    0.00    0.00   74.75
