o_w_id	max
1	3008
2	3007
3	3006
4	3007
5	3007
6	3008
7	3008
8	3006
9	3006
10	3009
11	3009
12	3010
13	3011
14	3007
15	3005
16	3010
17	3010
18	3006
19	3008
20	3006
21	3006
22	3007
23	3008
24	3010
25	3006
26	3006
27	3007
28	3010
29	3007
30	3006
31	3007
32	3006
33	3008
34	3008
35	3006
36	3007
37	3007
38	3006
39	3006
40	3007
41	3006
42	3008
43	3010
44	3005
45	3008
46	3008
47	3008
48	3008
49	3008
50	3009
51	3006
52	3007
53	3007
54	3005
55	3006
56	3009
57	3007
58	3009
59	3008
60	3006
61	3005
62	3006
63	3005
64	3005
65	3009
66	3005
67	3010
68	3007
69	3008
70	3008
71	3008
72	3009
73	3005
74	3008
75	3007
76	3006
77	3008
78	3010
79	3008
80	3009
81	3007
82	3007
83	3009
84	3010
85	3007
86	3007
87	3007
88	3010
89	3008
90	3009
91	3007
92	3008
93	3007
94	3007
95	3005
96	3006
97	3008
98	3008
99	3007
100	3007
101	3009
102	3010
103	3008
104	3009
105	3009
106	3008
107	3008
108	3006
109	3006
110	3007
111	3008
112	3005
113	3008
114	3007
115	3008
116	3007
117	3007
118	3008
119	3008
120	3007
121	3007
122	3009
123	3007
124	3008
125	3008
126	3007
127	3006
128	3008
