o_w_id	max
1	3007
2	3005
3	3006
4	3006
5	3007
6	3005
7	3007
8	3006
9	3005
10	3008
11	3006
12	3010
13	3011
14	3007
15	3005
16	3010
17	3008
18	3006
19	3007
20	3005
21	3006
22	3007
23	3006
24	3009
25	3005
26	3005
27	3006
28	3010
29	3006
30	3005
31	3006
32	3006
33	3008
34	3008
35	3006
36	3005
37	3006
38	3005
39	3006
40	3005
41	3004
42	3005
43	3007
44	3005
45	3006
46	3007
47	3007
48	3008
49	3008
50	3009
51	3006
52	3006
53	3007
54	3005
55	3006
56	3008
57	3007
58	3007
59	3007
60	3006
61	3004
62	3005
63	3005
64	3004
65	3007
66	3004
67	3009
68	3006
69	3007
70	3008
71	3008
72	3009
73	3005
74	3006
75	3007
76	3004
77	3007
78	3009
79	3006
80	3008
81	3007
82	3006
83	3007
84	3009
85	3006
86	3006
87	3005
88	3007
89	3008
90	3008
91	3007
92	3007
93	3007
94	3007
95	3004
96	3005
97	3008
98	3008
99	3007
100	3005
101	3008
102	3009
103	3008
104	3009
105	3009
106	3006
107	3007
108	3005
109	3006
110	3007
111	3006
112	3005
113	3007
114	3007
115	3008
116	3007
117	3006
118	3005
119	3007
120	3005
121	3006
122	3008
123	3007
124	3007
125	3006
126	3006
127	3006
128	3007
