o_w_id	max
1	3004
2	3004
3	3006
4	3006
5	3004
6	3004
7	3007
8	3004
9	3004
10	3008
11	3004
12	3006
13	3009
14	3005
15	3003
16	3007
17	3007
18	3004
19	3006
20	3005
21	3004
22	3005
23	3005
24	3008
25	3003
26	3005
27	3005
28	3010
29	3004
30	3004
31	3006
32	3006
33	3007
34	3007
35	3004
36	3003
37	3005
38	3004
39	3004
40	3005
41	3004
42	3004
43	3005
44	3004
45	3005
46	3005
47	3006
48	3006
49	3006
50	3005
51	3003
52	3004
53	3004
54	3004
55	3005
56	3006
57	3005
58	3006
59	3006
60	3005
61	3004
62	3004
63	3004
64	3003
65	3005
66	3004
67	3006
68	3006
69	3004
70	3006
71	3004
72	3007
73	3004
74	3005
75	3005
76	3003
77	3005
78	3009
79	3005
80	3005
81	3007
82	3005
83	3005
84	3008
85	3004
86	3005
87	3004
88	3006
89	3007
90	3006
91	3005
92	3006
93	3005
94	3005
95	3003
96	3003
97	3004
98	3006
99	3006
100	3005
101	3006
102	3006
103	3006
104	3006
105	3007
106	3006
107	3004
108	3004
109	3005
110	3005
111	3005
112	3003
113	3004
114	3006
115	3005
116	3006
117	3006
118	3004
119	3005
120	3004
121	3005
122	3005
123	3004
124	3005
125	3005
126	3005
127	3004
128	3005
