procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 8116612   1268 5856616    0    0   239   754  370  156  3  3 91  3  0
 0  0      0 8117368   1268 5856660    0    0     0    72 2764 4140  1  2 97  0  0
 0  0      0 8117528   1268 5856660    0    0     0    76 2442 3845  1  1 98  0  0
 0  0      0 8117784   1268 5856664    0    0     0   130 2699 4119  1  1 97  0  0
 1  0      0 8118136   1268 5856664    0    0     0    72 2825 4257  1  1 98  0  0
 1  0      0 8115192   1268 5856664    0    0     0    72 2296 3610  1  1 98  0  0
 0  0      0 8115512   1268 5856664    0    0     0    72 2758 4224  1  2 97  0  0
 0  0      0 8115640   1268 5856664    0    0     0    81 2788 4291  1  1 98  0  0
 0  0      0 8116024   1268 5856668    0    0     0   100 2852 4281  1  1 97  0  0
 0  0      0 8116152   1268 5856668    0    0     0    96 2291 3624  1  1 98  0  0
 0  0      0 8116536   1268 5856668    0    0     0    72 2920 4339  1  1 98  0  0
 0  0      0 8116792   1268 5856672    0    0     0    78 2651 4139  1  1 98  0  0
 0  0      0 8113976   1268 5856672    0    0     0    96 2877 4334  1  1 97  0  0
 0  1      0 8114104   1268 5856672    0    0     0    76 2329 3676  1  1 98  0  0
 0  0      0 8114424   1268 5856672    0    0     0    72 2425 3860  1  1 98  0  0
 0  0      0 8114616   1268 5856676    0    0     0    77 2568 3922  1  1 97  0  0
 0  0      0 8114904   1268 5856676    0    0     0    76 2721 4115  1  1 98  0  0
 0  0      0 8115096   1268 5856676    0    0     0    92 2485 3931  1  1 98  0  0
 0  0      0 8115320   1268 5856676    0    0     0   228 2443 3856  1  1 98  0  0
 1  0      0 8115448   1268 5856680    0    0     0    81 2328 3608  1  1 98  0  0
 0  0      0 8115896   1268 5856680    0    0     0    72 3177 4557  1  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 8116184   1268 5856680    0    0     0    76 2615 4058  1  2 97  0  0
 0  0      0 8116408   1268 5856680    0    0     0    72 2426 3840  1  1 98  0  0
 0  0      0 8116632   1268 5856684    0    0     0   126 2692 4265  1  1 97  1  0
 0  0      0 8116888   1268 5856684    0    0     0    72 2712 4084  1  1 97  0  0
 0  0      0 8117080   1268 5856684    0    0     0    72 2387 3832  1  1 98  0  0
 0  0      0 8117336   1268 5856684    0    0     0    76 2332 3715  1  1 98  0  0
 1  0      0 8117496   1268 5856688    0    0     0   101 2557 3975  1  1 98  0  0
 0  0      0 8114776   1268 5856688    0    0     0    76 2758 4152  1  1 98  0  0
 0  0      0 8114904   1268 5856688    0    0     0   116 2563 4163  1  1 98  0  0
 0  0      0 8115352   1268 5856692    0    0     0   146 3246 4663  1  2 96  0  0
 0  0      0 8115544   1268 5856692    0    0     0    80 2791 4271  1  2 97  0  0
 0  0      0 8115928   1268 5856692    0    0     0   120 2742 4223  1  2 97  0  0
 0  0      0 8116120   1268 5856696    0    0     0   105 2264 3577  1  1 98  0  0
 0  0      0 8116248   1268 5856696    0    0     0    72 2241 3584  1  1 98  0  0
 0  0      0 8116536   1268 5856696    0    0     0    72 2556 3952  1  1 98  0  0
 0  0      0 8116888   1268 5856696    0    0     0    76 3289 4906  1  2 97  0  0
 0  0      0 8116984   1268 5856700    0    0     0   102 2335 3685  1  1 98  0  0
 0  0      0 8117272   1268 5856700    0    0     0    96 2210 3579  1  1 98  0  0
 0  0      0 8114328   1268 5856700    0    0     0    72 2414 3672  2  1 97  0  0
 0  0      0 8114996   1268 5856700    0    0     0    76 3315 4855  1  1 97  0  0
 0  0      0 8115156   1268 5856704    0    0     0    93 2508 3924  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 8115476   1268 5856704    0    0     0    72 2491 3818  1  1 98  0  0
 0  0      0 8115700   1268 5856704    0    0     0   100 2538 3922  1  1 98  0  0
 0  0      0 8115956   1268 5856704    0    0     0    72 2564 3959  1  1 98  0  0
 0  0      0 8116180   1268 5856708    0    0     0    82 2427 3845  1  1 98  0  0
 0  0      0 8116436   1268 5856708    0    0     0    92 2440 3954  1  1 98  0  0
 0  0      0 8116628   1268 5856708    0    0     0    72 2691 4221  1  1 98  0  0
 0  0      0 8116980   1268 5856712    0    0     0   200 2800 4196  1  1 98  0  0
 0  0      0 8117172   1268 5856712    0    0     0   100 2112 3445  1  1 98  0  0
 0  0      0 8117776   1268 5856712    0    0     0   100 2984 4556  1  1 97  0  0
 0  0      0 8117904   1268 5856712    0    0     0    76 2643 3972  1  1 98  0  0
 0  0      0 8118352   1268 5856712    0    0     0    84 2969 4462  1  2 97  0  0
 0  0      0 8118480   1268 5856716    0    0     0    96 2391 3710  1  1 98  0  0
 0  0      0 8118736   1268 5856716    0    0     0    72 2170 3416  1  1 98  0  0
 0  0      0 8118832   1268 5856716    0    0     0    76 2447 3760  1  1 98  0  0
 0  0      0 8116048   1268 5856720    0    0     0    97 2895 4452  1  1 98  0  0
 0  0      0 8116240   1268 5856720    0    0     0    72 2152 3371  1  1 98  0  0
 0  0      0 8116496   1268 5856720    0    0     0    96 2537 4006  1  1 98  0  0
 0  0      0 8116720   1268 5856720    0    0     0   130 2667 4130  1  1 98  0  0
 0  0      0 8113260   1268 5856728    0    0     0   128 3876 5439  2  2 95  0  0
 0  0      0 8112620   1268 5856740    0    0     0    72 3178 4525  2  2 96  0  0
 0  0      0 8112940   1268 5856744    0    0     0    86 2469 3777  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 8112188   1268 5856784    0    0     0   145 4542 5823  3  5 92  0  0
 0  0      0 8109404   1268 5856784    0    0     0    92 2716 4189  1  1 98  0  0
 0  0      0 8109564   1268 5856784    0    0     0    76 2247 3581  1  1 98  0  0
 0  0      0 8109660   1268 5856788    0    0     0    80 2774 4310  1  1 98  0  0
 0  0      0 8110204   1268 5856788    0    0     0    76 2765 4193  1  1 97  0  0
 0  0      0 8110332   1268 5856788    0    0     0    96 2712 4194  1  1 98  0  0
 0  0      0 8110652   1268 5856792    0    0     0   122 2219 3553  1  1 98  0  0
 0  0      0 8110844   1268 5856792    0    0     0    72 2754 4231  1  1 98  0  0
 0  0      0 8111940   1268 5856796    0    0     0    72 3398 4645  2  3 95  0  0
 0  0      0 8111988   1268 5856804    0    0     0    96 2946 4409  1  1 97  0  0
 0  0      0 8112212   1268 5856808    0    0     0   104 2333 3786  1  1 98  0  0
 0  0      0 8112404   1268 5856812    0    0     4   132 2688 4234  1  1 97  1  0
 0  0      0 8113204   1268 5856892    0    0    44   652 4736 6962  3  3 91  3  0
 2  0      0 8113748   1268 5856948    0    0    40   746 4942 7144  3  3 92  3  0
 0  0      0 8114388   1268 5857032    0    0    44   706 4582 6597  3  2 92  3  0
 0  0      0 8114996   1268 5857104    0    0    40   804 4941 7295  3  3 91  3  0
 0  0      0 8115796   1268 5857216    0    0    52   820 5101 7497  3  2 91  4  0
 0  0      0 8116564   1268 5857272    0    0    44   854 5681 7998  3  3 90  3  0
 0  1      0 8117372   1268 5857376    0    0    48   814 5181 7803  3  2 91  4  0
 0  0      0 8114836   1268 5857460    0    0    44   762 4538 6787  3  3 91  3  0
