Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-2) 	西元2026年07月03日 	_x86_64_	(4 CPU)

06時45分34秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06時45分35秒  all    6.48    0.00    2.00    0.00    0.50    0.25    0.00    0.00    0.00   90.77
06時45分36秒  all    5.56    0.00    1.01    0.00    0.51    0.25    0.00    0.00    0.00   92.68
06時45分37秒  all    4.76    0.00    0.50    0.25    0.00    0.75    0.00    0.00    0.00   93.73
06時45分38秒  all    6.27    0.00    0.75    0.00    0.50    0.00    0.00    0.00    0.00   92.48
06時45分39秒  all    5.03    0.00    0.25    0.00    0.50    0.25    0.00    0.00    0.00   93.97
06時45分40秒  all    5.04    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   93.70
06時45分41秒  all    6.78    0.00    1.01    0.50    0.50    0.25    0.00    0.00    0.00   90.95
06時45分42秒  all    4.96    0.00    1.24    0.00    0.50    0.50    0.00    0.00    0.00   92.80
06時45分43秒  all    5.76    0.00    1.00    0.00    0.00    0.25    0.00    0.00    0.00   92.98
06時45分44秒  all    5.56    0.00    0.76    0.00    0.25    0.51    0.00    0.00    0.00   92.93
06時45分45秒  all    5.24    0.00    1.00    0.00    0.75    0.00    0.00    0.00    0.00   93.02
06時45分46秒  all    5.54    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   93.20
06時45分47秒  all    5.71    0.00    0.74    0.25    0.50    0.74    0.00    0.00    0.00   92.06
06時45分48秒  all    5.04    0.00    0.76    0.00    0.50    0.00    0.00    0.00    0.00   93.70
06時45分49秒  all    5.28    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   93.72
06時45分50秒  all    7.79    0.00    2.51    0.00    0.50    0.25    0.00    0.00    0.00   88.94
06時45分51秒  all    5.74    0.00    0.75    0.00    0.50    0.75    0.00    0.00    0.00   92.27
06時45分52秒  all    5.01    0.00    1.00    0.00    0.50    0.00    0.00    0.00    0.00   93.48
06時45分53秒  all    6.05    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   92.70
06時45分54秒  all    5.25    0.00    1.00    0.00    0.25    0.50    0.00    0.00    0.00   93.00
06時45分55秒  all    5.00    0.00    1.00    0.25    0.75    0.00    0.00    0.00    0.00   93.00
06時45分56秒  all    5.97    0.00    1.00    0.25    0.00    0.75    0.00    0.00    0.00   92.04
06時45分57秒  all    5.51    0.00    1.25    0.00    0.50    0.00    0.00    0.00    0.00   92.73
06時45分58秒  all    4.79    0.00    0.25    0.00    0.50    0.50    0.00    0.00    0.00   93.95
06時45分59秒  all    6.02    0.00    1.25    0.00    0.00    0.25    0.00    0.00    0.00   92.48
06時46分00秒  all    4.81    0.00    0.51    0.00    0.25    0.25    0.00    0.00    0.00   94.18
06時46分01秒  all    5.99    0.00    1.00    0.00    0.50    0.25    0.00    0.00    0.00   92.27
06時46分02秒  all    6.55    0.00    1.01    0.00    0.25    0.50    0.00    0.00    0.00   91.69
06時46分03秒  all    5.50    0.00    0.75    0.00    0.50    0.25    0.00    0.00    0.00   93.00
06時46分04秒  all    6.33    0.00    1.52    0.25    0.25    0.00    0.00    0.00    0.00   91.65
06時46分05秒  all    5.76    0.00    1.00    0.00    0.25    1.00    0.00    0.00    0.00   91.98
06時46分06秒  all    5.99    0.00    0.75    0.25    0.75    0.00    0.00    0.00    0.00   92.27
06時46分07秒  all    5.01    0.00    1.25    0.00    0.25    0.50    0.00    0.00    0.00   92.98
06時46分08秒  all    6.03    0.00    1.51    0.00    0.00    0.00    0.00    0.00    0.00   92.46
06時46分09秒  all    5.25    0.00    0.50    0.25    0.75    0.50    0.00    0.00    0.00   92.75
06時46分10秒  all    5.78    0.00    0.50    0.00    0.25    0.50    0.00    0.00    0.00   92.96
06時46分11秒  all    7.07    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   92.17
06時46分12秒  all    4.99    0.00    1.00    0.00    0.75    0.50    0.00    0.00    0.00   92.77
06時46分13秒  all    5.01    0.00    1.25    0.00    0.25    0.50    0.00    0.00    0.00   92.98
06時46分14秒  all    6.57    0.00    0.76    0.00    0.25    0.25    0.00    0.00    0.00   92.17
06時46分15秒  all    5.46    0.00    0.99    0.74    0.50    0.00    0.00    0.00    0.00   92.31
06時46分16秒  all    5.51    0.00    1.00    0.00    0.25    0.75    0.00    0.00    0.00   92.48
06時46分17秒  all    5.81    0.00    1.01    0.00    0.25    0.25    0.00    0.00    0.00   92.68
06時46分18秒  all    5.50    0.00    0.50    0.00    0.50    0.00    0.00    0.00    0.00   93.50
06時46分19秒  all    4.76    0.00    1.00    0.00    0.25    0.75    0.00    0.00    0.00   93.23
