procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 541168   1044 9166208    0    0   819  2566   46  194 25  6 67  2  0
 0  0      0 542168   1044 9166304    0    0     0    92 5955 8544  2  2 96  0  0
 0  0      0 542480   1044 9166304    0    0     0    72 5349 7792  2  1 96  0  0
 0  0      0 543424   1044 9166308    0    0     0   120 6036 8333  3  3 94  0  0
 0  0      0 543520   1044 9166324    0    0     0    72 5088 7348  2  1 97  0  0
 0  0      0 543552   1044 9166328    0    0     0   100 5599 8139  2  2 96  0  0
 0  0      0 543456   1044 9166328    0    0     0    72 5468 7859  2  1 97  0  0
 0  0      0 543328   1044 9166328    0    0     0    72 5407 7848  2  2 97  0  0
 0  0      0 543264   1044 9166328    0    0     0    82 5388 8043  2  1 97  0  0
 1  0      0 543168   1044 9166332    0    0     0    96 5411 7570  2  2 96  0  0
 0  0      0 543200   1044 9166332    0    0     0    72 5818 8110  2  1 96  0  0
 0  0      0 543136   1044 9166332    0    0     0    72 5428 8046  2  2 96  0  0
 0  0      0 543072   1044 9166332    0    0     0    76 5263 7537  2  1 97  0  0
 0  0      0 543040   1044 9166336    0    0     0   109 5152 7212  2  1 97  0  0
 0  0      0 542828   1044 9166340    0    0     0    96 6016 8454  4  2 94  0  0
 0  0      0 542800   1044 9166368    0    0     0    92 5093 7393  2  1 97  0  0
 0  0      0 542800   1044 9166368    0    0     0    78 5099 7439  2  1 97  0  0
 0  0      0 542800   1044 9166372    0    0     0    72 5822 8387  2  2 96  0  0
 1  0      0 542640   1044 9166372    0    0     0    88 5360 7662  2  1 97  0  0
 0  0      0 542736   1044 9166372    0    0     0   195 5249 7576  2  1 97  0  0
 0  0      0 542640   1044 9166376    0    0     0    78 5756 8136  2  2 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 542544   1044 9166376    0    0     0    72 5552 8036  2  1 97  0  0
 0  0      0 542828   1044 9166376    0    0     0    96 4957 7123  2  1 97  0  0
 1  0      0 542796   1044 9166376    0    0     0   100 4952 7352  2  1 97  0  0
 1  0      0 542732   1044 9166380    0    0     0    77 5108 7644  2  2 97  0  0
 0  0      0 542764   1044 9166380    0    0     0    72 5413 7827  2  1 97  0  0
 0  0      0 542540   1044 9166380    0    0     0    76 5666 8331  5  2 93  0  0
 1  0      0 542604   1044 9166380    0    0     0    72 4761 6912  2  1 97  0  0
 1  0      0 542636   1044 9166380    0    0     0   122 5244 7703  2  1 97  0  0
 0  0      0 542572   1044 9166384    0    0     0   116 6033 8703  2  2 96  0  0
 0  0      0 542508   1044 9166388    0    0     0   113 5805 8149  2  2 96  0  0
 2  0      0 542604   1044 9166388    0    0     0    76 5367 7950  2  1 97  0  0
 0  0      0 542412   1044 9166388    0    0     0    92 4926 7407  2  2 96  0  0
 0  0      0 542476   1044 9166392    0    0     0   126 5479 7903  2  2 96  0  0
 1  0      0 542380   1044 9166392    0    0     0    72 5446 7954  2  1 97  0  0
 0  0      0 542128   1044 9166392    0    0     0    84 5021 7243  2  1 96  0  0
 0  0      0 542128   1044 9166392    0    0     0    76 4826 7152  2  2 97  0  0
 2  0      0 542160   1044 9166396    0    0     0    98 5774 8273  2  2 96  0  0
 0  0      0 542128   1044 9166396    0    0     0    96 5694 8107  2  2 96  0  0
 0  0      0 542192   1044 9166396    0    0     0    76 5483 7988  2  2 97  0  0
 1  0      0 542064   1044 9166396    0    0     0   100 5456 7634  2  1 96  0  0
 0  0      0 542096   1044 9166396    0    0     0    77 5610 8055  2  2 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 541968   1044 9166400    0    0     0    72 5060 7344  2  1 97  0  0
 0  0      0 542096   1044 9166400    0    0     0    76 5141 7425  2  1 97  0  0
 0  0      0 542000   1044 9166400    0    0     0    96 5681 8219  2  1 97  0  0
 0  0      0 542064   1044 9166400    0    0     0    85 5412 7606  2  2 96  0  0
 0  0      0 541904   1044 9166404    0    0     0    72 5446 7983  2  1 96  0  0
 0  0      0 541968   1044 9166404    0    0     0    72 5160 7611  2  1 97  0  0
 0  0      0 541872   1044 9166404    0    0     0    96 4930 7276  2  1 97  0  0
