Linux 4.18.0-425.3.1.el8.x86_64 (l-dbm-labroom-1) 	西元2026年07月03日 	_x86_64_	(4 CPU)

05時04分05秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05時04分06秒  all   18.59    0.00   17.34    0.00    0.50    0.75    0.00    0.00    0.00   62.81
05時04分07秒  all   11.59    0.00   21.16    0.00    0.50    0.25    0.00    0.00    0.00   66.50
05時04分08秒  all   10.80    0.00   20.10    0.00    0.50    0.75    0.00    0.00    0.00   67.84
05時04分09秒  all    8.56    0.00   14.86    0.00    0.25    0.50    0.00    0.00    0.00   75.82
05時04分10秒  all   10.61    0.00   21.97    0.00    0.25    0.25    0.00    0.00    0.00   66.92
05時04分11秒  all   11.11    0.00   20.96    0.00    0.51    0.76    0.00    0.00    0.00   66.67
05時04分12秒  all   10.50    0.00   22.00    0.00    0.50    0.25    0.00    0.00    0.00   66.75
05時04分13秒  all   10.61    0.00   21.21    0.00    0.51    0.76    0.00    0.00    0.00   66.92
05時04分14秒  all   10.80    0.00   21.11    0.00    0.50    0.75    0.00    0.00    0.00   66.83
05時04分15秒  all   10.53    0.00   21.80    0.00    0.50    0.25    0.00    0.00    0.00   66.92
05時04分16秒  all   11.03    0.00   21.05    0.00    0.50    0.75    0.00    0.00    0.00   66.67
05時04分17秒  all   10.91    0.00   20.81    0.00    0.25    0.25    0.00    0.00    0.00   67.77
05時04分18秒  all   11.50    0.00   20.75    0.00    0.50    0.75    0.00    0.00    0.00   66.50
05時04分19秒  all   10.61    0.00   21.72    0.00    0.25    0.25    0.00    0.00    0.00   67.17
05時04分20秒  all   16.21    0.00   23.19    0.00    0.75    0.75    0.00    0.00    0.00   59.10
05時04分21秒  all    8.59    0.00   12.37    0.00    0.25    0.25    0.00    0.00    0.00   78.54
05時04分22秒  all   11.78    0.00   20.05    0.00    0.50    0.75    0.00    0.00    0.00   66.92
05時04分23秒  all   11.39    0.00   20.51    0.00    0.25    0.25    0.00    0.00    0.00   67.59
05時04分24秒  all   11.20    0.00   20.61    0.00    0.51    0.51    0.00    0.00    0.00   67.18
05時04分25秒  all   10.50    0.00   22.25    0.00    0.50    0.50    0.00    0.00    0.00   66.25
05時04分26秒  all   11.06    0.00   20.85    0.00    0.25    0.75    0.00    0.00    0.00   67.09
05時04分27秒  all   11.08    0.00   21.16    0.00    0.76    0.25    0.00    0.00    0.00   66.75
05時04分28秒  all   11.56    0.00   20.60    0.00    0.25    0.75    0.00    0.00    0.00   66.83
05時04分29秒  all   10.33    0.00   21.66    0.00    0.76    0.25    0.00    0.00    0.00   67.00
05時04分30秒  all   10.35    0.00   21.97    0.00    0.25    0.76    0.00    0.00    0.00   66.67
05時04分31秒  all   11.06    0.00   20.85    0.00    0.75    0.25    0.00    0.00    0.00   67.09
05時04分32秒  all   11.53    0.00   20.55    0.00    0.00    0.75    0.00    0.00    0.00   67.17
05時04分33秒  all   10.86    0.00   20.96    0.00    0.76    0.25    0.00    0.00    0.00   67.17
05時04分34秒  all   10.08    0.00   18.39    0.00    0.25    0.76    0.00    0.00    0.00   70.53
05時04分35秒  all    8.82    0.00   16.37    0.00    0.25    0.25    0.00    0.00    0.00   74.31
05時04分36秒  all   11.00    0.00   20.75    0.00    0.75    0.50    0.00    0.00    0.00   67.00
05時04分37秒  all   10.78    0.00   21.80    0.00    0.00    0.75    0.00    0.00    0.00   66.67
05時04分38秒  all   10.55    0.00   21.11    0.00    1.01    0.25    0.00    0.00    0.00   67.09
05時04分39秒  all   10.13    0.00   21.77    0.00    0.00    0.51    0.00    0.00    0.00   67.59
05時04分40秒  all   11.11    0.00   20.71    0.00    0.76    0.51    0.00    0.00    0.00   66.92
05時04分41秒  all   10.83    0.00   21.16    0.00    0.25    0.25    0.00    0.00    0.00   67.51
05時04分42秒  all   11.34    0.00   20.91    0.00    0.25    0.50    0.00    0.00    0.00   67.00
05時04分43秒  all    7.04    0.00   11.81    0.00    0.75    0.50    0.00    0.00    0.00   79.90
05時04分44秒  all    9.27    0.00   16.79    0.00    0.00    0.25    0.00    0.00    0.00   73.68
05時04分45秒  all   11.00    0.00   21.25    0.00    1.00    0.75    0.00    0.00    0.00   66.00
05時04分46秒  all   10.86    0.00   21.46    0.00    0.00    0.25    0.00    0.00    0.00   67.42
05時04分47秒  all   10.80    0.00   21.36    0.00    0.25    0.50    0.00    0.00    0.00   67.09
05時04分48秒  all   10.97    0.00   21.20    0.00    0.75    0.75    0.00    0.00    0.00   66.33
05時04分49秒  all   11.14    0.00   21.27    0.00    0.00    0.25    0.00    0.00    0.00   67.34
05時04分50秒  all   10.83    0.00   20.65    0.00    1.01    0.50    0.00    0.00    0.00   67.00
05時04分51秒  all   11.36    0.00   21.21    0.00    0.00    0.51    0.00    0.00    0.00   66.92
05時04分52秒  all   10.22    0.00   21.95    0.00    0.75    0.50    0.00    0.00    0.00   66.58
05時04分53秒  all   11.28    0.00   21.30    0.00    0.25    0.50    0.00    0.00    0.00   66.67
05時04分54秒  all   10.97    0.00   21.95    0.00    0.75    0.50    0.00    0.00    0.00   65.84
05時04分55秒  all   11.03    0.00   21.80    0.00    0.25    0.75    0.00    0.00    0.00   66.17
05時04分56秒  all    5.29    0.00    9.32    0.00    0.50    0.25    0.00    0.00    0.00   84.63
05時04分57秒  all    9.77    0.00   16.04    0.00    0.50    0.25    0.00    0.00    0.00   73.43
05時04分58秒  all   10.35    0.00   22.22    0.00    0.00    0.51    0.00    0.00    0.00   66.92
05時04分59秒  all   10.80    0.00   20.85    0.00    1.01    0.50    0.00    0.00    0.00   66.83
05時05分00秒  all   11.70    0.00   20.36    0.00    0.00    0.51    0.00    0.00    0.00   67.43
05時05分01秒  all   13.72    0.00   20.95    0.00    1.00    0.75    0.00    0.00    0.00   63.59
05時05分02秒  all   10.89    0.00   21.52    0.00    0.00    0.51    0.00    0.00    0.00   67.09
05時05分03秒  all   11.34    0.00   20.65    0.00    0.76    0.76    0.00    0.00    0.00   66.50
05時05分04秒  all   11.42    0.00   21.07    0.00    0.25    0.25    0.00    0.00    0.00   67.01
05時05分05秒  all    9.45    0.00   20.40    0.00    0.75    1.00    0.00    0.00    0.00   68.41
05時05分06秒  all   10.58    0.00   17.38    0.00    0.25    0.00    0.00    0.00    0.00   71.79
05時05分07秒  all    3.02    0.00    4.27    0.00    0.00    0.00    0.00    0.00    0.00   92.71
05時05分08秒  all    8.93    0.00   19.60    0.00    0.74    0.74    0.00    0.00    0.00   69.98
05時05分09秒  all    8.93    0.00   18.88    0.00    0.26    0.26    0.00    0.00    0.00   71.68
05時05分10秒  all    8.98    0.00   19.95    0.00    0.75    0.75    0.00    0.00    0.00   69.58
05時05分11秒  all    9.37    0.00   18.73    0.00    0.25    0.25    0.00    0.00    0.00   71.39
05時05分12秒  all    9.75    0.00   18.50    0.00    0.75    0.75    0.00    0.00    0.00   70.25
05時05分13秒  all    8.63    0.00   20.05    0.00    0.25    0.00    0.00    0.00    0.00   71.07
05時05分14秒  all    9.16    0.00   19.80    0.00    0.50    0.99    0.00    0.00    0.00   69.55
05時05分15秒  all    9.30    0.00   19.35    0.00    0.50    0.00    0.00    0.00    0.00   70.85
05時05分16秒  all    1.52    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.46
05時05分17秒  all    3.24    0.00    6.48    0.00    0.25    0.75    0.00    0.00    0.00   89.28
05時05分18秒  all    4.75    0.00    7.75    0.00    0.25    0.50    0.00    0.00    0.00   86.75
05時05分19秒  all    6.52    0.00    3.76    0.00    0.50    1.25    0.00    0.00    0.00   87.97
05時05分20秒  all    2.26    0.00    1.50    0.00    0.50    0.75    0.00    0.00    0.00   94.99
05時05分21秒  all    1.01    0.00    1.51    0.00    0.50    0.75    0.00    0.00    0.00   96.23
05時05分22秒  all    1.01    0.00    1.51    0.00    0.50    1.01    0.00    0.00    0.00   95.97
05時05分23秒  all    1.26    0.00    1.76    0.00    0.50    1.01    0.00    0.00    0.00   95.47
05時05分24秒  all    1.26    0.00    1.51    0.00    0.25    1.01    0.00    0.00    0.00   95.98
05時05分25秒  all    1.50    0.00    1.25    0.00    0.75    1.00    0.00    0.00    0.00   95.49
05時05分26秒  all    1.25    0.00    2.01    0.00    0.25    0.75    0.00    0.00    0.00   95.74
05時05分27秒  all    1.01    0.00    1.52    0.00    0.51    1.01    0.00    0.00    0.00   95.95
05時05分28秒  all    1.51    0.00    1.01    0.00    0.50    1.01    0.00    0.00    0.00   95.98
