procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 9698376   1020 3783456    0    0   451  2348  462  374  7  4 61 27  0
 1  0      0 9701012   1020 3783572    0    0     0   143 5735 8425  3  2 95  0  0
 0  0      0 9701396   1020 3783576    0    0     0    81 3815 6070  2  2 96  0  0
 0  0      0 9698740   1020 3783576    0    0     0    80 4404 6748  1  2 97  0  0
 1  0      0 9696464   1020 3783576    0    0     0    92 4999 7617  2  2 96  0  0
 0  0      0 9696496   1020 3783576    0    0     0    72 3921 6141  2  1 97  0  0
 0  0      0 9696880   1020 3783580    0    0     0    78 3617 5733  2  1 97  0  0
 0  0      0 9697104   1020 3783580    0    0     0   216 4223 6696  2  2 96  0  0
 0  0      0 9697836   1020 3783580    0    0     0    72 4257 6455  2  2 97  0  0
 0  0      0 9697996   1020 3783580    0    0     0   116 3544 5561  1  1 97  0  0
 1  0      0 9698348   1020 3783584    0    0     0    83 4061 6521  2  2 97  0  0
 0  0      0 9698796   1020 3783584    0    0     0    96 4565 6913  2  2 96  0  0
 0  0      0 9699212   1020 3783584    0    0     0   100 4227 6462  2  1 97  0  0
 0  0      0 9699468   1020 3783584    0    0     0    78 4037 6405  1  2 97  1  0
 0  0      0 9700008   1020 3783588    0    0     0    92 3656 5852  1  2 97  0  0
 0  0      0 9700232   1020 3783588    0    0     0    72 3627 5783  1  2 97  0  0
 0  0      0 9700776   1020 3783588    0    0     0    72 4665 6973  2  2 96  0  0
 0  0      0 9700904   1020 3783588    0    0     0   105 3848 6085  1  2 97  0  0
 0  0      0 9701352   1020 3783592    0    0     0    92 3968 6308  2  2 96  0  0
 0  0      0 9701640   1020 3783592    0    0     0    72 4029 6319  2  2 97  0  0
 0  0      0 9701928   1020 3783592    0    0     0    72 3982 5917  2  2 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 9702408   1020 3783592    0    0     0    72 4461 6872  2  2 97  0  0
 0  0      0 9702728   1020 3783596    0    0     0   112 4298 6790  3  2 95  0  0
 0  0      0 9703048   1020 3783596    0    0     0   116 3889 6152  1  1 97  0  0
 0  0      0 9703564   1020 3783596    0    0     0    72 4059 6194  2  2 96  0  0
 0  0      0 9703908   1020 3783600    0    0     0    77 3645 5714  2  2 97  0  0
 0  0      0 9704228   1020 3783600    0    0     0    72 3806 6156  1  2 97  0  0
 0  0      0 9704484   1020 3783600    0    0     0   100 3759 5961  1  2 97  0  0
 0  0      0 9704868   1020 3783600    0    0     0    92 4114 6094  2  2 96  0  0
 1  0      0 9661312   1020 3822696    0    0     0 37271 4670 6202 17  4 79  0  0
 1  0      0 9798568   1020 3684948    0    0     0 30145 5600 7199 24  4 71  1  0
 1  0      0 9767152   1020 3701536    0    0     0 14408 6531 8393 26  3 71  1  0
 1  0      0 9749576   1020 3717108    0    0     0 16046 5480 6737 27  3 70  0  0
 1  0      0 9730648   1020 3736420    0    0     0 19382 5018 6277 25  3 72  0  0
 1  0      0 9704460   1020 3755812    0    0     0 20472 5155 6609 26  3 71  0  0
 1  0      0 9686416   1020 3776220    0    0     0 20451 4778 5968 25  3 72  0  0
 1  0      0 9680344   1020 3794672    0    0     0 18154 5336 6513 25  3 71  0  0
 1  0      0 9812552   1020 3645784    0    0     0 16354 4728 6146 22  3 74  1  0
 0  0      0 9811824   1020 3645820    0    0     0   108 5481 7417  5  4 91  0  0
 0  0      0 9813788   1020 3645828    0    0     0    90 4092 6521  1  2 97  0  0
 3  0      0 9826584   1020 3645828    0    0     0    96 4566 6930  2  2 96  0  0
 0  0      0 9826904   1020 3645828    0    0     0    72 4521 6941  2  2 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 9827320   1020 3645832    0    0     0   126 3729 5900  2  2 96  0  0
 0  0      0 9827356   1020 3645832    0    0     0    72 4249 6763  2  1 97  0  0
 0  0      0 9827676   1020 3645832    0    0     0    76 4029 6058  1  2 97  0  0
 0  0      0 9827996   1020 3645832    0    0     0    92 3530 5579  1  1 97  0  0
 0  0      0 9828536   1020 3645832    0    0     0    77 3992 6402  2  1 97  0  0
 0  0      0 9830480   1020 3645836    0    0     0    96 3854 5988  1  2 97  0  0
 0  0      0 9830608   1020 3645836    0    0     0    72 4152 6308  2  2 97  0  0
 0  0      0 9830896   1020 3645836    0    0     0   128 4282 6593  2  2 96  0  0
 0  0      0 9834476   1020 3645840    0    0     0    74 4087 6451  1  2 97  0  0
 0  0      0 9834784   1020 3645852    0    0     0    92 5273 7702  3  3 94  0  0
 0  0      0 9835136   1020 3645852    0    0     0    76 4367 6726  2  2 96  0  0
 0  0      0 9835424   1020 3645852    0    0     0    72 3667 5780  1  2 97  0  0
