ts_ns,query_type,latency_ms
1783029291873343684,select,9.507
1783029291885936641,update,23.461
1783029292015624682,select,6.888
1783029292026058566,update,8.365
1783029292139490272,select,7.181
1783029292150307752,update,9.007
1783029292264786703,select,7.642
1783029292276206451,update,9.294
1783029292390814836,select,9.994
1783029292404784277,update,14.526
1783029292524708079,select,7.397
1783029292536669730,update,7.617
1783029292648539318,select,7.079
1783029292658536383,update,7.838
1783029292771852264,select,6.795
1783029292781721613,update,8.598
1783029292895148643,select,8.598
1783029292906953691,update,7.790
1783029293020454130,select,8.976
1783029293033202045,update,8.438
1783029293147220931,select,8.560
1783029293159194165,update,8.232
1783029293272264744,select,7.563
1783029293284813693,update,8.219
1783029293399408254,select,7.364
1783029293409979039,update,8.443
1783029293524368341,select,7.927
1783029293535248973,update,8.543
1783029293648499105,select,7.888
1783029293661181212,update,8.575
1783029293774741312,select,8.135
1783029293786474679,update,8.644
1783029293900596813,select,8.017
1783029293912965515,update,8.924
1783029294027677493,select,8.271
1783029294039769228,update,10.416
1783029294154863140,select,8.242
1783029294167028371,update,9.414
1783029294281311212,select,7.301
1783029294292115832,update,8.884
1783029294406606227,select,7.627
1783029294419189342,update,9.493
1783029294533974709,select,9.227
1783029294546653101,update,9.803
1783029294662413901,select,7.288
1783029294673640093,update,9.712
1783029294788635673,select,7.464
1783029294799693930,update,10.085
1783029294914773679,select,8.735
1783029294927084333,update,8.744
1783029295040678851,select,7.239
1783029295051695188,update,8.700
1783029295165505288,select,7.120
1783029295176021794,update,8.536
1783029295290383629,select,9.626
1783029295303413109,update,8.581
1783029295418407848,select,6.911
1783029295429384079,update,9.028
1783029295543830743,select,7.302
1783029295555079119,update,8.349
1783029295667793764,select,7.811
1783029295678685827,update,8.909
1783029295792604679,select,7.117
1783029295803933016,update,8.550
1783029295918181971,select,7.673
1783029295929013752,update,8.698
1783029296042730895,select,8.250
1783029296054369120,update,8.557
1783029296167590717,select,8.057
1783029296179558041,update,8.420
1783029296292884380,select,8.021
1783029296304645314,update,9.201
1783029296418182167,select,7.293
1783029296428625138,update,9.147
1783029296542576440,select,8.150
1783029296553721819,update,8.028
1783029296666391382,select,7.128
1783029296676744284,update,8.852
1783029296790156280,select,11.228
1783029296805141399,update,9.038
1783029296919285910,select,9.229
1783029296932593468,update,9.598
1783029297047456614,select,7.323
1783029297058091388,update,8.840
1783029297171856393,select,8.388
