procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   2560 1001536   5796 6437132    0    0     0     1    0    0  0  0 100  0  0
 3  0   2560 968204   5796 6437288    0    0     0    74 9530 9276 18 20 62  0  0
 4  0   2560 967892   5796 6437288    0    0     0     0 9141 9782 10 23 67  0  0
 1  0   2560 967840   5796 6437288    0    0     0     0 8837 9234 11 23 67  0  0
 2  0   2560 967900   5796 6437328    0    0     0     0 6962 7012  9 15 76  0  0
 2  0   2560 967988   5796 6437344    0    0     0     0 9242 9942 10 23 67  0  0
 1  0   2560 968224   5796 6437348    0    0     0     0 9295 10236 11 22 67  0  0
 2  0   2560 967876   5796 6437352    0    0     0     0 9079 9719 11 22 67  0  0
 1  0   2560 967952   5796 6437388    0    0     0     0 9029 9612 10 23 67  0  0
 2  0   2560 968256   5796 6437388    0    0     0    20 8675 8889 11 23 66  0  0
 1  0   2560 944304   5796 6437392    0    0     0   297 8803 9263 13 23 64  0  0
 1  0   2560 944112   5796 6437416    0    0     0     0 9055 9648 10 23 66  0  0
 2  0   2560 943912   5796 6437416    0    0     0     0 8966 9422 10 23 67  0  0
 1  0   2560 943508   5796 6437452    0    0     0     0 8618 8720 11 23 66  0  0
 1  0   2560 943704   5796 6437472    0    0     0     0 8879 9308 10 23 67  0  0
 2  0   2560 944652   5796 6437484    0    0     0     0 9091 9642 11 23 67  0  0
 2  0   2560 943804   5796 6437484    0    0     0     0 9145 9770 11 22 67  0  0
 1  0   2560 943444   5796 6437472    0    0     0     0 6426 6208  7 15 78  0  0
 1  0   2560 943456   5796 6437488    0    0     0     0 8817 9230 10 23 67  0  0
 2  0   2560 943720   5796 6437488    0    0     0     0 9211 9931 10 24 66  0  0
 1  0   2560 944192   5796 6437488    0    0     0     0 9301 10116 10 22 67  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 943976   5796 6437512    0    0     0     0 9215 9954 11 22 67  0  0
 1  0   2560 943032   5796 6437528    0    0     0     0 8934 9338 11 23 66  0  0
 2  0   2560 943928   5796 6437564    0    0     0     0 8730 9102 11 22 67  0  0
 1  0   2560 943432   5796 6437564    0    0     0     0 8783 9128 11 23 66  0  0
 1  0   2560 944636   5796 6437568    0    0     0     0 9134 9734 11 23 67  0  0
 1  0   2560 944552   5796 6437572    0    0     0     0 8971 9466 11 23 66  0  0
 1  0   2560 943796   5796 6437588    0    0     0     0 8679 9074 11 24 66  0  0
 3  0   2560 965348   5796 6437600    0    0     0   164 8532 8661 15 24 61  0  0
 1  0   2560 968284   5796 6437604    0    0     0   116 8522 8731 12 24 64  0  0
 1  0   2560 968268   5796 6437604    0    0     0    12 8444 8639 10 24 66  0  0
 1  0   2560 968368   5796 6437604    0    0     0     0 8580 8845 11 22 67  0  0
 1  0   2560 967604   5796 6437628    0    0     0     0 6218 5920  9 14 78  0  0
 3  0   2560 967384   5796 6437628    0    0     0     0 8564 8826 11 23 66  0  0
 1  0   2560 968456   5796 6437628    0    0     0     0 8806 9275 11 23 66  0  0
 1  0   2560 967996   5796 6437628    0    0     0   308 8725 9190 11 23 66  0  0
 1  0   2560 967880   5796 6437628    0    0     0     0 8962 9549 10 23 67  0  0
 1  0   2560 967784   5796 6437628    0    0     0     0 8826 9294 11 23 67  0  0
 1  0   2560 968172   5796 6437628    0    0     0     0 8713 9021 10 24 66  0  0
 1  0   2560 967704   5796 6437628    0    0     0     0 8822 9282 11 23 67  0  0
 1  0   2560 968532   5796 6437664    0    0     0    94 8889 9339 10 23 66  0  0
 1  0   2560 968604   5796 6437676    0    0     0     0 8630 8887 10 23 67  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0   2560 967900   5796 6437688    0    0     0     0 4336 3777  5  9 86  0  0
 1  0   2560 968212   5796 6437716    0    0     0     0 8422 8682 11 23 66  0  0
 2  0   2560 969240   5796 6437744    0    0     0     0 8717 9071 10 24 66  0  0
