Linux 4.18.0-553.129.1.el8_10.x86_64 (g-test-poc-3) 	07/02/26 	_x86_64_	(4 CPU)

22:11:52     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22:11:53     all    1.76    0.00    1.01    0.00    0.25    0.00    0.00    0.00    0.00   96.98
22:11:54     all    0.50    0.00    0.75    0.25    0.25    0.25    0.00    0.00    0.00   97.99
22:11:55     all    1.00    0.00    1.00    0.00    0.25    0.00    0.00    0.00    0.00   97.75
22:11:56     all    1.24    0.00    1.00    0.50    0.50    0.25    0.00    0.00    0.00   96.52
22:11:57     all    1.01    0.00    0.50    0.25    0.25    0.00    0.00    0.00    0.00   97.98
22:11:58     all    1.00    0.00    1.00    0.25    0.00    0.50    0.00    0.00    0.00   97.25
22:11:59     all    1.25    0.00    0.00    0.25    0.50    0.25    0.00    0.00    0.00   97.76
22:12:00     all    0.50    0.00    0.76    0.00    0.50    0.00    0.00    0.00    0.00   98.24
22:12:01     all    0.76    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   98.49
22:12:02     all    1.01    0.00    0.50    0.25    0.00    0.00    0.00    0.00    0.00   98.24
22:12:03     all    0.50    0.00    0.50    0.25    0.50    0.50    0.00    0.00    0.00   97.75
22:12:04     all    1.00    0.00    0.50    0.25    0.50    0.00    0.00    0.00    0.00   97.75
22:12:05     all    0.76    0.00    0.76    0.25    0.00    0.25    0.00    0.00    0.00   97.98
22:12:06     all    1.75    0.00    1.00    0.25    0.25    0.00    0.00    0.00    0.00   96.74
22:12:07     all    0.25    0.00    0.50    0.00    0.50    0.50    0.00    0.00    0.00   98.24
22:12:08     all    1.25    0.00    0.75    0.25    0.25    0.00    0.00    0.00    0.00   97.49
22:12:09     all    0.51    0.00    0.51    0.25    0.00    0.00    0.00    0.00    0.00   98.73
22:12:10     all    1.00    0.00    0.75    0.00    0.50    0.50    0.00    0.00    0.00   97.26
22:12:11     all    0.00    0.00    0.51    0.76    0.25    0.00    0.00    0.00    0.00   98.48
22:12:12     all    1.25    0.00    1.00    0.00    0.25    0.25    0.00    0.00    0.00   97.26
22:12:13     all    1.01    0.00    0.75    0.00    0.25    0.00    0.00    0.00    0.00   97.99
22:12:14     all    1.01    0.00    0.50    0.50    0.25    0.00    0.00    0.00    0.00   97.74
22:12:15     all    0.25    0.00    1.01    0.00    0.25    0.25    0.25    0.00    0.00   97.99
22:12:16     all    1.25    0.00    0.75    0.25    0.50    0.25    0.00    0.00    0.00   96.99
22:12:17     all    1.00    0.00    0.25    0.25    0.25    0.50    0.00    0.00    0.00   97.74
22:12:18     all    1.50    0.00    0.75    0.00    0.25    0.00    0.25    0.00    0.00   97.24
22:12:19     all    1.01    0.00    0.75    0.25    0.00    0.00    0.00    0.00    0.00   97.99
22:12:20     all    1.01    0.00    0.75    0.50    0.50    0.25    0.00    0.00    0.00   96.98
22:12:21     all    1.00    0.00    0.50    0.25    0.50    0.00    0.25    0.00    0.00   97.50
22:12:22     all    1.26    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   97.98
22:12:23     all    1.00    0.00    0.50    0.25    0.25    0.50    0.00    0.00    0.00   97.51
22:12:24     all    1.00    0.00    0.75    0.00    0.75    0.50    0.00    0.00    0.00   97.01
22:12:25     all    1.01    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   98.24
22:12:26     all    1.01    0.00    1.01    0.50    0.00    0.00    0.00    0.00    0.00   97.48
22:12:27     all    1.00    0.00    0.50    0.50    0.50    0.00    0.00    0.00    0.00   97.50
22:12:28     all    1.00    0.00    0.75    0.00    0.50    0.25    0.00    0.00    0.00   97.50
22:12:29     all    0.76    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   98.73
22:12:30     all    1.00    0.00    0.50    0.25    0.25    0.25    0.00    0.00    0.00   97.75
