procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 12624316   3132 3205444    0    0     8   348    1  188  4  3 92  1  0
 0  0      0 12627072   3132 3205496    0    0     0     0 2102 2997  1  2 97  0  0
 0  0      0 12627104   3132 3205496    0    0     0    53 1399 2192  1  1 98  0  0
 0  0      0 12627232   3132 3205496    0    0     0     0 1142 1787  1  1 99  0  0
 1  0      0 12627328   3132 3205496    0    0     0     0 1224 1836  0  1 99  0  0
 1  0      0 12627488   3132 3205500    0    0     0     0 1447 2063  1  1 98  0  0
 0  0      0 12627616   3132 3205500    0    0     0     0 1258 1862  1  1 99  0  0
 1  0      0 12627744   3132 3205500    0    0     0     0 1281 1861  1  1 99  0  0
 1  0      0 12627840   3132 3205500    0    0     0     0 1201 1914  1  1 99  0  0
 1  0      0 12627968   3132 3205500    0    0     0     0 1384 2105  1  1 98  0  0
 0  0      0 12628096   3132 3205500    0    0     0     0 1559 2270  1  1 98  0  0
 0  0      0 12628192   3132 3205500    0    0     0     0 1449 2224  1  1 98  0  0
 0  0      0 12628352   3132 3205500    0    0     0     0 1699 2751  1  1 98  0  0
 0  0      0 12628384   3132 3205500    0    0     0     8 1433 2335  1  1 98  0  0
 0  0      0 12625376   3132 3205500    0    0     0     0 1298 2048  1  1 99  0  0
 0  0      0 12625504   3132 3205500    0    0     0     0 1644 2407  1  1 98  0  0
 0  0      0 12625664   3132 3205500    0    0     0     0 1545 2388  1  1 98  0  0
 0  0      0 12625792   3132 3205500    0    0     0     0 1371 2093  1  1 98  0  0
 0  0      0 12625920   3132 3205500    0    0     0     0 1244 1906  1  1 98  0  0
 0  0      0 12625920   3132 3205500    0    0     0     0 1225 1929  1  1 99  0  0
 0  0      0 12626176   3132 3205500    0    0     0     0 1701 2493  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12623168   3132 3205500    0    0     0     0 1589 2507  1  1 98  0  0
 0  0      0 12623232   3132 3205500    0    0     0     0 1501 2295  0  1 99  0  0
 0  0      0 12623360   3132 3205500    0    0     0     0 1411 2335  1  1 98  0  0
 0  0      0 12623424   3132 3205504    0    0     0     0 1017 1573  1  1 99  0  0
 0  0      0 12623616   3132 3205508    0    0     0     0 1543 2234  1  2 98  0  0
 0  0      0 12623712   3132 3205508    0    0     0     0 1584 2457  0  1 99  0  0
 0  0      0 12623808   3132 3205508    0    0     0     0 1573 2444  1  1 98  0  0
 0  0      0 12623936   3132 3205508    0    0     0     0 1307 2061  0  1 99  0  0
 0  0      0 12624032   3132 3205508    0    0     0     0 1301 1954  1  1 98  0  0
 0  0      0 12624160   3132 3205512    0    0     0     0 1594 2226  1  1 98  0  0
 0  0      0 12624320   3132 3205512    0    0     0     0 1559 2287  1  1 98  0  0
 0  0      0 12624448   3132 3205512    0    0     0    99 1448 2221  0  1 99  0  0
 0  0      0 12624544   3132 3205512    0    0     0     0 1467 2363  1  1 98  0  0
 0  0      0 12624640   3132 3205512    0    0     0    52 1152 1855  1  1 99  0  0
 0  0      0 12624768   3132 3205512    0    0     0     0 1527 2238  1  1 98  0  0
 0  0      0 12624896   3132 3205512    0    0     0     0 1618 2443  1  1 98  0  0
 0  0      0 12625056   3132 3205512    0    0     0     0 1651 2455  1  1 98  0  0
 0  0      0 12625152   3132 3205512    0    0     0     0 1269 1974  1  1 98  0  0
 0  0      0 12625184   3132 3205512    0    0     0     0 1345 2132  1  1 98  0  0
 0  0      0 12625344   3132 3205516    0    0     0     0 1435 2100  1  1 98  0  0
 0  0      0 12625504   3132 3205516    0    0     0     0 1440 2168  1  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12625632   3132 3205516    0    0     0     0 1462 2295  1  1 98  0  0
 0  0      0 12625760   3132 3205516    0    0     0     0 1230 1868  1  1 98  0  0
 0  0      0 12625824   3132 3205516    0    0     0     0 1062 1659  0  1 99  0  0
 0  0      0 12625984   3132 3205516    0    0     0     0 1597 2410  1  1 98  0  0
 0  0      0 12626112   3132 3205516    0    0     0     0 1787 2721  1  1 98  0  0
 0  0      0 12626240   3132 3205516    0    0     0     0 1551 2361  1  1 98  0  0
 0  0      0 12626368   3132 3205516    0    0     0     0 1466 2256  1  1 99  0  0
 0  0      0 12626432   3132 3205516    0    0     0     0 1352 2137  0  1 98  0  0
 0  0      0 12626496   3132 3205516    0    0     0     0 1440 2112  1  1 99  0  0
 0  0      0 12626720   3132 3205516    0    0     0     0 1758 2552  1  1 98  0  0
 0  0      0 12626848   3132 3205516    0    0     0     0 1479 2212  1  1 98  0  0
 0  0      0 12626944   3132 3205516    0    0     0     0 1192 1784  1  1 99  0  0
 0  0      0 12627040   3132 3205516    0    0     0     8 1056 1633  1  1 99  0  0
 1  0      0 12627104   3132 3205516    0    0     0     0 1410 2082  1  1 98  0  0
 0  0      0 12627296   3132 3205516    0    0     0     0 1793 2664  1  1 98  0  0
 0  0      0 12627456   3132 3205516    0    0     0     0 1673 2576  1  1 98  0  0
 0  0      0 12627584   3132 3205516    0    0     0     0 1313 2047  1  1 99  0  0
 0  0      0 12627744   3132 3205524    0    0     0     0 2004 2944  1  1 98  0  0
 1  0      0 12627840   3132 3205524    0    0     0     0 1497 2302  1  1 98  0  0
 0  0      0 12627952   3132 3205552    0    0     0    13 2579 3150  2  4 94  0  0
 0  0      0 12628080   3132 3205552    0    0     0     0 1436 2219  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12628176   3132 3205556    0    0     0    29 1228 1891  0  1 99  0  0
 0  0      0 12628240   3132 3205556    0    0     0     0  842 1426  0  1 99  0  0
 0  0      0 12628240   3132 3205556    0    0     0     0  846 1452  0  1 99  0  0
 0  0      0 12628272   3132 3205556    0    0     0     0 1204 2061  1  1 99  0  0
 0  0      0 12628336   3132 3205556    0    0     0     0 1343 2298  1  1 99  0  0
 0  0      0 12628400   3132 3205556    0    0     0     0 1149 1924  0  1 99  0  0
 0  0      0 12628432   3132 3205556    0    0     0     0 1056 1738  1  1 99  0  0
 0  0      0 12628624   3132 3205556    0    0     0    20 1787 2612  1  1 98  0  0
 0  0      0 12628752   3132 3205556    0    0     0     0 1567 2465  1  1 98  0  0
 0  0      0 12628880   3132 3205556    0    0     0     0 1576 2450  1  1 98  0  0
 0  0      0 12628944   3132 3205556    0    0     0     0 1227 1998  0  1 99  0  0
 0  0      0 12629072   3132 3205556    0    0     0     0 1052 1629  0  1 99  0  0
 0  0      0 12626064   3132 3205556    0    0     0     0 1591 2310  1  1 98  0  0
