procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12643228   1068 1532020    0    0     9   896  110  239  4  2 93  1  0
 0  0      0 12643256   1068 1532072    0    0     0     0 3138 4398  1  1 98  0  0
 0  0      0 12643352   1068 1532072    0    0     0     0 2725 3787  1  1 98  0  0
 0  0      0 12643340   1068 1532076    0    0     0  1830 6958 10876  2  3 94  2  0
 2  0      0 12648652   1068 1532076    0    0     0 22518 53814 85567  9 13 58 19  0
 3  1      0 12648972   1068 1532084    0    0     0 24931 57508 92390 10 13 57 20  0
 2  1      0 12648556   1068 1532084    0    0     0 26250 60172 94934 11 13 55 21  0
 0  0      0 12648492   1068 1532084    0    0     0 27130 61972 96634 12 15 51 21  0
 3  0      0 12649052   1068 1532104    0    0     0 26522 61450 95619 10 14 54 22  0
 0  1      0 12649020   1068 1532104    0    0     0 25225 58220 90039 11 14 54 21  0
 0  1      0 12648908   1068 1532104    0    0     0 26004 59994 94130 10 13 55 21  0
 1  3      0 12648428   1068 1532104    0    0     0 28146 64086 99543 12 14 52 22  0
 1  3      0 12648460   1068 1532104    0    0     0 26017 58238 92710 11 13 54 22  0
10  4      0 12648460   1068 1532104    0    0     0 27759 61949 97973 11 14 51 24  0
 2  2      0 12648016   1068 1532104    0    0     0 25771 57808 91787 12 12 55 21  0
 3  3      0 12648176   1068 1532104    0    0     0 26990 62601 98323 11 13 53 22  0
 0  2      0 12647792   1068 1532104    0    0     0 27241 62197 97022 10 14 53 22  0
 1  0      0 12644636   1068 1536200    0    0     0 26446 60740 94002 11 14 54 21  0
 8  0      0 12644668   1068 1536200    0    0     0 25534 58911 91365 11 13 55 21  0
 4  0      0 12644700   1068 1536200    0    0     0 26612 61458 95823 11 13 54 22  0
 0  1      0 12644284   1068 1536200    0    0     0 28670 64102 101791 11 14 52 23  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  1      0 12643900   1068 1536204    0    0     0 26694 61975 96327 11 13 53 22  0
 0  0      0 12644284   1068 1536208    0    0     0 29592 68378 107019 11 15 50 23  0
 2  5      0 12636192   1068 1536228    0    0    24 32855 64052 100536 15 13 50 22  0
 2  1      0 12636096   1068 1536240    0    0     0 30115 67794 106809 13 14 50 23  0
 2  0      0 12635936   1068 1536244    0    0     0 29011 65688 103494 11 14 52 23  0
 5  1      0 12636000   1068 1536244    0    0     0 29392 66291 104949 11 15 52 23  0
 3  0      0 12636224   1068 1536244    0    0     0 29192 64839 103842 12 15 52 22  0
 3  0      0 12643528   1068 1536244    0    0     0 30245 67442 107468 12 14 50 24  0
 3  1      0 12642952   1068 1536244    0    0     0 30853 68148 111033 11 15 50 23  0
 2  0      0 12643176   1068 1536248    0    0     0 28412 64651 103717 11 14 53 23  0
 0  0      0 12643448   1068 1536284    0    0    24 33166 62628 99080 11 14 52 22  0
 2  2      0 12643832   1068 1536284    0    0     0 27860 64214 101367 11 15 52 22  0
 4  0      0 12643576   1068 1536284    0    0     0 28688 62957 99215 11 15 52 22  0
 1  1      0 12643096   1068 1536284    0    0     0 28634 64200 101476 12 14 52 22  0
 9  0      0 12643960   1068 1536292    0    0     0 27023 61710 97573 11 14 53 21  0
 3  6      0 12643512   1068 1536292    0    0     0 27643 62978 99284 11 14 53 22  0
 2  5      0 12643736   1068 1536292    0    0    24 29392 64889 103124 11 14 53 22  0
 6  2      0 12643736   1068 1536312    0    0     0 29168 59741 94923 11 13 54 21  0
 0  1      0 12635448   1068 1544328    0    0     0 28967 64053 102839 11 15 52 22  0
 8  2      0 12635544   1068 1544516    0    0     0 28021 63309 101617 11 14 54 22  0
 2  2      0 12628060   1068 1552724    0    0     0 27885 62304 99489 12 12 54 22  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1      0 12628284   1068 1552724    0    0     0 28893 65573 103657 11 14 52 22  0
 1  0      0 12628092   1068 1552724    0    0     0 28501 64176 100770 12 14 52 23  0
 1  3      0 12628284   1068 1552724    0    0     0 27941 61603 99453 12 14 51 24  0
 0  3      0 12627996   1068 1552724    0    0     0 28500 63317 103082 11 14 53 22  0
 1  3      0 12627932   1068 1552728    0    0     0 28401 64856 102688 11 14 53 23  0
 0  2      0 12627420   1068 1552728    0    0     0 27752 63216 99811 11 14 53 21  0
 0  0      0 12628348   1068 1552728    0    0     0 26869 61837 98395 11 14 53 22  0
 5  4      0 12628096   1068 1552732    0    0     0 26314 61072 93745 11 14 54 21  0
 1  2      0 12627744   1068 1552732    0    0     0 29390 65989 105233 11 14 52 23  0
 5  3      0 12627488   1068 1552732    0    0     0 26513 60527 95881 11 13 55 21  0
 1  5      0 12627840   1068 1552732    0    0     0 28192 64511 100859 12 14 53 22  0
 4  0      0 12627936   1068 1552736    0    0     0 27496 61778 97821 10 13 54 22  0
 7  4      0 12628032   1068 1552748    0    0     0 28466 64277 102362 12 15 52 21  0
 3  3      0 12627712   1068 1552748    0    0     0 26721 59726 93845 12 15 52 21  0
 3  2      0 12627904   1068 1552748    0    0     0 27073 61513 96899 12 15 52 21  0
 4  1      0 12627712   1068 1552748    0    0     0 25367 57614 90274 12 13 54 21  0
 3  4      0 12627712   1068 1552748    0    0     0 28059 62381 98443 12 14 53 21  0
 1  0      0 12627968   1068 1552748    0    0     0 26612 59942 93133 12 14 54 20  0
 0  0      0 12626660   1068 1552748    0    0     0 26446 61221 95331 12 13 54 21  0
 3  0      0 12626840   1068 1552756    0    0     0 27097 60381 95959 12 14 53 22  0
 2  0      0 12626616   1068 1552784    0    0    24 29332 65427 102067 12 15 50 23  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  6      0 12626888   1068 1552780    0    0     0 25631 57693 91112 10 13 57 20  0
 1  4      0 12626344   1068 1552780    0    0     0 29390 63843 99700 12 15 52 21  0
 0  1      0 12626632   1068 1552784    0    0     0 26778 60311 94621 11 14 54 21  0
 2  2      0 12626536   1068 1552784    0    0     0 26910 61014 95989 11 15 52 22  0
 6  3      0 12626440   1068 1552788    0    0     0 26885 60003 94597 11 14 54 21  0
 8  3      0 12626600   1068 1552788    0    0     0 25804 58388 91628 11 13 55 21  0
 8  2      0 12626248   1068 1552796    0    0     0 26846 57553 88007 12 15 54 20  0
 3  1      0 12626632   1068 1552796    0    0     0 27378 62137 98450 11 15 53 20  0
 6  2      0 12626504   1068 1552796    0    0     0 28127 64451 100426 12 14 52 22  0
 6  5      0 12626120   1068 1552796    0    0     0 27736 61212 97996 11 14 53 22  0
 3  3      0 12626760   1068 1552796    0    0     0 26128 58986 94533 11 13 56 20  0
