procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 14163828     28 672312    0    0    31   276  238  171  2  1 97  0  0
 4  1      0 14123640     28 679948    0    0  3284  8607 37524 37737 30 11 52  7  0
 3  0      0 14107096     28 686464    0    0  2932  8691 34957 41609 27  9 57  7  0
 3  0      0 14070980     28 712572    0    0  1888 50751 30696 35584 33 10 48 10  0
 0  0      0 14075140     28 700848    0    0  4576 57754 33173 37147 25 10 54 11  0
 2  1      0 14078104     28 702696    0    0  2140 10468 34255 39161 25  8 57 10  0
 0  1      0 14072944     28 704544    0    0  1556  8588 33396 39723 24  8 59  9  0
 2  1      0 14079272     28 705768    0    0  1224  8144 36492 44432 22  9 61  9  0
 3  1      0 14077056     28 706964    0    0  1224  8040 35301 43824 21  8 63  8  0
 2  1      0 14070492     28 708188    0    0  1308  9372 37665 45275 25  9 57  9  0
 3  1      0 14060184     28 709576    0    0  1276 10016 39522 46396 27 10 53 10  0
 2  1      0 14055248     28 710680    0    0  1240  8488 37150 48067 21  8 63  8  0
 1  0      0 14052516     28 711708    0    0   892  8908 35686 43241 23  9 60  9  0
 2  1      0 14048856     28 712352    0    0   764 11832 36020 39731 27  9 53 11  0
 0  0      0 14047080     28 713160    0    0   688  8252 35814 45634 21  8 62  8  0
 0  1      0 14044352     28 713776    0    0   612  9380 34558 41736 25  9 57  9  0
 3  0      0 14041636     28 714092    0    0   608  8028 37294 45743 24  9 58  9  0
 5  0      0 14039956     28 714756    0    0   488  8252 35174 43256 23  8 60  9  0
 4  0      0 14038272     28 715236    0    0   364  8116 37257 47568 21  8 62  8  0
 0  0      0 14035344     28 715796    0    0   732  9304 37662 44684 24  9 58 10  0
 2  1      0 13993132     28 728196    0    0   596 22224 35226 41611 25  8 57 10  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 13976544     28 728572    0    0  5600 67994 30964 31948 38  9 41 12  0
 3  1      0 13976124     28 728964    0    0   492  8608 35085 42430 22  8 61  9  0
 4  1      0 13975044     28 729452    0    0   572 10794 36330 43733 23  9 58 10  0
 1  0      0 13975536     28 729960    0    0   368  9048 39355 51267 21  8 63  9  0
 0  0      0 13973596     28 730464    0    0   520  8325 29356 39813 14  6 72  8  0
 3  0      0 13973632     28 730564    0    0     0  5976 21032 28997  8  4 81  7  0
 0  0      0 13969368     28 730616    0    0    80  8146 31592 40556 14  7 70  9  0
 3  1      0 13968376     28 730824    0    0   176  7156 30784 42082 12  6 73  8  0
 0  1      0 13968324     28 730856    0    0    48  6625 27805 39975 10  6 77  8  0
 0  0      0 13967184     28 730952    0    0    96  7868 31878 43172 12  6 73  9  0
 0  0      0 13966684     28 730980    0    0    28  6388 27292 38394  8  5 80  7  0
 2  1      0 13966144     28 730980    0    0    28  4484 20080 28564  8  4 82  6  0
 1  1      0 13966752     28 731008    0    0     0  6424 23739 33015  8  5 80  7  0
 1  1      0 13965456     28 731036    0    0    56  7240 30353 41496 10  6 76  8  0
 2  1      0 13943516     28 743760    0    0    88 38231 21842 29674 17  5 70  8  0
 1  0      0 13947180     28 731780    0    0    56 26750 24696 29026 18  6 68  9  0
 1  1      0 13948380     28 731816    0    0   164  5968 26041 35736 10  5 78  7  0
 4  1      0 13948332     28 731904    0    0    32  6320 25464 34084  9  5 78  8  0
 0  0      0 13955200     28 731904    0    0     0  6632 28013 39086  9  5 78  8  0
 4  1      0 13954752     28 731956    0    0   108  5856 28287 40116  9  5 79  8  0
 2  1      0 13954504     28 732124    0    0   112  8196 32103 43359 12  6 73  9  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 13954664     28 732124    0    0     0  7028 28095 37271 11  6 74  9  0
 1  1      0 13954584     28 732124    0    0     0  5872 22539 31428  9  5 80  6  0
 2  0      0 13954696     28 732124    0    0     0  5952 26582 35574  9  5 79  7  0
 1  0      0 13954396     28 732188    0    0    64  6972 25222 34123 11  6 77  7  0
 1  0      0 13954188     28 732220    0    0    32  8084 29893 36988 13  6 72  9  0
 1  1      0 13953604     28 732280    0    0    60  8220 30703 39409 14  7 70  9  0
 2  0      0 13953104     28 732504    0    0   224  8048 31543 42761 12  6 72  9  0
 0  0      0 13952548     28 732504    0    0     0  7896 31897 43003 12  7 72  9  0
 2  1      0 13952352     28 732536    0    0    64  6508 29123 40963  9  6 77  8  0
 2  1      0 13951276     28 732652    0    0    84  6464 26325 35367 10  5 78  7  0
 3  0      0 13951228     28 732652    0    0    32  6828 27691 35586 12  6 74  8  0
 0  0      0 13950372     28 732740    0    0    56  8256 28834 37859 11  6 75  8  0
 0  0      0 13950108     28 732740    0    0     0  5916 28486 41580  9  5 80  7  0
 4  0      0 13950016     28 732740    0    0    28  7071 25100 35821  8  5 81  7  0
 3  0      0 13949044     28 732828    0    0    56  7680 32112 42246 12  6 73  9  0
 0  1      0 13948368     28 732880    0    0    52  8568 30412 39216 14  7 70  9  0
 0  0      0 13922024     28 732936    0    0    56  7092 28494 38938 11  7 74  8  0
 0  0      0 13914556     28 732936    0    0    28  6304 24854 32461 13  6 74  8  0
 1  0      0 13887000     28 755216    0    0    64 30155 27228 34873 18  7 65  9  0
 3  0      0 13902224     28 739412    0    0   116 59095 27757 31531 28  8 53 11  0
 0  0      0 13902200     28 739468    0    0   116  6360 24592 33048 11  6 75  8  0
