procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   2560 932840   5796 6519364    0    0     0     1    0    0  0  0 100  0  0
 1  0   2560 890512   5796 6519568    0    0     0     0 23528 22783 11  8 81  0  0
 1  0   2560 891128   5796 6519668    0    0     0     0 22443 24338  2  4 94  0  0
 1  0   2560 889096   5796 6519668    0    0     0     0 23480 25318  2  4 94  0  0
 0  0   2560 888920   5796 6519668    0    0     0     0 22147 23815  2  4 95  0  0
 2  0   2560 888372   5796 6519668    0    0     0     0 22129 23562  2  4 94  0  0
 0  0   2560 887788   5796 6519668    0    0     0    12 21514 23032  2  4 95  0  0
 0  0   2560 888028   5796 6519668    0    0     0     0 20011 21504  1  4 95  0  0
 0  0   2560 887332   5796 6519668    0    0     0     0 17491 18773  2  3 95  0  0
 0  0   2560 887616   5796 6519668    0    0     0     0 21606 23180  2  4 94  0  0
 1  0   2560 887560   5796 6519668    0    0     0     0 22632 24299  2  4 94  0  0
 2  0   2560 887228   5796 6519684    0    0     0     0 22623 24265  2  4 94  0  0
 0  0   2560 887312   5796 6519692    0    0     0     0 21209 22864  2  4 94  0  0
 0  0   2560 887412   5796 6519692    0    0     0     0 21329 22886  2  4 94  0  0
 0  0   2560 887168   5796 6519708    0    0     0     0 21559 23310  2  4 94  0  0
 0  0   2560 887920   5796 6519720    0    0     0     0 21597 23221  2  4 94  0  0
 1  0   2560 887620   5796 6519724    0    0     0     0 22813 24490  2  4 94  0  0
 0  0   2560 887720   5796 6519724    0    0     0     0 21782 23512  2  4 94  0  0
 0  0   2560 887720   5796 6519724    0    0     0     0 22667 24336  2  4 94  0  0
 1  0   2560 887536   5796 6519724    0    0     0     0 22203 23853  2  4 95  0  0
 0  0   2560 887628   5796 6519724    0    0     0     0 22535 24322  2  4 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 887796   5796 6519740    0    0     0    36 19684 21105  2  3 95  0  0
 0  0   2560 887292   5796 6519748    0    0     0   138 20496 22029  2  4 94  0  0
 0  0   2560 887304   5796 6519748    0    0     0     0 20135 21529  1  4 95  0  0
 1  0   2560 887236   5796 6519748    0    0     0     0 20882 22326  2  4 95  0  0
 0  0   2560 887712   5796 6519748    0    0     0     0 22722 24332  2  4 94  0  0
 0  0   2560 888228   5796 6519748    0    0     0     0 21744 23262  1  5 94  0  0
 1  0   2560 888240   5796 6519764    0    0     0     0 23045 24632  2  4 94  0  0
 0  0   2560 888148   5796 6519776    0    0     0     0 20006 21323  2  4 95  0  0
 0  0   2560 887868   5796 6519776    0    0     0     0 19268 20781  1  4 95  0  0
 0  0   2560 864100   5796 6519780    0    0     0     4 22294 23807  4  5 91  0  0
 0  0   2560 864432   5796 6519780    0    0     0   260 21336 22712  2  4 94  0  0
 0  0   2560 863944   5796 6519824    0    0     0     0 20009 21331  2  4 94  0  0
 0  0   2560 864204   5796 6519824    0    0     0     0 20732 22044  2  4 95  0  0
 1  0   2560 863888   5796 6519824    0    0     0     0 23883 25443  2  4 95  0  0
 0  0   2560 863992   5796 6519824    0    0     0     0 19012 20450  1  4 95  0  0
 1  0   2560 864428   5796 6519824    0    0     0     4 23126 24778  2  4 94  0  0
 4  0   2560 863768   5796 6519824    0    0     0     0 21861 23437  2  4 94  0  0
 0  0   2560 864244   5796 6519824    0    0     0     0 23572 25187  2  5 94  0  0
 0  0   2560 862860   5796 6519824    0    0     0     0 22564 24171  2  4 94  0  0
 1  0   2560 863040   5796 6519856    0    0     0     0 25139 26743  2  4 94  0  0
 0  0   2560 862620   5796 6519868    0    0     0     0 21010 22233  2  4 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0   2560 862612   5796 6519888    0    0     0     0 17432 18802  1  4 95  0  0
 0  0   2560 862620   5796 6519924    0    0     0     0 18745 20152  2  3 95  0  0
 0  0   2560 862980   5796 6519936    0    0     0     0 24023 25457  2  5 93  0  0
 1  0   2560 862648   5796 6519936    0    0     0     0 23708 25209  2  4 94  0  0
 1  0   2560 862952   5796 6519936    0    0     0     0 22849 24343  2  4 94  0  0
 0  0   2560 862416   5796 6519936    0    0     0     0 23702 25315  2  4 94  0  0
 3  0   2560 880952   5796 6519936    0    0     0   148 20857 22032  5  5 90  0  0
 0  0   2560 884848   5796 6519936    0    0     0   112 24405 25969  4  5 91  0  0
 1  0   2560 884552   5796 6519936    0    0     0     0 21422 22980  1  4 95  0  0
 1  0   2560 884456   5796 6519940    0    0     0     0 22675 24502  2  4 95  0  0
 0  0   2560 885224   5796 6519940    0    0     0   131 22454 24285  2  4 95  0  0
 0  0   2560 884992   5796 6519976    0    0     0     0 22291 23917  2  4 95  0  0
 1  0   2560 884384   5796 6519980    0    0     0     0 21657 23185  2  4 94  0  0
 1  0   2560 885536   5796 6519988    0    0     0     0 21793 23377  2  4 94  0  0
 0  0   2560 885712   5796 6519992    0    0     0     0 24209 25871  2  4 94  0  0
 0  0   2560 884824   5796 6519992    0    0     0     0 23778 25468  2  5 93  0  0
 1  0   2560 885240   5796 6519992    0    0     0     0 23659 25447  2  4 95  0  0
 0  0   2560 885248   5796 6519996    0    0     0     0 23139 24907  2  5 93  0  0
 0  0   2560 884992   5796 6519996    0    0     0     0 23415 25243  2  4 94  0  0
 1  0   2560 884936   5796 6520000    0    0     0     0 19981 20749  3  4 93  0  0
 1  0   2560 884832   5796 6520000    0    0     0   156 22178 23848  1  4 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 885356   5796 6520000    0    0     0     0 23906 25455  2  4 94  0  0
 1  0   2560 885280   5796 6520024    0    0     0     0 23669 25348  2  4 94  0  0
 0  0   2560 885284   5796 6520040    0    0     0     0 23245 24976  2  4 94  0  0
 0  0   2560 884936   5796 6520040    0    0     0     0 23201 24830  2  4 94  0  0
 0  0   2560 885384   5796 6520040    0    0     0   172 21138 22696  2  4 94  0  0
