procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 10177640   3132 4232124    0    0     7   372  254  134  3  2 94  1  0
 0  0      0 10180028   3132 4232160    0    0     0  1212 4592 7152  3  2 94  1  0
 0  0      0 10180348   3132 4232160    0    0     0  1168 3985 6464  3  2 95  1  0
 0  0      0 10180924   3132 4232160    0    0     0  2068 4152 6704  3  2 95  1  0
 0  0      0 10181468   3132 4232160    0    0     0  1008 4008 6739  1  2 96  1  0
 0  1      0 10181852   3132 4232160    0    0     0  1160 3892 6380  3  1 96  1  0
 0  0      0 10182108   3132 4232160    0    0     0    68 3999 6822  1  2 96  0  0
 1  0      0 10182588   3132 4232160    0    0     0   996 4403 7442  2  2 96  1  0
 0  0      0 10183036   3132 4232164    0    0     0  2248 4285 6790  4  1 94  1  0
 0  0      0 10183260   3132 4232164    0    0     0    68 3836 6543  2  2 97  0  0
 0  0      0 10183580   3132 4232164    0    0     0    92 3815 6559  1  2 97  1  0
 0  0      0 10183900   3132 4232164    0    0     0  1164 3931 6430  2  1 96  1  0
 0  0      0 10184444   3132 4232164    0    0     0  1180 4508 7497  3  2 95  1  0
 1  0      0 10175516   3132 4232164    0    0     0  2108 4240 6865  3  2 95  1  0
 0  0      0 10176060   3132 4232164    0    0     0  1040 4352 7349  1  2 96  1  0
 1  0      0 10174996   3132 4235944    0    0     0  4811 8814 15163 12  3 84  2  0
 1  0      0 10161392   3132 4249384    0    0     0 13545 16531 29728 20  5 70  4  0
 0  0      0 10175196   3132 4234356    0    0     0 22773 15223 26951 19  5 71  5  0
 2  0      0 10177028   3132 4232728    0    0     0  2260 4426 6930  3  2 94  1  0
 0  0      0 10177508   3132 4232728    0    0     0    84 3932 6766  1  2 97  0  0
 0  0      0 10177448   3132 4232728    0    0     0    56 3913 6854  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 10178620   3132 4232728    0    0     0  1160 4056 6806  2  2 95  1  0
 0  0      0 10178976   3132 4232728    0    0     0  1208 4472 7217  2  2 96  1  0
 0  0      0 10180120   3132 4232728    0    0     0  2124 4843 7648  3  2 94  1  0
 0  0      0 10180408   3132 4232728    0    0     0  1156 3963 6772  2  1 97  1  0
 0  0      0 10180920   3132 4232728    0    0     0  1224 4478 7360  3  2 95  1  0
 0  0      0 10181048   3132 4232728    0    0     0    64 3972 6845  1  2 97  0  0
 0  0      0 10181560   3132 4232728    0    0     0  1104 4602 7625  2  2 95  1  0
 0  0      0 10178936   3132 4232728    0    0     0  2324 4919 7857  4  2 93  1  0
 0  0      0 10179352   3132 4232728    0    0     0    52 3754 6368  1  2 97  0  0
 0  0      0 10179544   3132 4232728    0    0     0    82 3712 6376  1  2 97  0  0
 0  0      0 10179896   3132 4232728    0    0     0  1244 4420 7408  2  1 96  1  0
 0  0      0 10180344   3132 4232728    0    0     0  1188 4111 6704  2  2 95  1  0
 0  0      0 10177880   3132 4232728    0    0     0  2076 4232 6983  2  2 95  1  0
 0  0      0 10178296   3132 4232728    0    0     0   992 4207 7203  1  2 96  1  0
 0  0      0 10178872   3132 4232728    0    0     0  1796 5941 9475  4  3 91  3  0
 0  0      0 10179736   3132 4232728    0    0     0  1176 7633 12199  4  3 89  4  0
 0  0      0 10180952   3132 4232728    0    0     0  2040 7718 12098  4  3 89  4  0
 0  0      0 10178936   3132 4232728    0    0     0  3144 7273 11199  6  3 88  3  0
 0  0      0 10179416   3132 4232728    0    0     0   716 6269 10323  3  2 93  2  0
 0  0      0 10179768   3132 4232728    0    0     0   260 4388 7418  2  2 96  1  0
 0  0      0 10180312   3132 4232728    0    0     0  1168 4058 6568  2  2 95  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 10180472   3132 4232728    0    0     0  1168 4038 6582  3  2 95  1  0
 0  0      0 10181208   3132 4232728    0    0     0  2096 4563 7589  2  2 95  1  0
