procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 920652   5796 6513300    0    0     0     1    0    0  0  0 100  0  0
 0  0   2560 907124   5796 6513424    0    0     0     0 21690 21479  7  9 84  0  0
 0  0   2560 906380   5796 6513424    0    0     0     0 22104 23268  2  5 93  0  0
 0  0   2560 905520   5796 6513424    0    0     0     0 24677 25790  2  5 92  0  0
 0  0   2560 905132   5796 6513424    0    0     0   136 22663 23694  3  6 92  0  0
 1  0   2560 904620   5796 6513424    0    0     0     0 23239 24651  2  5 93  0  0
 1  0   2560 929320   5796 6513420    0    0     0   388 24437 24742  9  8 84  0  0
 1  0   2560 928952   5796 6513420    0    0     0     0 22319 23850  2  5 92  0  0
 0  0   2560 929148   5796 6513420    0    0     0     0 20396 21833  2  5 93  0  0
 1  0   2560 929112   5796 6513420    0    0     0     0 24524 25775  2  5 92  0  0
 0  0   2560 928680   5796 6513420    0    0     0     0 21067 22053  2  4 94  0  0
 1  0   2560 928328   5796 6513424    0    0     0     0 23615 25321  2  5 93  0  0
 0  0   2560 927844   5796 6513424    0    0     0     0 19844 21101  2  5 93  0  0
 0  0   2560 928360   5796 6513424    0    0     0     0 21167 22507  2  5 92  0  0
 0  0   2560 928596   5796 6513436    0    0     0     0 22672 23918  2  5 93  0  0
 1  0   2560 928264   5796 6513436    0    0     0     0 22751 23923  2  5 93  0  0
 0  0   2560 928172   5796 6513436    0    0     0     0 24113 25666  3  5 93  0  0
 0  0   2560 928304   5796 6513436    0    0     0     0 22341 23668  2  4 94  0  0
 0  0   2560 927848   5796 6513436    0    0     0     0 23254 24790  2  5 94  0  0
 1  0   2560 927904   5796 6513436    0    0     0     0 21717 22719  2  5 93  0  0
 3  0   2560 928232   5796 6513436    0    0     0     0 23236 24276  2  5 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
