procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0      0 14542408     32 581008    0    0   127   301 1185 1796  3  2 95  0  0
 0  0      0 14514796     32 581504    0    0     0     0 19496 19815  9  5 86  0  0
 0  0      0 14515412     32 581504    0    0     0     0 2112 3429  1  2 98  0  0
 0  0      0 14515636     32 581504    0    0     0    48 2194 3724  1  1 99  0  0
 0  0      0 14515604     32 581504    0    0     0    65 2076 3447  1  1 98  0  0
 1  0      0 14515604     32 581504    0    0     0     0 2105 3490  1  1 98  0  0
 0  0      0 14515588     32 581504    0    0     0     0 2305 3695  1  0 99  0  0
 0  0      0 14515524     32 581504    0    0     0     0 2007 3252  1  2 98  0  0
 2  0      0 14515588     32 581504    0    0     0     0 1969 3385  1  1 98  0  0
 0  0      0 14515556     32 581504    0    0     0     0 2102 3515  1  1 99  0  0
 0  0      0 14504944     32 581504    0    0     0     0 2358 3659  1  2 98  0  0
 0  0      0 14504880     32 581504    0    0     0     0 2175 3473  1  1 98  0  0
 0  0      0 14504944     32 581504    0    0     0     0 1895 3168  1  1 98  0  0
 0  0      0 14504848     32 581508    0    0     0     0 4454 4628  1  1 98  0  0
 0  0      0 14504848     32 581508    0    0     0     0 1867 3134  0  1 99  0  0
 0  0      0 14504848     32 581508    0    0     0     0 1958 3418  1  1 99  0  0
 0  0      0 14504912     32 581508    0    0     0     0 2105 3388  1  1 99  0  0
 0  0      0 14504912     32 581508    0    0     0     0 1866 3243  1  1 99  0  0
 0  0      0 14504816     32 581508    0    0     0    12 1730 2998  1  1 99  0  0
 0  0      0 14504816     32 581508    0    0     0     0 1897 3225  1  1 99  0  0
 0  0      0 14504816     32 581508    0    0     0     0 2000 3457  0  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 14494732     32 581508    0    0     0     0 2450 4073  1  1 98  0  0
 0  0      0 14494700     32 581508    0    0     0     0 1940 3322  1  0 99  0  0
 0  0      0 14494636     32 581508    0    0     0     0 1928 3258  1  1 98  0  0
 0  0      0 14494636     32 581508    0    0     0     0 1795 3089  0  1 99  0  0
 0  0      0 14494604     32 581508    0    0     0     0 1929 3369  1  1 98  0  0
 0  0      0 14494668     32 581508    0    0     0     0 2061 3354  1  1 98  0  0
 0  0      0 14513036     32 581508    0    0     0     0 1935 3140  1  1 98  0  0
 0  0      0 14513100     32 581508    0    0     0     0 2616 3797  1  1 98  0  0
 0  0      0 14513036     32 581508    0    0     0     0 1945 3277  1  1 99  0  0
 0  0      0 14513004     32 581508    0    0     0     0 1973 3384  1  1 99  0  0
 0  0      0 14503204     32 581508    0    0     0     0 2464 3942  1  1 98  0  0
 0  0      0 14503268     32 581508    0    0     0    12 2009 3301  1  1 99  0  0
 0  0      0 14503268     32 581508    0    0     0     0 1992 3400  0  1 99  0  0
 0  0      0 14503268     32 581508    0    0     0    82 1983 3313  0  1 99  0  0
 3  0      0 14503268     32 581508    0    0     0     0 2029 3464  0  1 99  0  0
 1  0      0 14503204     32 581508    0    0     0     0 2134 3428  1  1 99  0  0
 1  0      0 14503140     32 581508    0    0     0     0 1962 3127  1  1 99  0  0
 1  0      0 14503172     32 581508    0    0     0     0 1907 3088  1  1 99  0  0
 1  0      0 14503108     32 581508    0    0     0     0 1948 3206  1  1 99  0  0
 1  0      0 14503076     32 581508    0    0     0     0 1978 3364  1  1 99  0  0
 0  0      0 14493212     32 581512    0    0     0     0 2125 3411  1  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 14493244     32 581512    0    0     0     0 2011 3326  1  0 99  0  0
 0  0      0 14493276     32 581516    0    0     0     0 2322 3613  1  1 99  0  0
 0  0      0 14493244     32 581516    0    0     0     0 1986 3268  0  1 99  0  0
 0  0      0 14493212     32 581516    0    0     0     0 2044 3473  1  1 99  0  0
 0  0      0 14493116     32 581516    0    0     0    16 2297 3641  1  1 98  0  0
 0  0      0 14493084     32 581516    0    0     0     0 1886 3117  0  1 99  0  0
 0  0      0 14493020     32 581516    0    0     0     0 1960 3252  1  0 99  0  0
 0  0      0 14492736     32 581516    0    0     0     0 1910 3185  1  1 99  0  0
 0  0      0 14492736     32 581516    0    0     0     0 1955 3314  1  1 99  0  0
 0  0      0 14483188     32 581516    0    0     0     0 2121 3346  1  1 98  0  0
 0  0      0 14483092     32 581516    0    0     0     0 1852 3049  0  1 99  0  0
 0  0      0 14483156     32 581516    0    0     0     0 2004 3310  1  1 99  0  0
 1  0      0 14483092     32 581516    0    0     0     0 2050 3412  1  1 99  0  0
 0  0      0 14483092     32 581516    0    0     0     0 1989 3387  1  1 99  0  0
 0  0      0 14483060     32 581516    0    0     0     8 2333 3815  1  1 99  0  0
 0  0      0 14482996     32 581516    0    0     0     0 2022 3428  1  0 99  0  0
 0  0      0 14483060     32 581516    0    0     0     0 2297 3654  1  1 99  0  0
 0  0      0 14483028     32 581516    0    0     0     0 2227 3494  1  1 99  0  0
 2  0      0 14482264     32 581516    0    0     0     0 2411 3829  1  1 98  0  0
 0  0      0 14481892     32 581524    0    0     0     0 2685 4041  1  1 98  0  0
 0  0      0 14473384     32 581524    0    0     0     0 2117 3384  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 14473320     32 581524    0    0     0    32 2244 3794  1  1 99  0  0
 0  0      0 14473288     32 581524    0    0     0     0 2021 3366  1  1 99  0  0
 0  0      0 14473256     32 581524    0    0     0    38 2260 3574  1  2 97  0  0
 0  0      0 14473128     32 581524    0    0     0     0 2215 3547  1  1 99  0  0
 1  0      0 14473096     32 581524    0    0     0     0 2069 3359  1  0 99  0  0
 0  0      0 14473128     32 581524    0    0     0     0 2085 3338  0  1 98  0  0
 0  0      0 14473096     32 581524    0    0     0     0 1997 3295  1  1 99  0  0
 0  0      0 14473356     32 581524    0    0     0    12 2078 3430  1  1 99  0  0
 0  0      0 14473380     32 581524    0    0     0     0 2312 3570  1  1 98  0  0
 1  0      0 14469788     32 581524    0    0     0     0 2165 3442  1  1 99  0  0
 0  0      0 14469376     32 581524    0    0     0     0 2343 3671  1  1 99  0  0
 0  0      0 14469440     32 581528    0    0     0     0 2001 3253  0  0 99  0  0
 0  0      0 14469312     32 581528    0    0     0     0 2086 3494  1  1 99  0  0
 1  0      0 14469312     32 581528    0    0     0     0 2283 3672  1  1 99  0  0
 0  0      0 14469280     32 581528    0    0     0     0 2137 3518  0  1 99  0  0
 0  0      0 14469248     32 581528    0    0     0     8 2182 3635  1  1 99  0  0
 0  0      0 14469248     32 581528    0    0     0     0 2017 3414  0  1 99  0  0
 0  0      0 14469248     32 581528    0    0     0     0 1964 3342  1  1 99  0  0
 0  0      0 14469248     32 581528    0    0     0     0 2124 3574  1  1 99  0  0
