procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 12445200   3132 3419920    0    0    31   467 1047  437  5  3 91  2  0
 0  0      0 12447816   3132 3419992    0    0     0     0 1395 2097  1  2 97  0  0
 1  0      0 12447880   3132 3419992    0    0     0     0 1009 1636  0  1 99  0  0
 0  0      0 12447912   3132 3419992    0    0     0     0 1334 1930  0  1 98  0  0
 0  0      0 12448268   3132 3419996    0    0     0     0 1427 2091  1  1 98  0  0
 0  0      0 12448484   3132 3419996    0    0     0     0 1349 2036  1  1 98  0  0
 0  0      0 12448548   3132 3419996    0    0     0    20 1259 1885  1  1 99  0  0
 0  0      0 12448644   3132 3420000    0    0     0     0 1207 1807  1  1 98  0  0
 0  0      0 12448740   3132 3420004    0    0     0     0 1613 2388  1  1 98  0  0
 0  0      0 12448900   3132 3420004    0    0     0     0 1291 1881  1  1 98  0  0
 1  0      0 12449060   3132 3420004    0    0     0    36 1435 2136  1  1 98  0  0
 0  0      0 12449060   3132 3420004    0    0     0     0 1222 1881  1  1 99  0  0
 0  0      0 12449188   3132 3420012    0    0     0     0 1348 2093  0  1 98  0  0
 0  0      0 12449252   3132 3420016    0    0     0     0 1403 2055  1  1 98  0  0
 0  0      0 12449476   3132 3420020    0    0     0     0 1250 1868  0  1 99  0  0
 0  0      0 12449604   3132 3420020    0    0     0     0 1326 2130  1  1 98  0  0
 0  0      0 12449668   3132 3420020    0    0     0     0 1144 1750  0  1 99  0  0
 0  0      0 12449928   3132 3420024    0    0     0     0 1155 1744  1  1 99  0  0
 0  0      0 12446756   3132 3420028    0    0     0     0 1568 2261  1  1 98  0  0
 0  0      0 12446948   3132 3420028    0    0     0     0 1361 1926  1  1 98  0  0
 0  0      0 12447012   3132 3420028    0    0     0     0 1224 1891  0  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12447076   3132 3420032    0    0     0    76 1166 1803  1  1 99  0  0
 1  0      0 12447172   3132 3420036    0    0     0     0 1276 2018  0  1 98  0  0
 2  0      0 12447300   3132 3420036    0    0     0     0 1581 2394  1  1 99  0  0
 0  0      0 12447524   3132 3420040    0    0     0     0 1343 1964  1  1 98  0  0
 0  0      0 12447588   3132 3420044    0    0     0     0 1239 1953  0  1 99  0  0
 0  0      0 12447596   3132 3420044    0    0     0     0 1331 2084  0  1 98  0  0
 0  0      0 12447716   3132 3420048    0    0     0     0 1253 1875  1  1 99  0  0
 0  0      0 12447908   3132 3420052    0    0     0     0 1599 2386  1  1 98  0  0
 0  0      0 12447972   3132 3420052    0    0     0     0 1306 1913  1  1 98  0  0
