Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-3) 	西元2026年06月22日 	_x86_64_	(4 CPU)

23時04分39秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23時04分40秒  all   25.77    0.00    7.99   15.21    1.29    2.84    0.00    0.00    0.00   46.91
23時04分41秒  all   27.65    0.00    6.46   15.25    1.03    2.33    0.00    0.00    0.00   47.29
23時04分42秒  all   27.88    0.00    5.37   15.60    1.28    2.56    0.00    0.00    0.00   47.31
23時04分43秒  all   27.72    0.00    5.44   16.58    1.30    2.33    0.00    0.00    0.00   46.63
23時04分44秒  all   26.30    0.00    6.25   16.41    1.04    2.34    0.00    0.00    0.00   47.66
23時04分45秒  all   35.81    0.00    6.39   15.86    1.28    2.30    0.00    0.00    0.00   38.36
23時04分46秒  all   24.94    0.00    6.43   16.20    1.03    2.31    0.00    0.00    0.00   49.10
23時04分47秒  all   26.42    0.00    6.22   16.32    1.30    2.33    0.00    0.00    0.00   47.41
23時04分48秒  all   29.87    0.00    5.82   16.96    1.27    2.53    0.00    0.00    0.00   43.54
23時04分49秒  all   25.97    0.00    5.71   16.10    1.30    2.60    0.00    0.00    0.00   48.31
23時04分50秒  all   30.38    0.00    6.08   15.70    1.01    2.03    0.00    0.00    0.00   44.81
23時04分51秒  all   36.48    0.00    5.77   16.54    1.31    2.10    0.00    0.00    0.00   37.80
23時04分52秒  all   25.58    0.00    5.68   16.28    1.03    2.58    0.00    0.00    0.00   48.84
23時04分53秒  all   23.71    0.00    4.90   15.98    1.29    1.80    0.00    0.00    0.00   52.32
23時04分54秒  all   22.42    0.00    4.12   16.24    1.03    2.58    0.00    0.00    0.00   53.61
23時04分55秒  all   23.71    0.00    4.90   15.21    1.03    1.80    0.00    0.00    0.00   53.35
23時04分56秒  all   28.39    0.00    5.37   15.09    1.53    2.30    0.00    0.00    0.00   47.31
23時04分57秒  all   26.55    0.00    6.19   15.46    0.77    2.32    0.00    0.00    0.00   48.71
23時04分58秒  all   37.24    0.00    5.61   15.56    1.02    2.30    0.00    0.00    0.00   38.27
23時04分59秒  all   29.01    0.00    6.87   16.54    1.27    2.54    0.00    0.00    0.00   43.77
23時05分00秒  all   25.71    0.00    5.40   15.17    1.29    2.06    0.00    0.00    0.00   50.39
