procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  1      0 6377164   1068 4093632    0    0   329  1099 3708 1074 16  5 78  1  0
11  0      0 6365744   1068 4097136    0    0     0  7401 53507 79122 57 19 21  2  0
11  1      0 6355976   1068 4100188    0    0     0  6781 44664 85367 54 16 27  3  0
12  0      0 6345756   1068 4103320    0    0     0  8619 44508 86400 52 15 30  3  0
 4  0      0 6336736   1068 4106520    0    0     0  6315 46343 91661 51 16 30  3  0
 7  0      0 6329500   1068 4109648    0    0     0  8885 44383 86467 53 15 29  4  0
 8  1      0 6291556   1068 4112592    0    0     0  6252 43152 81767 53 16 29  3  0
 5  1      0 6286168   1068 4115724    0    0     0  8703 45829 84886 53 15 29  3  0
10  1      0 6281052   1068 4118612    0    0     0  6254 41524 83090 51 15 30  4  0
 7  0      0 6273336   1068 4121620    0    0     0  8609 44656 84528 54 16 27  3  0
 6  0      0 6268336   1068 4124536    0    0     0  5634 44021 84066 51 14 31  4  0
 2  0      0 6261700   1068 4127436    0    0     0  8152 42105 78194 56 15 26  3  0
 6  1      0 6255548   1068 4130696    0    0     0  6325 45528 83529 56 16 24  3  0
10  1      0 6248080   1068 4133760    0    0     0  9102 47062 90580 54 16 27  4  0
18  0      0 6243860   1068 4136928    0    0     0  6307 43069 82551 53 15 29  3  0
18  0      0 6235160   1068 4140208    0    0     0  8340 45127 84187 56 16 26  3  0
 7  0      0 6229248   1068 4143044    0    0     0  5440 40737 75333 54 15 28  3  0
10  0      0 6223848   1068 4146348    0    0     0  8822 42842 81512 51 15 29  4  0
 4  1      0 6216464   1068 4149204    0    0     0  6092 44115 80782 55 14 27  3  0
 5  0      0 6211868   1068 4152168    0    0     0  8227 42802 83487 54 16 27  4  0
 9  0      0 6203888   1068 4154912    0    0     0  5326 39293 73594 55 16 27  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 6198696   1068 4158088    0    0     0  8315 42489 80591 56 16 25  3  0
 6  0      0 6193784   1068 4161244    0    0     0  7351 45690 85180 52 15 30  4  0
11  0      0 6188424   1068 4164132    0    0     0  7326 43573 81207 54 17 27  3  0
