procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   2560 747024   5796 6702224    0    0     0     1    0    1  0  0 100  0  0
 2  0   2560 705164   5796 6702444    0    0     0    28 14086 14072 12  8 80  0  0
 0  0   2560 704244   5796 6702564    0    0     0     0 17716 18992  2  4 94  0  0
 1  0   2560 704364   5796 6702564    0    0     0     0 17861 19555  1  4 95  0  0
 2  0   2560 704488   5796 6702564    0    0     0     0 17981 19306  2  4 95  0  0
 0  0   2560 704236   5796 6702564    0    0     0     0 17138 18683  2  4 94  0  0
 0  0   2560 701688   5796 6702564    0    0     0     0 18355 19974  2  4 94  0  0
 0  0   2560 701380   5796 6702564    0    0     0   107 19395 20791  2  4 94  0  0
 0  0   2560 701408   5796 6702564    0    0     0     0 18760 20322  1  3 96  0  0
 2  0   2560 721468   5796 6702564    0    0     0   136 18637 20171  5  5 90  0  0
 0  0   2560 725344   5796 6702568    0    0     0   136 19263 20779  4  4 92  0  0
 0  0   2560 725092   5796 6702584    0    0     0     0 19115 20593  2  4 94  0  0
 0  0   2560 725100   5796 6702584    0    0     0     0 19894 21749  2  3 95  0  0
 0  0   2560 724884   5796 6702588    0    0     0     0 19599 21239  2  3 95  0  0
 0  0   2560 724300   5796 6702612    0    0     0     0 18170 19693  2  3 95  0  0
 1  0   2560 723988   5796 6702628    0    0     0     0 18694 19993  2  4 94  0  0
 0  0   2560 724460   5796 6702628    0    0     0   256 19094 20638  2  4 94  0  0
 0  0   2560 724028   5796 6702628    0    0     0     0 18131 19564  2  4 95  0  0
 0  0   2560 724472   5796 6702628    0    0     0     0 18700 20512  2  3 95  0  0
 0  0   2560 724396   5796 6702628    0    0     0     0 19416 21149  2  4 95  0  0
 0  0   2560 724060   5796 6702628    0    0     0     0 18629 20222  2  3 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2560 723808   5796 6702640    0    0     0     0 18627 20312  2  4 94  0  0
 0  0   2560 723592   5796 6702640    0    0     0     0 18781 20276  2  4 94  0  0
 1  0   2560 723872   5796 6702640    0    0     0     0 18952 20608  1  4 95  0  0
 0  0   2560 724128   5796 6702640    0    0     0     0 19304 20712  2  4 94  0  0
 0  0   2560 724012   5796 6702640    0    0     0     0 18494 20018  2  4 94  0  0
 1  0   2560 723888   5796 6702640    0    0     0     0 17922 19521  2  4 95  0  0
 0  0   2560 724100   5796 6702656    0    0     0     0 19209 20863  2  4 94  0  0
 0  0   2560 724112   5796 6702672    0    0     0     0 19469 21231  2  3 95  0  0
 0  0   2560 723884   5796 6702676    0    0     0     0 19746 21526  2  4 94  0  0
 2  0   2560 724112   5796 6702680    0    0     0     0 18657 20025  2  3 96  0  0
 0  0   2560 723652   5796 6702684    0    0     0     0 18960 20512  2  4 95  0  0
 0  0   2560 723616   5796 6702780    0    0     0     4 18769 19956  7  5 89  0  0
 0  0   2560 723584   5796 6702780    0    0     0     0 18901 20646  2  3 95  0  0
 0  0   2560 723680   5796 6702780    0    0     0     0 18649 20053  2  4 94  0  0
 4  0   2560 723520   5796 6702780    0    0     0     0 18293 19958  2  4 94  0  0
 0  0   2560 723552   5796 6702780    0    0     0     0 18946 20370  2  4 94  0  0
