Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年06月23日 	_x86_64_	(4 CPU)

00時00分59秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00時01分00秒  all   10.33    0.00    4.28    0.25    0.50    0.76    0.00    0.00    0.00   83.88
00時01分01秒  all   10.50    0.00    4.50    0.00    0.75    1.00    0.00    0.00    0.00   83.25
00時01分02秒  all   14.07    0.00    6.53    2.26    0.75    1.76    0.00    0.00    0.00   74.62
00時01分03秒  all   30.98    0.00   19.65    7.30    2.02    3.53    0.00    0.00    0.00   36.52
00時01分04秒  all   36.50    0.00   18.51   11.31    2.06    3.34    0.00    0.00    0.00   28.28
00時01分05秒  all   33.07    0.00   14.99   10.85    2.07    3.36    0.00    0.00    0.00   35.66
00時01分06秒  all   13.62    0.00    6.68    6.68    1.03    1.29    0.00    0.00    0.00   70.69
00時01分07秒  all    2.00    0.00    1.50    1.00    0.25    0.75    0.00    0.00    0.00   94.51
00時01分08秒  all    1.76    0.00    1.51    0.50    0.75    0.25    0.00    0.00    0.00   95.23
00時01分09秒  all    1.76    0.00    2.27    0.76    0.00    0.25    0.00    0.00    0.00   94.96
00時01分10秒  all    1.74    0.00    1.74    0.50    0.50    0.75    0.00    0.00    0.00   94.78
00時01分11秒  all    6.09    0.00    4.31    4.06    0.76    0.51    0.00    0.00    0.00   84.26
00時01分12秒  all   10.63    0.00    6.58    7.34    1.01    1.52    0.00    0.00    0.00   72.91
00時01分13秒  all   11.22    0.00    6.63    7.65    0.77    1.79    0.00    0.00    0.00   71.94
00時01分14秒  all    3.02    0.00    2.51    1.76    0.75    0.25    0.00    0.00    0.00   91.71
00時01分15秒  all    2.01    0.00    1.75    0.50    0.00    0.75    0.00    0.00    0.00   94.99
00時01分16秒  all    1.52    0.00    1.52    0.76    0.51    0.25    0.00    0.00    0.00   95.45
00時01分17秒  all    1.50    0.00    1.50    0.75    0.25    0.00    0.00    0.00    0.00   95.99
00時01分18秒  all    2.00    0.00    2.24    0.25    0.25    0.25    0.00    0.00    0.00   95.01
