procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 13545828   1068 1372160    0    0     9   806  151  147  4  2 93  1  0
 0  0      0 13547812   1068 1372200    0    0     0     0 3065 4163  1  2 97  0  0
 1  0      0 13547748   1068 1372200    0    0     0    63 3013 4227  1  1 98  0  0
 3  0      0 13548340   1068 1372200    0    0     0  2365 8420 13355  2  3 93  3  0
 1  3      0 13551512   1068 1372188    0    0     0  8551 22617 36486  4  6 81  8  0
 3  3      0 13553928   1068 1372168    0    0     0 24517 57822 91388 10 13 57 20  0
 1  3      0 13553064   1068 1372144    0    0    24 26849 60090 95099 10 13 54 23  0
 2  0      0 13552584   1068 1372096    0    0     0 27175 61393 96642 11 14 52 23  0
 0  0      0 13552732   1068 1372132    0    0    24 27258 61597 95276 11 14 52 22  0
 2  3      0 13551588   1068 1372092    0    0     0 28412 64278 99632 13 15 50 23  0
 3  0      0 13551992   1068 1372064    0    0     0 27869 62597 100881 11 14 53 23  0
 5  0      0 13551752   1068 1372016    0    0     0 28065 62659 99526 11 14 52 22  0
 2  0      0 13551504   1068 1371976    0    0     0 27030 61169 96002 12 14 53 21  0
 1  0      0 13549664   1068 1371948    0    0     0 28108 61716 97632 12 16 51 22  0
 2  0      0 13549132   1068 1371904    0    0     0 26539 60378 95884 11 13 54 21  0
 3  0      0 13547840   1068 1371852    0    0     0 27634 62769 99087 11 14 53 22  0
 1  2      0 13544936   1068 1371812    0    0     0 27272 61163 95707 11 13 53 22  0
 1  3      0 13541676   1068 1371780    0    0    24 28523 65823 101169 10 14 52 23  0
 1  1      0 13537868   1068 1371720    0    0     0 29292 65864 102846 11 15 48 25  0
 5  0      0 13529928   1068 1375776    0    0    72 29683 62767 99666 12 15 51 23  0
 0  0      0 13525864   1068 1375720    0    0     0 28114 63844 100724 11 14 52 23  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1      0 13523008   1068 1375688    0    0     0 27538 62228 97533 11 14 52 23  0
11  0      0 13519068   1068 1375640    0    0     0 28154 63541 99269 11 13 53 23  0
 2  1      0 13515160   1068 1375592    0    0     0 28544 64439 100723 12 15 49 23  0
 2  1      0 13511516   1068 1375560    0    0     0 27496 62160 99534 12 14 52 22  0
 2  1      0 13508816   1068 1375520    0    0     0 28191 65070 102066 11 13 52 24  0
 4  0      0 13504800   1068 1375520    0    0     0 29695 60625 97950 11 13 54 22  0
 4  0      0 13500480   1068 1375520    0    0     0 27691 61766 98180 11 13 53 22  0
 1  0      0 13497240   1068 1375520    0    0     0 26378 58882 95773 10 13 55 22  0
 6  1      0 13493664   1068 1375520    0    0     0 28468 63729 100379 11 14 53 22  0
 1  4      0 13490056   1068 1375524    0    0     0 27627 62276 97953 11 13 53 23  0
 2  0      0 13486560   1068 1375524    0    0     0 26868 59775 96308 11 13 54 21  0
 0  0      0 13482072   1068 1375524    0    0     0 29517 66167 105653 12 14 51 23  0
 1  1      0 13479024   1068 1375528    0    0     0 29023 64290 101849 12 16 50 23  0
 1  1      0 13476072   1068 1375528    0    0     0 27832 61905 99950 10 14 52 24  0
 0  2      0 13472444   1068 1375528    0    0     0 28513 64901 103144 11 15 52 23  0
 1  1      0 13468932   1068 1375532    0    0    24 28196 62210 98277 12 15 51 23  0
 2  1      0 13465272   1068 1375532    0    0     0 27969 64109 100623 12 14 52 23  0
 2  2      0 13462008   1068 1375536    0    0     0 28972 65845 102547 12 14 51 23  0
 5  3      0 13457780   1068 1375548    0    0     0 27540 61669 97974 13 14 52 22  0
 4  1      0 13454476   1068 1375548    0    0     0 27695 60521 97925 11 14 52 23  0
 3  3      0 13450568   1068 1375552    0    0     0 26320 58777 94850 11 14 54 21  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1      0 13448244   1068 1375552    0    0     0 27827 62254 97102 11 14 52 23  0
 3  1      0 13446876   1068 1375552    0    0     0 27989 64473 99140 13 15 50 22  0
 4  0      0 13446972   1068 1375552    0    0     0 29831 67288 105904 13 14 50 23  0
