2026/06/20 06:33:17 maxprocs: Leaving GOMAXPROCS=4: CPU quota undefined
[Current] DELIVERY - Takes(s): 9.8, Count: 55, TPM: 336.9, Sum(ms): 4621.5, Avg(ms): 84.3, 50th(ms): 75.5, 90th(ms): 117.4, 95th(ms): 142.6, 99th(ms): 176.2, 99.9th(ms): 176.2, Max(ms): 176.2
[Current] NEW_ORDER - Takes(s): 9.9, Count: 620, TPM: 3762.4, Sum(ms): 60416.0, Avg(ms): 97.5, 50th(ms): 67.1, 90th(ms): 192.9, 95th(ms): 285.2, 99th(ms): 536.9, 99.9th(ms): 671.1, Max(ms): 805.3
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 57, TPM: 344.8, Sum(ms): 949.2, Avg(ms): 16.6, 50th(ms): 21.0, 90th(ms): 22.0, 95th(ms): 23.1, 99th(ms): 24.1, 99.9th(ms): 39.8, Max(ms): 39.8
[Current] PAYMENT - Takes(s): 9.9, Count: 623, TPM: 3779.0, Sum(ms): 91091.5, Avg(ms): 146.3, 50th(ms): 121.6, 90th(ms): 285.2, 95th(ms): 335.5, 99th(ms): 436.2, 99.9th(ms): 570.4, Max(ms): 637.5
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 60, TPM: 362.4, Sum(ms): 583.0, Avg(ms): 9.7, 50th(ms): 6.8, 90th(ms): 16.3, 95th(ms): 25.2, 99th(ms): 35.7, 99.9th(ms): 35.7, Max(ms): 35.7
[Current] DELIVERY - Takes(s): 10.0, Count: 69, TPM: 414.5, Sum(ms): 5596.4, Avg(ms): 81.0, 50th(ms): 75.5, 90th(ms): 100.7, 95th(ms): 130.0, 99th(ms): 142.6, 99.9th(ms): 151.0, Max(ms): 151.0
[Current] NEW_ORDER - Takes(s): 10.0, Count: 700, TPM: 4204.1, Sum(ms): 68174.3, Avg(ms): 97.6, 50th(ms): 67.1, 90th(ms): 176.2, 95th(ms): 268.4, 99th(ms): 503.3, 99.9th(ms): 805.3, Max(ms): 1006.6
[Current] ORDER_STATUS - Takes(s): 8.9, Count: 51, TPM: 344.6, Sum(ms): 761.9, Avg(ms): 14.9, 50th(ms): 21.0, 90th(ms): 23.1, 95th(ms): 24.1, 99th(ms): 24.1, 99.9th(ms): 25.2, Max(ms): 25.2
[Current] PAYMENT - Takes(s): 10.0, Count: 619, TPM: 3715.7, Sum(ms): 84135.9, Avg(ms): 135.9, 50th(ms): 121.6, 90th(ms): 226.5, 95th(ms): 285.2, 99th(ms): 369.1, 99.9th(ms): 520.1, Max(ms): 570.4
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 52, TPM: 312.5, Sum(ms): 800.3, Avg(ms): 15.5, 50th(ms): 7.9, 90th(ms): 35.7, 95th(ms): 35.7, 99th(ms): 39.8, 99.9th(ms): 41.9, Max(ms): 41.9
[Current] DELIVERY - Takes(s): 9.9, Count: 43, TPM: 261.7, Sum(ms): 6179.4, Avg(ms): 143.2, 50th(ms): 79.7, 90th(ms): 243.3, 95th(ms): 302.0, 99th(ms): 486.5, 99.9th(ms): 486.5, Max(ms): 486.5
