Linux 4.18.0-553.129.1.el8_10.x86_64 (g-test-poc-3) 	06/22/26 	_x86_64_	(4 CPU)

14:52:36     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:52:37     all    1.77    0.00    1.77    0.51    0.25    0.25    0.00    0.00    0.00   95.44
14:52:38     all    0.76    0.00    0.51    0.76    1.01    0.00    0.00    0.00    0.00   96.97
14:52:39     all    1.76    0.00    1.01    0.00    0.00    0.50    0.00    0.00    0.00   96.73
14:52:40     all    1.50    0.00    1.00    0.75    0.25    0.25    0.00    0.00    0.00   96.24
14:52:41     all    1.51    0.00    1.01    0.50    0.76    0.00    0.25    0.00    0.00   95.97
14:52:42     all    2.04    0.00    0.76    1.02    0.00    0.00    0.00    0.00    0.00   96.18
14:52:43     all    2.77    0.00    1.26    0.25    0.76    0.25    0.00    0.00    0.00   94.71
14:52:44     all    1.27    0.00    0.25    0.25    0.25    0.00    0.00    0.00    0.00   97.96
14:52:45     all    1.51    0.00    1.26    1.01    0.00    0.25    0.00    0.00    0.00   95.97
14:52:46     all    1.99    0.00    0.75    0.50    1.00    0.50    0.25    0.00    0.00   95.02
14:52:47     all    1.02    0.00    0.77    0.00    0.00    0.00    0.00    0.00    0.00   98.21
14:52:48     all    1.26    0.00    1.01    0.50    0.76    0.00    0.00    0.00    0.00   96.47
14:52:49     all    1.26    0.00    1.01    0.51    0.25    0.25    0.00    0.00    0.00   96.72
14:52:50     all    1.77    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.22
14:52:51     all    1.50    0.00    0.50    1.25    0.75    0.50    0.00    0.00    0.00   95.49
14:52:52     all    2.78    0.00    1.27    0.76    0.25    0.00    0.00    0.00    0.00   94.94
14:52:53     all    2.76    0.00    0.75    0.25    0.50    0.00    0.00    0.00    0.00   95.73
14:52:54     all    1.75    0.00    1.00    0.75    0.50    0.50    0.00    0.00    0.00   95.50
14:52:55     all    1.77    0.00    1.01    0.76    0.00    0.00    0.00    0.00    0.00   96.46
14:52:56     all    1.51    0.00    0.50    0.25    0.75    0.50    0.25    0.00    0.00   96.23
14:52:57     all    1.51    0.00    1.26    0.25    0.25    0.00    0.00    0.00    0.00   96.73
14:52:58     all    1.52    0.00    0.51    0.51    0.00    0.00    0.00    0.00    0.00   97.46
14:52:59     all    1.76    0.00    1.01    0.25    0.75    0.00    0.00    0.00    0.00   96.23
14:53:00     all    1.51    0.00    1.01    0.50    0.25    0.25    0.00    0.00    0.00   96.48
14:53:01     all    1.76    0.00    1.01    1.01    0.25    0.50    0.00    0.00    0.00   95.48
14:53:02     all    6.53    0.00    1.01    0.50    0.75    0.25    0.00    0.00    0.00   90.95
14:53:03     all    2.79    0.00    1.52    0.51    0.25    0.00    0.00    0.00    0.00   94.92
14:53:04     all    1.51    0.00    0.75    1.01    0.25    0.00    0.00    0.00    0.00   96.48
14:53:05     all    1.26    0.00    1.26    0.25    0.51    0.00    0.00    0.00    0.00   96.72
14:53:06     all    2.24    0.00    1.25    0.50    0.25    0.50    0.00    0.00    0.00   95.26
14:53:07     all    0.76    0.00    0.76    0.25    0.51    0.25    0.00    0.00    0.00   97.47
14:53:08     all    1.51    0.00    1.01    0.25    0.25    0.00    0.00    0.00    0.00   96.98
14:53:09     all    1.27    0.00    0.25    0.76    0.25    0.25    0.00    0.00    0.00   97.21
14:53:10     all    1.26    0.00    1.26    0.00    0.75    0.00    0.00    0.00    0.00   96.73
14:53:11     all    0.76    0.00    1.02    1.02    0.00    0.00    0.00    0.00    0.00   97.20
14:53:12     all    2.49    0.00    1.00    0.75    0.50    0.50    0.00    0.00    0.00   94.76
14:53:13     all    2.27    0.00    0.51    0.25    0.51    0.25    0.00    0.00    0.00   96.21
14:53:14     all    1.51    0.00    1.76    0.25    0.00    0.00    0.00    0.00    0.00   96.48
14:53:15     all    2.01    0.00    0.75    1.00    0.75    0.00    0.00    0.00    0.00   95.49
14:53:16     all    1.52    0.00    1.01    0.00    0.25    0.25    0.25    0.00    0.00   96.71
14:53:17     all    0.76    0.00    0.76    0.50    0.00    0.25    0.00    0.00    0.00   97.73
14:53:18     all    2.24    0.00    1.00    0.25    1.00    0.25    0.00    0.00    0.00   95.26
14:53:19     all    1.52    0.00    0.76    0.51    0.00    0.25    0.00    0.00    0.00   96.95
14:53:20     all    1.50    0.00    0.75    0.50    0.50    0.00    0.00    0.00    0.00   96.74
14:53:21     all    1.52    0.00    1.26    0.51    0.51    0.00    0.00    0.00    0.00   96.21
14:53:22     all    2.54    0.00    1.02    0.76    0.00    0.25    0.00    0.00    0.00   95.43
14:53:23     all    2.49    0.00    1.00    0.75    0.75    0.25    0.00    0.00    0.00   94.78
14:53:24     all    1.51    0.00    0.76    0.25    0.25    0.50    0.00    0.00    0.00   96.73
14:53:25     all    3.54    0.00    1.52    1.27    0.51    0.00    0.00    0.00    0.00   93.16
14:53:26     all    4.25    0.00    1.50    1.25    0.50    0.25    0.00    0.00    0.00   92.25
14:53:27     all    1.01    0.00    1.01    0.76    0.25    0.25    0.25    0.00    0.00   96.47
14:53:28     all    1.76    0.00    1.01    0.00    0.50    0.00    0.25    0.00    0.00   96.48
14:53:29     all    3.80    0.00    1.77    2.78    0.76    0.51    0.00    0.00    0.00   90.38
14:53:30     all    2.27    0.00    1.01    1.26    0.25    0.51    0.00    0.00    0.00   94.70
14:53:31     all    1.52    0.00    0.76    0.76    0.25    0.00    0.00    0.00    0.00   96.71
14:53:32     all    1.75    0.00    1.00    0.50    0.75    0.00    0.00    0.00    0.00   95.99
14:53:33     all    2.03    0.00    1.01    0.25    0.25    0.51    0.00    0.00    0.00   95.95
14:53:34     all    1.51    0.00    0.75    0.75    0.00    0.25    0.00    0.00    0.00   96.73
14:53:35     all    1.75    0.00    1.25    0.50    0.75    0.00    0.00    0.00    0.00   95.74
14:53:36     all    4.33    0.00    1.53    1.53    0.25    0.00    0.25    0.00    0.00   92.11
14:53:37     all    3.76    0.00    1.75    0.75    0.50    0.50    0.00    0.00    0.00   92.73
14:53:38     all    3.81    0.00    2.28    3.05    1.02    0.51    0.00    0.00    0.00   89.34
14:53:39     all    5.09    0.00    1.27    5.34    0.51    0.51    0.00    0.00    0.00   87.28
14:53:40     all    4.58    0.00    2.04    4.07    0.51    0.51    0.00    0.00    0.00   88.30
14:53:41     all    3.27    0.00    2.01    1.76    1.01    0.50    0.00    0.00    0.00   91.46
14:53:42     all    2.02    0.00    1.01    1.26    0.00    0.00    0.00    0.00    0.00   95.71
14:53:43     all    7.12    0.00    2.04    4.83    1.02    0.76    0.00    0.00    0.00   84.22
14:53:44     all    3.84    0.00    3.07    6.39    0.51    0.26    0.00    0.00    0.00   85.93
14:53:45     all    3.52    0.00    2.26    5.28    0.50    1.01    0.00    0.00    0.00   87.44
14:53:46     all    1.27    0.00    1.01    0.25    0.51    0.00    0.00    0.00    0.00   96.96
14:53:47     all    1.76    0.00    0.75    0.50    0.25    0.00    0.00    0.00    0.00   96.73
14:53:48     all    1.77    0.00    0.51    0.25    0.25    0.00    0.00    0.00    0.00   97.22
14:53:49     all    1.75    0.00    1.25    0.75    0.75    0.25    0.00    0.00    0.00   95.25
14:53:50     all    1.02    0.00    0.76    0.00    0.25    0.25    0.00    0.00    0.00   97.72
14:53:51     all    1.51    0.00    1.26    0.76    0.25    0.25    0.00    0.00    0.00   95.97
14:53:52     all    2.52    0.00    0.76    1.01    0.50    0.25    0.00    0.00    0.00   94.96
14:53:53     all    2.27    0.00    1.01    0.51    0.25    0.00    0.00    0.00    0.00   95.96
14:53:54     all    1.51    0.00    1.01    0.50    0.50    0.00    0.00    0.00    0.00   96.48
14:53:55     all    1.26    0.00    1.01    0.75    0.50    0.25    0.00    0.00    0.00   96.23
14:53:56     all    2.02    0.00    0.76    0.25    0.00    0.25    0.00    0.00    0.00   96.73
14:53:57     all    1.26    0.00    0.75    0.50    0.75    0.50    0.00    0.00    0.00   96.23
14:53:58     all    1.01    0.00    1.01    0.25    0.25    0.00    0.00    0.00    0.00   97.47
14:53:59     all    1.52    0.00    0.76    0.25    0.25    0.00    0.00    0.00    0.00   97.22
14:54:00     all    1.27    0.00    0.76    0.51    0.51    0.00    0.00    0.00    0.00   96.95
14:54:01     all    1.75    0.00    1.00    1.00    0.25    0.25    0.25    0.00    0.00   95.50
14:54:02     all    2.27    0.00    0.50    0.50    0.50    0.25    0.00    0.00    0.00   95.97
14:54:03     all    2.50    0.00    1.25    0.75    0.50    0.25    0.00    0.00    0.00   94.75
14:54:04     all    1.01    0.00    1.01    0.25    0.00    0.25    0.00    0.00    0.00   97.49
14:54:05     all    2.02    0.00    1.01    0.50    0.50    0.00    0.25    0.00    0.00   95.72
14:54:06     all    1.26    0.00    1.01    0.76    0.50    0.25    0.00    0.00    0.00   96.22
14:54:07     all    1.26    0.00    0.75    0.50    0.00    0.00    0.00    0.00    0.00   97.49
14:54:08     all    1.27    0.00    0.51    0.00    0.76    0.25    0.00    0.00    0.00   97.22
14:54:09     all    1.50    0.00    1.25    0.75    0.25    0.25    0.00    0.00    0.00   96.00
14:54:10     all    1.02    0.00    0.77    0.26    0.00    0.00    0.00    0.00    0.00   97.96
14:54:11     all    1.50    0.00    1.25    0.75    1.00    0.00    0.00    0.00    0.00   95.51
14:54:12     all    1.51    0.00    1.26    0.76    0.00    0.50    0.00    0.00    0.00   95.97
14:54:13     all    3.03    0.00    0.25    0.25    0.25    0.00    0.00    0.00    0.00   96.21
14:54:14     all    1.50    0.00    1.00    0.25    0.75    0.25    0.00    0.00    0.00   96.25
14:54:15     all    1.02    0.00    0.51    0.76    0.25    0.25    0.00    0.00    0.00   97.21
14:54:16     all    1.77    0.00    1.26    0.51    0.00    0.00    0.00    0.00    0.00   96.46
14:54:17     all    1.01    0.00    0.51    0.00    0.76    0.00    0.25    0.00    0.00   97.47
14:54:18     all    1.51    0.00    0.50    0.50    0.25    0.25    0.25    0.00    0.00   96.73
14:54:19     all    1.26    0.00    1.01    0.50    0.00    0.00    0.00    0.00    0.00   97.23
14:54:20     all    1.26    0.00    0.75    0.25    0.75    0.50    0.00    0.00    0.00   96.48
14:54:21     all    1.52    0.00    0.76    0.76    0.25    0.25    0.00    0.00    0.00   96.46
14:54:22     all    2.26    0.00    1.26    1.01    0.50    0.00    0.00    0.00    0.00   94.97
14:54:23     all    2.50    0.00    1.25    0.50    0.25    0.25    0.00    0.00    0.00   95.25
14:54:24     all    0.76    0.00    1.26    0.51    0.25    0.00    0.00    0.00    0.00   97.22
14:54:25     all    1.51    0.00    0.76    0.25    0.50    0.25    0.00    0.00    0.00   96.73
14:54:26     all    1.52    0.00    0.76    0.51    0.51    0.00    0.00    0.00    0.00   96.72
14:54:27     all    1.26    0.00    0.76    0.25    0.25    0.25    0.00    0.00    0.00   97.22
14:54:28     all    1.00    0.00    0.75    0.50    0.25    0.25    0.00    0.00    0.00   97.24
14:54:29     all    1.27    0.00    0.51    0.25    0.51    0.25    0.00    0.00    0.00   97.22
14:54:30     all    1.76    0.00    1.26    0.50    0.25    0.00    0.00    0.00    0.00   96.23
14:54:31     all    2.02    0.00    0.51    1.01    0.25    0.25    0.00    0.00    0.00   95.96
14:54:32     all    2.01    0.00    0.75    0.50    0.75    0.00    0.00    0.00    0.00   95.99
14:54:33     all    1.78    0.00    1.02    0.25    0.00    0.25    0.00    0.00    0.00   96.69
14:54:34     all    1.01    0.00    0.25    0.51    0.25    0.00    0.00    0.00    0.00   97.97
14:54:35     all    1.50    0.00    1.00    0.50    0.75    0.50    0.00    0.00    0.00   95.75
14:54:36     all    1.77    0.00    1.01    0.76    0.00    0.00    0.00    0.00    0.00   96.46
14:54:37     all    2.50    0.00    2.50    0.25    0.75    0.25    0.00    0.00    0.00   93.75
14:54:38     all    1.26    0.00    1.26    0.00    0.25    0.00    0.00    0.00    0.00   97.22
14:54:39     all    1.75    0.00    0.75    1.00    0.50    0.25    0.00    0.00    0.00   95.74
14:54:40     all    1.75    0.00    1.00    0.00    0.50    0.25    0.00    0.00    0.00   96.49
14:54:41     all    3.30    0.00    1.27    2.54    0.00    0.25    0.00    0.00    0.00   92.64
14:54:42     all    5.05    0.00    2.02    4.04    1.01    0.51    0.00    0.00    0.00   87.37
14:54:43     all    6.31    0.00    2.53    3.54    1.01    0.76    0.00    0.00    0.00   85.86
14:54:44     all    3.55    0.00    1.52    2.28    0.25    0.25    0.00    0.00    0.00   92.13
14:54:45     all    5.26    0.00    2.51    3.76    0.75    0.75    0.00    0.00    0.00   86.97
14:54:46     all    2.28    0.00    0.76    0.51    0.51    0.00    0.00    0.00    0.00   95.95
14:54:47     all    1.25    0.00    0.50    0.75    0.50    0.00    0.25    0.00    0.00   96.75
14:54:48     all    1.78    0.00    1.27    0.00    0.00    0.25    0.00    0.00    0.00   96.70
14:54:49     all    1.24    0.00    0.99    0.74    0.74    0.50    0.00    0.00    0.00   95.78
14:54:50     all    1.77    0.00    0.51    0.25    0.25    0.00    0.00    0.00    0.00   97.22
14:54:51     all    1.53    0.00    0.76    0.76    0.00    0.25    0.00    0.00    0.00   96.69
14:54:52     all    3.01    0.00    1.00    0.75    0.75    0.00    0.00    0.00    0.00   94.49
14:54:53     all    2.51    0.00    1.00    0.75    0.25    0.00    0.00    0.00    0.00   95.49
14:54:54     all    3.54    0.00    1.77    2.53    0.76    0.76    0.00    0.00    0.00   90.66
14:54:55     all    1.52    0.00    1.01    0.51    0.25    0.00    0.00    0.00    0.00   96.72
14:54:56     all    1.26    0.00    1.01    0.76    0.25    0.25    0.25    0.00    0.00   96.22
14:54:57     all    2.01    0.00    1.01    1.26    0.75    0.25    0.25    0.00    0.00   94.47
14:54:58     all    1.76    0.00    0.76    0.25    0.00    0.25    0.00    0.00    0.00   96.98
14:54:59     all    1.26    0.00    0.50    0.50    0.75    0.00    0.00    0.00    0.00   96.98
14:55:00     all    3.26    0.00    1.50    2.51    0.25    0.25    0.00    0.00    0.00   92.23
14:55:01     all    5.04    0.00    2.02    3.27    1.01    0.76    0.00    0.00    0.00   87.91
14:55:02     all    2.54    0.00    1.27    1.02    0.25    0.25    0.00    0.00    0.00   94.67
14:55:03     all    4.52    0.00    0.75    0.50    0.50    0.00    0.00    0.00    0.00   93.72
14:55:04     all    1.75    0.00    1.00    0.25    0.25    0.25    0.25    0.00    0.00   96.24
14:55:05     all    1.52    0.00    1.01    0.51    0.25    0.00    0.00    0.00    0.00   96.71
14:55:06     all    1.50    0.00    1.00    0.75    0.50    0.50    0.00    0.00    0.00   95.74
14:55:07     all    1.76    0.00    1.01    0.00    0.25    0.00    0.00    0.00    0.00   96.98
