Linux 4.18.0-425.3.1.el8.x86_64 (l-dbm-labroom-1) 	西元2026年06月21日 	_x86_64_	(4 CPU)

06時08分04秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06時08分05秒  all    5.50    0.00    6.00    0.00    0.50    1.00    0.00    0.00    0.00   87.00
06時08分06秒  all    0.76    0.00    0.76    0.00    0.00    0.76    0.00    0.00    0.00   97.73
06時08分07秒  all    1.24    0.00    1.00    0.00    0.50    0.50    0.00    0.00    0.00   96.77
06時08分08秒  all    0.51    0.00    0.51    0.00    0.00    0.51    0.00    0.00    0.00   98.48
06時08分09秒  all    0.75    0.00    0.25    0.00    0.50    0.75    0.00    0.00    0.00   97.74
06時08分10秒  all    1.01    0.00    1.01    0.00    0.00    0.25    0.00    0.00    0.00   97.73
06時08分11秒  all    0.50    0.00    0.76    0.00    0.25    0.25    0.00    0.00    0.00   98.24
06時08分12秒  all    0.75    0.00    0.50    0.00    0.25    0.50    0.00    0.00    0.00   98.00
06時08分13秒  all    0.50    0.00    0.75    0.00    0.00    0.50    0.00    0.00    0.00   98.24
06時08分14秒  all    1.00    0.00    0.75    0.00    0.50    0.50    0.00    0.00    0.00   97.25
06時08分15秒  all    0.50    0.00    0.76    0.00    0.25    0.50    0.00    0.00    0.00   97.98
06時08分16秒  all    1.00    0.00    1.25    0.00    0.25    0.50    0.00    0.00    0.00   97.01
06時08分17秒  all    1.01    0.00    0.50    0.00    0.00    0.50    0.00    0.00    0.00   97.98
06時08分18秒  all    0.75    0.00    1.00    0.00    0.00    0.75    0.00    0.00    0.00   97.50
06時08分19秒  all    6.55    0.00    3.27    0.00    0.50    0.25    0.00    0.00    0.00   89.42
06時08分20秒  all    0.50    0.00    1.00    0.00    0.50    0.75    0.00    0.00    0.00   97.25
06時08分21秒  all    0.76    0.00    0.76    0.00    0.00    0.25    0.00    0.00    0.00   98.23
06時08分22秒  all    1.24    0.00    1.24    0.00    0.25    0.75    0.00    0.00    0.00   96.52
06時08分23秒  all    1.00    0.00    1.00    0.00    0.25    0.75    0.00    0.00    0.00   97.01
06時08分24秒  all    1.02    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   98.22
06時08分25秒  all    1.24    0.00    0.74    0.00    0.74    0.99    0.00    0.00    0.00   96.28
06時08分26秒  all    0.51    0.00    1.26    0.00    0.00    0.25    0.00    0.00    0.00   97.98
06時08分27秒  all    0.75    0.00    0.50    0.00    0.00    0.75    0.00    0.00    0.00   97.99
06時08分28秒  all    0.75    0.00    1.25    0.00    0.25    0.25    0.00    0.00    0.00   97.51
06時08分29秒  all    0.75    0.00    0.50    0.00    0.75    0.75    0.00    0.00    0.00   97.26
06時08分30秒  all    1.01    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   98.23
06時08分31秒  all    1.00    0.00    1.25    0.00    0.00    0.50    0.00    0.00    0.00   97.24
06時08分32秒  all    0.50    0.00    0.75    0.00    0.25    0.50    0.00    0.00    0.00   97.99
06時08分33秒  all    0.75    0.00    0.75    0.00    0.25    0.25    0.00    0.00    0.00   97.99
06時08分34秒  all    1.25    0.00    0.75    0.00    0.25    0.75    0.00    0.00    0.00   97.01
06時08分35秒  all    0.50    0.00    1.01    0.00    0.25    0.25    0.00    0.00    0.00   97.98
06時08分36秒  all    0.99    0.00    1.24    0.00    0.25    0.74    0.00    0.00    0.00   96.77
06時08分37秒  all    0.75    0.00    0.25    0.00    0.25    0.50    0.00    0.00    0.00   98.24
06時08分38秒  all    0.25    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   99.24
06時08分39秒  all    0.99    0.00    0.74    0.00    0.25    0.99    0.00    0.00    0.00   97.02
06時08分40秒  all    0.51    0.00    0.76    0.00    0.51    0.00    0.00    0.00    0.00   98.23
06時08分41秒  all    1.00    0.00    1.25    0.00    0.00    1.00    0.00    0.00    0.00   96.76
06時08分42秒  all    0.76    0.00    0.51    0.00    0.00    0.25    0.00    0.00    0.00   98.48
06時08分43秒  all    1.00    0.00    1.00    0.00    0.50    0.50    0.00    0.00    0.00   97.01
06時08分44秒  all    1.01    0.00    0.25    0.00    0.50    0.50    0.00    0.00    0.00   97.74
06時08分45秒  all    0.75    0.00    0.75    0.00    0.00    0.50    0.00    0.00    0.00   97.99
06時08分46秒  all    0.50    0.00    1.26    0.00    0.00    0.50    0.00    0.00    0.00   97.74
