Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-1) 	西元2026年06月19日 	_x86_64_	(4 CPU)

05時00分45秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05時00分46秒  all   39.90    0.00   17.14    9.97    2.05    3.32    0.00    0.00    0.00   27.62
05時00分47秒  all   45.80    0.00   19.08   12.21    2.29    4.07    0.00    0.00    0.00   16.54
05時00分48秒  all   47.07    0.00   20.61    9.16    2.54    4.07    0.00    0.00    0.00   16.54
05時00分49秒  all   48.06    0.00   19.64    9.82    2.07    3.62    0.00    0.00    0.00   16.80
05時00分50秒  all   36.20    0.00   15.19    8.35    2.28    3.29    0.00    0.00    0.00   34.68
05時00分51秒  all   44.02    0.00   20.61    8.91    2.04    3.82    0.00    0.00    0.00   20.61
05時00分52秒  all   43.99    0.00   20.72   10.74    2.05    3.84    0.00    0.00    0.00   18.67
05時00分53秒  all   43.67    0.00   19.90   11.11    2.33    4.13    0.00    0.00    0.00   18.86
05時00分54秒  all   46.43    0.00   19.13    9.95    2.30    3.83    0.00    0.00    0.00   18.37
05時00分55秒  all   44.90    0.00   19.39   11.48    2.55    4.08    0.00    0.00    0.00   17.60
05時00分56秒  all   46.04    0.00   18.16   12.02    2.05    3.32    0.00    0.00    0.00   18.41
05時00分57秒  all   43.19    0.00   19.90   10.99    2.36    4.19    0.00    0.00    0.00   19.37
05時00分58秒  all   43.11    0.00   18.88   10.46    2.55    3.83    0.00    0.00    0.00   21.17
05時00分59秒  all   46.41    0.00   19.23   10.00    2.31    4.10    0.00    0.00    0.00   17.95
05時01分00秒  all   46.25    0.00   19.90    9.82    2.58    4.13    0.00    0.00    0.00   17.31
05時01分01秒  all   44.70    0.00   20.41   10.85    2.33    3.88    0.00    0.00    0.00   17.83
05時01分02秒  all   44.90    0.00   18.62   12.24    2.30    3.83    0.00    0.00    0.00   18.11
05時01分03秒  all   44.73    0.00   20.31   11.31    2.31    4.37    0.00    0.00    0.00   16.97
05時01分04秒  all   45.69    0.00   19.04   10.91    2.54    3.81    0.00    0.00    0.00   18.02
05時01分05秒  all   45.99    0.00   20.41    9.30    2.07    3.88    0.00    0.00    0.00   18.35
05時01分06秒  all   45.01    0.00   19.18   10.49    2.30    4.09    0.00    0.00    0.00   18.93
05時01分07秒  all   45.01    0.00   20.46    9.72    2.56    4.09    0.00    0.00    0.00   18.16
05時01分08秒  all   43.48    0.00   19.95    9.72    2.05    3.84    0.00    0.00    0.00   20.97
05時01分09秒  all   43.19    0.00   20.31   10.03    2.31    3.86    0.00    0.00    0.00   20.31
05時01分10秒  all   44.96    0.00   19.38    9.82    2.58    4.13    0.00    0.00    0.00   19.12
05時01分11秒  all   40.00    0.00   19.48   11.95    2.34    3.90    0.00    0.00    0.00   22.34
05時01分12秒  all   43.19    0.00   19.28   10.28    2.31    3.86    0.00    0.00    0.00   21.08
05時01分13秒  all   41.39    0.00   19.02   11.05    2.57    4.11    0.00    0.00    0.00   21.85
05時01分14秒  all   41.90    0.00   17.99   11.31    2.31    3.86    0.00    0.00    0.00   22.62
05時01分15秒  all   43.62    0.00   19.90    9.95    2.30    3.83    0.00    0.00    0.00   20.41
05時01分16秒  all   41.39    0.00   19.28   10.03    2.06    3.60    0.00    0.00    0.00   23.65
05時01分17秒  all   41.07    0.00   19.13   10.71    2.55    3.83    0.00    0.00    0.00   22.70
05時01分18秒  all   45.88    0.00   19.07    9.28    2.32    3.61    0.00    0.00    0.00   19.85
05時01分19秒  all   44.56    0.00   19.17    9.33    2.07    4.15    0.00    0.00    0.00   20.73
05時01分20秒  all   43.33    0.00   19.23    9.23    2.56    4.10    0.00    0.00    0.00   21.54
05時01分21秒  all   43.85    0.00   18.97   10.26    2.31    4.10    0.00    0.00    0.00   20.51
05時01分22秒  all   42.53    0.00   20.62    9.54    2.32    3.87    0.00    0.00    0.00   21.13
05時01分23秒  all   42.93    0.00   18.85   10.21    2.62    3.93    0.00    0.00    0.00   21.47
05時01分24秒  all   41.51    0.00   19.58   10.70    2.35    4.18    0.00    0.00    0.00   21.67
05時01分25秒  all   42.31    0.00   20.51    9.23    2.31    3.59    0.00    0.00    0.00   22.05
05時01分26秒  all   40.46    0.00   19.85   10.69    2.54    4.33    0.00    0.00    0.00   22.14
05時01分27秒  all   41.09    0.00   18.35   11.11    2.33    3.62    0.00    0.00    0.00   23.51
05時01分28秒  all   43.81    0.00   18.81    9.79    2.32    3.87    0.00    0.00    0.00   21.39
05時01分29秒  all   44.25    0.00   18.93    9.97    2.56    3.84    0.00    0.00    0.00   20.46
05時01分30秒  all   43.83    0.00   18.37    9.45    1.84    3.94    0.00    0.00    0.00   22.57
05時01分31秒  all   43.93    0.00   18.86    9.82    2.33    4.13    0.00    0.00    0.00   20.93
05時01分32秒  all   40.46    0.00   19.34   10.69    2.54    3.82    0.00    0.00    0.00   23.16
05時01分33秒  all   40.10    0.00   19.28   10.54    2.31    3.86    0.00    0.00    0.00   23.91
05時01分34秒  all   42.46    0.00   19.18   10.49    2.56    3.84    0.00    0.00    0.00   21.48
05時01分35秒  all   42.56    0.00   18.28   10.44    2.35    3.92    0.00    0.00    0.00   22.45
05時01分36秒  all   40.00    0.00   18.18   12.21    2.08    3.64    0.00    0.00    0.00   23.90
05時01分37秒  all   38.52    0.00   18.11   12.76    2.55    4.34    0.00    0.00    0.00   23.72
05時01分38秒  all   41.30    0.00   18.44   11.95    2.34    3.64    0.00    0.00    0.00   22.34
05時01分39秒  all   42.56    0.00   19.58   10.44    1.57    3.66    0.00    0.00    0.00   22.19
05時01分40秒  all   42.07    0.00   19.40   11.08    2.52    3.53    0.00    0.00    0.00   21.41
05時01分41秒  all   40.87    0.00   18.51   11.31    2.31    3.86    0.00    0.00    0.00   23.14
05時01分42秒  all   38.97    0.00   19.49   12.05    2.56    3.85    0.00    0.00    0.00   23.08
05時01分43秒  all   39.03    0.00   16.84   11.99    2.30    3.57    0.00    0.00    0.00   26.28
05時01分44秒  all   38.11    0.00   18.93   13.04    2.05    3.58    0.00    0.00    0.00   24.30
05時01分45秒  all   31.55    0.00   15.27   10.43    1.78    3.56    0.00    0.00    0.00   37.40
05時01分46秒  all    3.73    0.00    2.74    0.50    0.75    0.50    0.00    0.00    0.00   91.79
05時01分47秒  all    2.27    0.00    1.52    0.51    0.25    0.00    0.00    0.00    0.00   95.45
05時01分48秒  all    8.21    0.00    2.24    0.75    0.00    1.00    0.00    0.00    0.00   87.81
05時01分49秒  all    2.51    0.00    2.76    0.00    1.00    0.00    0.00    0.00    0.00   93.73
05時01分50秒  all    2.28    0.00    1.52    0.25    0.00    0.51    0.00    0.00    0.00   95.43
平均時間：  all   39.73    0.00   17.79    9.75    2.16    3.60    0.00    0.00    0.00   26.97
