2026/06/19 07:19:10 maxprocs: Leaving GOMAXPROCS=4: CPU quota undefined
[Current] DELIVERY - Takes(s): 9.4, Count: 98, TPM: 628.5, Sum(ms): 9535.0, Avg(ms): 97.3, 50th(ms): 88.1, 90th(ms): 151.0, 95th(ms): 159.4, 99th(ms): 192.9, 99.9th(ms): 192.9, Max(ms): 192.9
[Current] NEW_ORDER - Takes(s): 9.6, Count: 1068, TPM: 6671.3, Sum(ms): 91882.3, Avg(ms): 86.0, 50th(ms): 75.5, 90th(ms): 142.6, 95th(ms): 176.2, 99th(ms): 260.0, 99.9th(ms): 419.4, Max(ms): 436.2
[Current] ORDER_STATUS - Takes(s): 9.6, Count: 104, TPM: 646.6, Sum(ms): 1959.4, Avg(ms): 18.8, 50th(ms): 14.7, 90th(ms): 37.7, 95th(ms): 60.8, 99th(ms): 71.3, 99.9th(ms): 88.1, Max(ms): 88.1
[Current] PAYMENT - Takes(s): 9.6, Count: 1049, TPM: 6536.9, Sum(ms): 49746.4, Avg(ms): 47.4, 50th(ms): 39.8, 90th(ms): 88.1, 95th(ms): 100.7, 99th(ms): 142.6, 99.9th(ms): 159.4, Max(ms): 176.2
[Current] STOCK_LEVEL - Takes(s): 9.5, Count: 113, TPM: 712.6, Sum(ms): 982.2, Avg(ms): 8.7, 50th(ms): 6.8, 90th(ms): 14.7, 95th(ms): 21.0, 99th(ms): 29.4, 99.9th(ms): 37.7, Max(ms): 37.7
[Current] DELIVERY - Takes(s): 9.9, Count: 95, TPM: 576.3, Sum(ms): 8851.6, Avg(ms): 93.2, 50th(ms): 88.1, 90th(ms): 130.0, 95th(ms): 167.8, 99th(ms): 184.5, 99.9th(ms): 184.5, Max(ms): 184.5
[Current] NEW_ORDER - Takes(s): 10.0, Count: 1176, TPM: 7056.6, Sum(ms): 93987.3, Avg(ms): 80.0, 50th(ms): 71.3, 90th(ms): 125.8, 95th(ms): 159.4, 99th(ms): 218.1, 99.9th(ms): 469.8, Max(ms): 486.5
[Current] ORDER_STATUS - Takes(s): 9.8, Count: 105, TPM: 643.6, Sum(ms): 1613.9, Avg(ms): 15.4, 50th(ms): 13.1, 90th(ms): 26.2, 95th(ms): 39.8, 99th(ms): 62.9, 99.9th(ms): 65.0, Max(ms): 65.0
[Current] PAYMENT - Takes(s): 10.0, Count: 1160, TPM: 6962.5, Sum(ms): 54149.1, Avg(ms): 46.7, 50th(ms): 39.8, 90th(ms): 88.1, 95th(ms): 100.7, 99th(ms): 130.0, 99.9th(ms): 151.0, Max(ms): 167.8
[Current] STOCK_LEVEL - Takes(s): 9.8, Count: 89, TPM: 544.7, Sum(ms): 793.1, Avg(ms): 8.9, 50th(ms): 6.8, 90th(ms): 14.2, 95th(ms): 15.2, 99th(ms): 58.7, 99.9th(ms): 62.9, Max(ms): 62.9
[Current] DELIVERY - Takes(s): 10.0, Count: 123, TPM: 738.3, Sum(ms): 12442.2, Avg(ms): 101.1, 50th(ms): 88.1, 90th(ms): 159.4, 95th(ms): 184.5, 99th(ms): 302.0, 99.9th(ms): 335.5, Max(ms): 335.5
[Current] NEW_ORDER - Takes(s): 10.0, Count: 1164, TPM: 6985.0, Sum(ms): 94238.2, Avg(ms): 81.0, 50th(ms): 71.3, 90th(ms): 142.6, 95th(ms): 167.8, 99th(ms): 243.3, 99.9th(ms): 318.8, Max(ms): 335.5
[Current] ORDER_STATUS - Takes(s): 9.8, Count: 101, TPM: 616.1, Sum(ms): 1529.3, Avg(ms): 15.2, 50th(ms): 13.6, 90th(ms): 28.3, 95th(ms): 35.7, 99th(ms): 65.0, 99.9th(ms): 67.1, Max(ms): 67.1
[Current] PAYMENT - Takes(s): 10.0, Count: 1097, TPM: 6586.0, Sum(ms): 50436.9, Avg(ms): 46.0, 50th(ms): 39.8, 90th(ms): 83.9, 95th(ms): 100.7, 99th(ms): 130.0, 99.9th(ms): 184.5, Max(ms): 192.9
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 115, TPM: 692.8, Sum(ms): 906.0, Avg(ms): 7.9, 50th(ms): 6.3, 90th(ms): 14.2, 95th(ms): 15.2, 99th(ms): 26.2, 99.9th(ms): 35.7, Max(ms): 35.7
[Current] DELIVERY - Takes(s): 9.8, Count: 117, TPM: 717.2, Sum(ms): 11613.1, Avg(ms): 99.3, 50th(ms): 83.9, 90th(ms): 151.0, 95th(ms): 167.8, 99th(ms): 318.8, 99.9th(ms): 335.5, Max(ms): 335.5
[Current] NEW_ORDER - Takes(s): 10.0, Count: 1144, TPM: 6868.5, Sum(ms): 92016.3, Avg(ms): 80.5, 50th(ms): 71.3, 90th(ms): 130.0, 95th(ms): 159.4, 99th(ms): 226.5, 99.9th(ms): 453.0, Max(ms): 604.0
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 93, TPM: 564.9, Sum(ms): 1402.4, Avg(ms): 15.1, 50th(ms): 13.1, 90th(ms): 30.4, 95th(ms): 39.8, 99th(ms): 60.8, 99.9th(ms): 67.1, Max(ms): 67.1
[Current] PAYMENT - Takes(s): 10.0, Count: 1081, TPM: 6494.4, Sum(ms): 53529.2, Avg(ms): 49.5, 50th(ms): 41.9, 90th(ms): 92.3, 95th(ms): 109.1, 99th(ms): 134.2, 99.9th(ms): 184.5, Max(ms): 184.5
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 109, TPM: 659.4, Sum(ms): 931.4, Avg(ms): 8.6, 50th(ms): 6.3, 90th(ms): 14.7, 95th(ms): 15.2, 99th(ms): 65.0, 99.9th(ms): 65.0, Max(ms): 65.0
[Current] DELIVERY - Takes(s): 9.9, Count: 101, TPM: 609.1, Sum(ms): 9026.5, Avg(ms): 89.3, 50th(ms): 83.9, 90th(ms): 121.6, 95th(ms): 151.0, 99th(ms): 192.9, 99.9th(ms): 260.0, Max(ms): 260.0
[Current] NEW_ORDER - Takes(s): 10.0, Count: 1155, TPM: 6946.9, Sum(ms): 95176.6, Avg(ms): 82.5, 50th(ms): 71.3, 90th(ms): 134.2, 95th(ms): 176.2, 99th(ms): 268.4, 99.9th(ms): 335.5, Max(ms): 520.1
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 93, TPM: 561.3, Sum(ms): 1318.7, Avg(ms): 14.2, 50th(ms): 12.6, 90th(ms): 27.3, 95th(ms): 30.4, 99th(ms): 41.9, 99.9th(ms): 41.9, Max(ms): 41.9
[Current] PAYMENT - Takes(s): 10.0, Count: 1066, TPM: 6397.2, Sum(ms): 52913.2, Avg(ms): 49.7, 50th(ms): 41.9, 90th(ms): 96.5, 95th(ms): 109.1, 99th(ms): 134.2, 99.9th(ms): 192.9, Max(ms): 192.9
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 109, TPM: 662.2, Sum(ms): 866.7, Avg(ms): 7.9, 50th(ms): 6.8, 90th(ms): 13.6, 95th(ms): 14.7, 99th(ms): 18.9, 99.9th(ms): 25.2, Max(ms): 25.2
[Current] DELIVERY - Takes(s): 9.9, Count: 100, TPM: 607.8, Sum(ms): 10395.5, Avg(ms): 103.8, 50th(ms): 100.7, 90th(ms): 125.8, 95th(ms): 167.8, 99th(ms): 209.7, 99.9th(ms): 243.3, Max(ms): 243.3
[Current] NEW_ORDER - Takes(s): 10.0, Count: 1063, TPM: 6383.8, Sum(ms): 98793.4, Avg(ms): 93.0, 50th(ms): 83.9, 90th(ms): 151.0, 95th(ms): 176.2, 99th(ms): 318.8, 99.9th(ms): 469.8, Max(ms): 469.8
