Linux 4.18.0-553.129.1.el8_10.x86_64 (g-test-poc-2) 	06/22/26 	_x86_64_	(4 CPU)

07:33:19     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:33:20     all    8.56    0.00    4.03    0.00    1.01    1.26    0.00    0.00    0.00   85.14
07:33:21     all    4.29    0.00    2.02    0.00    0.00    0.25    0.00    0.00    0.00   93.43
07:33:22     all    4.05    0.00    1.27    0.00    0.76    0.51    0.00    0.00    0.00   93.42
07:33:23     all    6.22    0.00    2.24    0.00    0.25    0.75    0.00    0.00    0.00   90.55
07:33:24     all    4.04    0.00    2.27    0.00    0.76    0.51    0.00    0.00    0.00   92.42
07:33:25     all    1.25    0.00    0.00    0.00    0.25    0.25    0.00    0.00    0.00   98.25
07:33:26     all    0.25    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   99.24
07:33:27     all    0.50    0.00    0.25    0.00    0.50    0.00    0.00    0.00    0.00   98.75
07:33:28     all    0.50    0.00    0.00    0.00    0.25    0.25    0.00    0.00    0.00   99.00
07:33:29     all    0.50    0.00    0.50    0.00    0.25    0.00    0.00    0.00    0.00   98.75
07:33:30     all    0.75    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   98.50
07:33:31     all    0.75    0.00    0.25    0.00    0.75    0.50    0.00    0.00    0.00   97.74
07:33:32     all    0.25    0.00    0.25    0.00    0.25    0.00    0.00    0.00    0.00   99.24
07:33:33     all    1.00    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   98.25
07:33:34     all    1.01    0.00    1.01    0.00    0.25    0.00    0.00    0.00    0.00   97.73
07:33:35     all    0.75    0.00    0.50    0.00    0.50    0.00    0.00    0.00    0.00   98.25
07:33:36     all    0.76    0.00    0.25    0.00    0.25    0.00    0.00    0.00    0.00   98.74
07:33:37     all    0.00    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   99.49
07:33:38     all    0.75    0.00    0.25    0.00    0.50    0.00    0.00    0.00    0.00   98.50
07:33:39     all    0.25    0.00    0.50    0.00    0.25    0.50    0.00    0.00    0.00   98.50
07:33:40     all    1.00    0.00    0.25    0.00    0.25    0.50    0.25    0.00    0.00   97.76
07:33:41     all    0.50    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.25
07:33:42     all    0.50    0.00    0.50    0.00    0.50    0.00    0.00    0.00    0.00   98.50
07:33:43     all    0.75    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.74
07:33:44     all    0.75    0.00    0.25    0.00    0.50    0.00    0.00    0.00    0.00   98.50
07:33:45     all    0.75    0.00    0.50    0.00    0.25    0.00    0.00    0.00    0.00   98.50
07:33:46     all    0.75    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   98.25
07:33:47     all    0.50    0.00    0.25    0.00    0.50    0.00    0.00    0.00    0.00   98.75
07:33:48     all    0.50    0.00    0.50    0.00    0.25    0.25    0.00    0.00    0.00   98.50
07:33:49     all    1.51    0.00    0.50    0.00    0.25    0.25    0.00    0.00    0.00   97.49
07:33:50     all    0.51    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.49
07:33:51     all    0.50    0.00    0.50    0.00    0.50    0.25    0.00    0.00    0.00   98.25
07:33:52     all    0.74    0.00    0.50    0.00    0.50    0.25    0.00    0.00    0.00   98.01
07:33:53     all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.49
07:33:54     all    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
07:33:55     all    0.75    0.00    0.50    0.00    0.50    0.00    0.00    0.00    0.00   98.25
07:33:56     all    0.75    0.00    0.50    0.00    0.50    0.25    0.00    0.00    0.00   98.00
07:33:57     all    0.50    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.25
07:33:58     all    0.50    0.00    0.25    0.00    0.50    0.00    0.25    0.00    0.00   98.50
07:33:59     all    0.25    0.00    0.25    0.00    0.00    0.50    0.00    0.00    0.00   99.00
07:34:00     all    0.75    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.74
07:34:01     all    0.25    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.49
