Linux 4.18.0-553.129.1.el8_10.x86_64 (g-test-poc-1) 	06/18/26 	_x86_64_	(4 CPU)

18:05:19     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:05:20     all    9.18    0.00    4.08   13.78    2.30    1.28    0.00    0.00    0.00   69.39
18:05:21     all    7.02    0.00    4.01   11.53    1.50    1.25    0.25    0.00    0.00   74.44
18:05:22     all    6.58    0.00    3.04   10.63    1.27    1.01    0.00    0.00    0.00   77.47
18:05:23     all    7.34    0.00    3.80   12.41    2.03    1.27    0.00    0.00    0.00   73.16
18:05:24     all    7.36    0.00    2.79   10.66    1.27    1.02    0.00    0.00    0.00   76.90
18:05:25     all    7.30    0.00    3.78   11.08    2.02    1.26    0.00    0.00    0.00   74.56
18:05:26     all    7.30    0.00    4.03   11.08    1.26    1.01    0.00    0.00    0.00   75.31
18:05:27     all    8.59    0.00    4.04   12.37    2.02    1.01    0.00    0.00    0.00   71.97
18:05:28     all    8.33    0.00    4.04   12.12    1.77    1.26    0.00    0.00    0.00   72.47
18:05:29     all    6.87    0.00    3.31   11.20    1.53    1.27    0.00    0.00    0.00   75.83
18:05:30     all    7.09    0.00    3.54   10.89    1.77    1.27    0.25    0.00    0.00   75.19
18:05:31     all    6.78    0.00    4.52   10.55    1.76    1.26    0.00    0.00    0.00   75.13
18:05:32     all    6.89    0.00    3.83   10.20    1.53    0.77    0.00    0.00    0.00   76.79
18:05:33     all    6.60    0.00    4.31   10.91    1.78    1.27    0.00    0.00    0.00   75.13
18:05:34     all    7.27    0.00    3.76    9.27    1.75    1.00    0.00    0.00    0.00   76.94
18:05:35     all    7.36    0.00    3.30   10.15    1.52    1.02    0.00    0.00    0.00   76.65
18:05:36     all    7.85    0.00    4.56   11.65    1.77    1.27    0.25    0.00    0.00   72.66
18:05:37     all    6.82    0.00    3.54   10.10    1.52    1.26    0.00    0.00    0.00   76.77
18:05:38     all    7.94    0.00    4.22    9.93    1.49    1.24    0.00    0.00    0.00   75.19
18:05:39     all    6.57    0.00    3.54    9.85    1.26    1.01    0.00    0.00    0.00   77.78
18:05:40     all    6.82    0.00    3.28    9.34    1.77    0.76    0.00    0.00    0.00   78.03
