procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  1      0 12685468   2220 2071232    0    0    24   314  509  733  3  1 96  1  0
 0  1      0 12688348   2220 2071308    0    0     0  5166 27352 36476 21 12 59  9  0
 5  0      0 12688060   2220 2071308    0    0     0  3044 25264 34556 18 10 65  7  0
 1  1      0 12688508   2220 2071308    0    0     0  6480 23251 30207 20  9 62  8  0
 0  1      0 12686076   2220 2071308    0    0     0  3752 25694 33754 21 11 60  8  0
 1  1      0 12689148   2220 2071308    0    0     0  4576 23422 31093 19  9 64  8  0
 4  0      0 12690236   2220 2071308    0    0     0  6624 29094 39508 22 11 58  8  0
 2  0      0 12690108   2220 2071308    0    0     0  3436 24627 32592 19 10 62  8  0
 0  1      0 12687356   2220 2071308    0    0     0  3304 28104 38852 20 10 61  8  0
 1  0      0 12687744   2220 2071308    0    0     0  3556 26760 35782 22 11 60  8  0
 2  1      0 12687680   2220 2071308    0    0     0  3148 25743 34813 21 10 62  7  0
 3  0      0 12688448   2220 2071308    0    0     0  4772 28229 37870 22 11 58  9  0
 1  1      0 12689024   2220 2071308    0    0     0  3540 25909 34743 20 11 60  9  0
 1  0      0 12688960   2220 2071308    0    0     0  6108 22744 30188 20 10 63  8  0
 1  1      0 12688736   2220 2071308    0    0     0  3352 21879 28129 19  9 64  8  0
 2  0      0 12687872   2220 2071308    0    0     0  4328 22625 30338 19  9 65  8  0
 3  0      0 12687872   2220 2071308    0    0     0  6116 24265 31143 26 10 56  8  0
 4  0      0 12688384   2220 2071308    0    0     0  3504 26370 34980 22 11 59  8  0
 2  0      0 12688448   2220 2071308    0    0     0  3312 26568 35843 21 10 61  8  0
 1  0      0 12691648   2220 2071308    0    0     0  3312 25807 34761 19 11 62  7  0
 0  1      0 12684768   2220 2071308    0    0     0  3104 26175 36402 19 10 64  7  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1      0 12688384   2220 2071308    0    0     0  4224 21891 27786 20  9 63  8  0
 2  1      0 12689120   2220 2071308    0    0     0  3728 26903 35679 23 10 59  8  0
 1  0      0 12690464   2220 2071308    0    0     0  7140 23766 28900 25 11 55  9  0
 1  0      0 12687084   2220 2072448    0    0     0  3864 23259 29502 24 10 57  9  0
 2  1      0 12686296   2220 2071896    0    0     0 17663 21951 27256 31 10 49 10  0
 1  0      0 12688608   2220 2071900    0    0     0  7920 27279 33534 25 13 51 11  0
 0  1      0 12684256   2220 2071900    0    0     0  4800 29075 37817 22 12 56 10  0
 2  0      0 12685472   2220 2071900    0    0     0  2448 20598 28948 12  8 74  6  0
 1  1      0 12689836   2220 2071900    0    0     0  3308 23530 31063 19 10 63  8  0
 2  0      0 12690092   2220 2071900    0    0     0  3324 25497 34360 19 10 63  8  0
 2  0      0 12685132   2220 2071900    0    0     0  5503 27078 35124 23 12 56 10  0
 4  0      0 12685356   2220 2071900    0    0     0  3060 22964 30235 17  9 66  8  0
 3  0      0 12689516   2220 2071900    0    0     0  6664 25494 33479 21 10 60  8  0
 0  0      0 12688332   2220 2071900    0    0     0  2676 20510 27302 15  9 70  7  0
 0  0      0 12683340   2220 2071900    0    0     0  5588 27138 35811 21 11 59  9  0
 2  1      0 12687312   2220 2071904    0    0     0  6316 24693 31525 22 10 59  8  0
 0  0      0 12690288   2220 2071904    0    0     0  3276 25868 34931 18 11 63  8  0
 1  1      0 12691536   2220 2071904    0    0     0  4000 24961 32055 20 10 60  9  0
 0  1      0 12685008   2220 2071904    0    0     0  2972 24055 32335 19  9 64  7  0
 1  0      0 12685392   2220 2071904    0    0     0  3184 27094 36885 20 11 62  8  0
