Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-3) 	西元2026年06月21日 	_x86_64_	(4 CPU)

07時12分25秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07時12分26秒  all   16.46    0.00    4.81    4.81    0.76    1.52    0.00    0.00    0.00   71.65
07時12分27秒  all   12.37    0.00    4.04    4.29    1.01    1.26    0.00    0.00    0.00   77.02
07時12分28秒  all   12.69    0.00    4.06    4.57    1.27    1.52    0.00    0.00    0.00   75.89
07時12分29秒  all   15.64    0.00    4.10    5.38    0.51    1.28    0.00    0.00    0.00   73.08
07時12分30秒  all   12.98    0.00    3.82    3.31    0.76    1.02    0.00    0.00    0.00   78.12
07時12分31秒  all   11.59    0.00    3.53    4.28    1.01    1.26    0.00    0.00    0.00   78.34
07時12分32秒  all   15.76    0.00    4.13    5.68    1.03    1.29    0.00    0.00    0.00   72.09
07時12分33秒  all   29.67    0.00    5.12    9.46    0.26    1.79    0.00    0.00    0.00   53.71
07時12分34秒  all   13.23    0.00    4.07    5.85    1.27    1.27    0.00    0.00    0.00   74.30
07時12分35秒  all   13.74    0.00    4.33    4.58    1.02    1.27    0.00    0.00    0.00   75.06
07時12分36秒  all   12.02    0.00    4.09    4.09    0.77    1.02    0.00    0.00    0.00   78.01
07時12分37秒  all   12.41    0.00    3.54    4.56    0.76    1.52    0.00    0.00    0.00   77.22
07時12分38秒  all   13.55    0.00    4.35    4.60    1.02    1.02    0.00    0.00    0.00   75.45
07時12分39秒  all   11.90    0.00    3.80    4.05    0.76    1.52    0.00    0.00    0.00   77.97
07時12分40秒  all   14.03    0.00    4.59    4.59    0.77    1.53    0.00    0.00    0.00   74.49
07時12分41秒  all   11.20    0.00    3.31    4.58    1.27    1.27    0.00    0.00    0.00   78.37
07時12分42秒  all   12.28    0.00    3.32    4.35    1.02    0.77    0.00    0.00    0.00   78.26
07時12分43秒  all   13.55    0.00    3.58    4.60    0.77    1.02    0.00    0.00    0.00   76.47
07時12分44秒  all    9.09    0.00    3.03    3.54    0.51    1.26    0.00    0.00    0.00   82.58
07時12分45秒  all   12.69    0.00    3.30    3.81    1.02    1.27    0.00    0.00    0.00   77.92
07時12分46秒  all   11.51    0.00    4.09    4.09    0.51    1.28    0.00    0.00    0.00   78.52
07時12分47秒  all   11.45    0.00    3.05    3.56    0.76    1.02    0.00    0.00    0.00   80.15
07時12分48秒  all   11.76    0.00    3.84    4.60    1.02    1.02    0.00    0.00    0.00   77.75
07時12分49秒  all   13.60    0.00    4.28    4.53    1.01    1.51    0.00    0.00    0.00   75.06
07時12分50秒  all   16.71    0.00    4.30    4.81    0.76    1.27    0.00    0.00    0.00   72.15
07時12分51秒  all   14.25    0.00    4.07    5.34    0.76    1.53    0.00    0.00    0.00   74.05
07時12分52秒  all   11.36    0.00    3.54    4.29    1.01    1.26    0.00    0.00    0.00   78.54
07時12分53秒  all   12.79    0.00    4.09    4.60    0.77    1.02    0.00    0.00    0.00   76.73
07時12分54秒  all   10.71    0.00    3.32    4.59    0.77    1.28    0.00    0.00    0.00   79.34
07時12分55秒  all   16.71    0.00    3.54    5.82    1.01    1.52    0.00    0.00    0.00   71.39
07時12分56秒  all   23.91    0.00    4.88    7.71    1.03    0.77    0.00    0.00    0.00   61.70
07時12分57秒  all    8.18    0.00    3.07    3.58    0.26    1.02    0.00    0.00    0.00   83.89
07時12分58秒  all   10.20    0.00    3.32    3.32    0.77    0.77    0.00    0.00    0.00   81.63
07時12分59秒  all    6.58    0.00    1.77    2.28    0.76    1.01    0.00    0.00    0.00   87.59
07時13分00秒  all    7.52    0.00    3.01    2.26    0.75    1.00    0.00    0.00    0.00   85.46
07時13分01秒  all    8.63    0.00    4.06    2.79    0.51    0.76    0.00    0.00    0.00   83.25
07時13分02秒  all   10.63    0.00    4.30    3.54    1.01    1.01    0.00    0.00    0.00   79.49
07時13分03秒  all   10.13    0.00    3.80    3.04    0.76    1.01    0.00    0.00    0.00   81.27
07時13分04秒  all    8.10    0.00    3.04    2.53    0.76    1.01    0.00    0.00    0.00   84.56
07時13分05秒  all    8.91    0.00    3.05    2.54    0.76    1.53    0.00    0.00    0.00   83.21
07時13分06秒  all   10.43    0.00    3.56    3.05    0.76    1.02    0.00    0.00    0.00   81.17
07時13分07秒  all    8.93    0.00    2.81    3.32    0.77    0.77    0.00    0.00    0.00   83.42
07時13分08秒  all    8.84    0.00    3.03    3.03    0.76    1.01    0.00    0.00    0.00   83.33
07時13分09秒  all   10.35    0.00    3.03    3.28    0.51    1.01    0.00    0.00    0.00   81.82
07時13分10秒  all    7.85    0.00    2.78    2.03    0.76    0.76    0.00    0.00    0.00   85.82
07時13分11秒  all    8.35    0.00    2.28    3.04    0.51    1.01    0.00    0.00    0.00   84.81
07時13分12秒  all   10.03    0.00    3.08    3.60    0.77    1.03    0.00    0.00    0.00   81.49
07時13分13秒  all    7.59    0.00    2.78    2.53    1.01    0.76    0.00    0.00    0.00   85.32
07時13分14秒  all    6.39    0.00    2.30    2.30    0.77    1.02    0.00    0.00    0.00   87.21
07時13分15秒  all   12.37    0.00    3.79    3.54    0.51    1.26    0.00    0.00    0.00   78.54
07時13分16秒  all    6.87    0.00    2.80    2.29    0.51    0.76    0.00    0.00    0.00   86.77
07時13分17秒  all    7.65    0.00    3.06    2.81    0.51    1.02    0.00    0.00    0.00   84.95
07時13分18秒  all    7.81    0.00    2.52    2.27    1.01    0.76    0.00    0.00    0.00   85.64
07時13分19秒  all   12.92    0.00    3.36    4.39    0.78    1.03    0.00    0.00    0.00   77.52
07時13分20秒  all   13.57    0.00    4.27    4.27    1.01    1.51    0.00    0.00    0.00   75.38
07時13分21秒  all   10.51    0.00    2.82    3.08    0.51    1.03    0.00    0.00    0.00   82.05
07時13分22秒  all    7.61    0.00    3.05    3.30    0.76    0.76    0.00    0.00    0.00   84.52
07時13分23秒  all    6.60    0.00    2.03    2.28    0.76    0.51    0.00    0.00    0.00   87.82
07時13分24秒  all    8.10    0.00    3.80    3.29    1.01    1.27    0.00    0.00    0.00   82.53
07時13分25秒  all    8.67    0.00    2.81    3.06    0.51    1.02    0.00    0.00    0.00   83.93
07時13分26秒  all   12.41    0.00    4.30    3.80    0.76    1.27    0.00    0.00    0.00   77.47
07時13分27秒  all   13.30    0.00    4.35    4.86    1.02    1.28    0.00    0.00    0.00   75.19
07時13分28秒  all    9.49    0.00    2.56    3.33    0.51    1.03    0.00    0.00    0.00   83.08
07時13分29秒  all   30.41    0.00    5.67    9.54    1.03    1.29    0.00    0.00    0.00   52.06
07時13分30秒  all   14.47    0.00    3.81    5.84    1.02    1.52    0.00    0.00    0.00   73.35
07時13分31秒  all   10.51    0.00    3.08    3.85    0.77    1.03    0.00    0.00    0.00   80.77
07時13分32秒  all   12.28    0.00    3.32    4.60    0.77    1.28    0.00    0.00    0.00   77.75
07時13分33秒  all   13.16    0.00    4.30    5.32    1.01    1.52    0.00    0.00    0.00   74.68
07時13分34秒  all   12.34    0.00    3.86    4.88    1.03    1.03    0.00    0.00    0.00   76.86
07時13分35秒  all   16.16    0.00    4.04    4.80    1.26    1.52    0.00    0.00    0.00   72.22
07時13分36秒  all   13.13    0.00    4.55    4.80    0.76    1.26    0.00    0.00    0.00   75.51
07時13分37秒  all   17.65    0.00    3.84    5.63    0.77    1.53    0.00    0.00    0.00   70.59
07時13分38秒  all   13.71    0.00    3.81    4.31    0.76    1.27    0.00    0.00    0.00   76.14
07時13分39秒  all   15.56    0.00    4.08    4.59    1.02    1.53    0.00    0.00    0.00   73.21
07時13分40秒  all   16.33    0.00    4.27    5.28    0.75    1.26    0.00    0.00    0.00   72.11
