Linux 4.18.0-425.3.1.el8.x86_64 (l-dbm-labroom-1) 	西元2026年06月22日 	_x86_64_	(4 CPU)

22時46分33秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22時46分34秒  all   11.36    0.00    6.31    0.00    0.25    1.26    0.00    0.00    0.00   80.81
22時46分35秒  all    1.75    0.00    2.50    0.00    1.00    1.25    0.00    0.00    0.00   93.50
22時46分36秒  all    1.76    0.00    2.26    0.00    0.25    1.26    0.00    0.00    0.00   94.47
22時46分37秒  all    1.75    0.00    2.26    0.00    0.50    1.00    0.00    0.00    0.00   94.49
22時46分38秒  all    2.01    0.00    2.01    0.00    0.50    1.25    0.00    0.00    0.00   94.24
22時46分39秒  all    1.51    0.00    2.27    0.00    0.50    1.01    0.00    0.00    0.00   94.71
22時46分40秒  all    1.27    0.00    2.53    0.00    0.51    1.52    0.00    0.00    0.00   94.18
22時46分41秒  all    2.75    0.00    3.00    0.00    0.75    1.50    0.00    0.00    0.00   92.00
22時46分42秒  all    3.02    0.00    3.02    0.00    0.50    1.51    0.00    0.00    0.00   91.94
22時46分43秒  all    2.01    0.00    2.76    0.00    0.75    1.51    0.00    0.00    0.00   92.96
22時46分44秒  all    2.02    0.00    2.27    0.00    0.50    1.51    0.00    0.00    0.00   93.70
22時46分45秒  all    2.75    0.00    3.25    0.00    0.75    1.50    0.00    0.00    0.00   91.75
22時46分46秒  all    2.53    0.00    2.53    0.00    0.76    1.52    0.00    0.00    0.00   92.66
22時46分47秒  all    2.24    0.00    2.99    0.00    0.75    1.50    0.00    0.00    0.00   92.52
22時46分48秒  all    1.78    0.00    1.78    0.00    0.25    1.02    0.00    0.00    0.00   95.18
22時46分49秒  all    2.25    0.00    2.75    0.00    0.75    1.25    0.00    0.00    0.00   93.00
22時46分50秒  all    1.52    0.00    2.28    0.00    0.51    1.01    0.00    0.00    0.00   94.68
22時46分51秒  all    2.51    0.00    2.01    0.00    0.50    1.51    0.00    0.00    0.00   93.47
22時46分52秒  all    2.78    0.00    2.53    0.00    0.51    1.26    0.00    0.00    0.00   92.93
22時46分53秒  all    1.76    0.00    2.26    0.00    0.75    1.51    0.00    0.00    0.00   93.72
22時46分54秒  all    2.27    0.00    2.52    0.00    0.76    1.51    0.00    0.00    0.00   92.95
22時46分55秒  all    2.28    0.00    2.54    0.00    0.51    1.52    0.00    0.00    0.00   93.15
22時46分56秒  all    2.52    0.00    2.77    0.00    1.01    1.51    0.00    0.00    0.00   92.19
22時46分57秒  all    2.27    0.00    2.53    0.00    0.25    1.26    0.00    0.00    0.00   93.69
22時46分58秒  all    1.51    0.00    1.51    0.00    0.50    1.01    0.00    0.00    0.00   95.47
22時46分59秒  all    1.76    0.00    2.27    0.00    0.50    1.26    0.00    0.00    0.00   94.21
22時47分00秒  all    2.02    0.00    2.02    0.00    0.76    1.52    0.00    0.00    0.00   93.69
22時47分01秒  all    4.55    0.00    3.28    0.00    0.51    1.52    0.00    0.00    0.00   90.15
22時47分02秒  all    2.54    0.00    2.28    0.00    0.51    1.02    0.00    0.00    0.00   93.65
22時47分03秒  all    1.26    0.00    2.51    0.00    0.75    1.76    0.00    0.00    0.00   93.72
22時47分04秒  all    2.77    0.00    2.27    0.00    0.50    1.26    0.00    0.00    0.00   93.20
22時47分05秒  all    2.02    0.00    2.02    0.00    0.50    1.51    0.00    0.00    0.00   93.95
