Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-3) 	西元2026年06月22日 	_x86_64_	(4 CPU)

22時58分37秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22時58分38秒  all   23.68    0.00    6.84   15.26    1.05    2.63    0.00    0.00    0.00   50.53
22時58分39秒  all   27.32    0.00    6.19   16.49    1.03    2.58    0.00    0.00    0.00   46.39
22時58分40秒  all   44.42    0.00    6.60   16.50    1.52    1.78    0.00    0.00    0.00   29.19
22時58分41秒  all   29.58    0.00    6.02   17.28    1.31    2.62    0.00    0.00    0.00   43.19
22時58分42秒  all   25.32    0.00    5.37   16.62    1.02    2.05    0.00    0.00    0.00   49.62
22時58分43秒  all   20.84    0.00    4.49   15.83    1.06    2.37    0.00    0.00    0.00   55.41
22時58分44秒  all   23.51    0.00    4.65   16.80    1.29    2.33    0.00    0.00    0.00   51.42
22時58分45秒  all   25.71    0.00    5.91   16.71    1.29    2.57    0.00    0.00    0.00   47.81
22時58分46秒  all   29.69    0.00    5.99   17.19    1.30    1.82    0.00    0.00    0.00   44.01
22時58分47秒  all   23.45    0.00    5.67   16.75    1.29    2.58    0.00    0.00    0.00   50.26
22時58分48秒  all   25.39    0.00    4.92   16.06    1.04    2.59    0.00    0.00    0.00   50.00
22時58分49秒  all   24.16    0.00    5.45   16.62    0.78    2.08    0.00    0.00    0.00   50.91
22時58分50秒  all   21.59    0.00    4.63   15.42    1.03    2.06    0.00    0.00    0.00   55.27
22時58分51秒  all   22.51    0.00    5.12   15.86    1.28    2.30    0.00    0.00    0.00   52.94
22時58分52秒  all   23.91    0.00    5.66   15.42    1.29    2.06    0.00    0.00    0.00   51.67
22時58分53秒  all   39.74    0.00    5.90   16.92    0.77    1.79    0.00    0.00    0.00   34.87
22時58分54秒  all   41.65    0.00    6.17   16.20    1.29    2.06    0.00    0.00    0.00   32.65
22時58分55秒  all   30.85    0.00    6.17   16.97    1.29    2.06    0.00    0.00    0.00   42.67
22時58分56秒  all   23.72    0.00    5.87   16.58    1.28    2.55    0.00    0.00    0.00   50.00
22時58分57秒  all   22.98    0.00    5.22   17.23    1.31    2.35    0.00    0.00    0.00   50.91
22時58分58秒  all   25.00    0.00    5.93   17.01    1.03    2.32    0.00    0.00    0.00   48.71
22時58分59秒  all   29.53    0.00    4.66   17.36    1.04    2.33    0.00    0.00    0.00   45.08
22時59分00秒  all   29.87    0.00    5.71   16.36    1.30    2.34    0.00    0.00    0.00   44.42
22時59分01秒  all   26.68    0.00    4.92   16.32    1.30    2.59    0.00    0.00    0.00   48.19
22時59分02秒  all   24.09    0.00    5.96   15.54    1.30    2.59    0.00    0.00    0.00   50.52
22時59分03秒  all   26.85    0.00    5.12   16.37    1.02    2.56    0.00    0.00    0.00   48.08
22時59分04秒  all   22.54    0.00    5.18   15.54    1.30    1.55    0.00    0.00    0.00   53.89
22時59分05秒  all   21.68    0.00    5.61   15.56    1.02    2.04    0.00    0.00    0.00   54.08
22時59分06秒  all   31.89    0.00    5.61   15.82    1.02    2.30    0.00    0.00    0.00   43.37
22時59分07秒  all   26.29    0.00    6.19   16.75    1.29    2.32    0.00    0.00    0.00   47.16
22時59分08秒  all   25.13    0.00    5.90   16.41    1.28    2.82    0.00    0.00    0.00   48.46
