procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0      0 10172752   3132 4236256    0    0     7   373  264  154  3  2 94  1  0
 0  0      0 10174392   3132 4236256    0    0     0  3105 4938 7647  4  3 92  1  0
 0  0      0 10171448   3132 4236256    0    0     0  1016 4070 6742  2  2 95  1  0
 0  0      0 10171864   3132 4236256    0    0     0  1156 3990 6623  2  1 96  1  0
 0  0      0 10172056   3132 4236256    0    0     0    56 3761 6489  1  2 97  0  0
 0  0      0 10172568   3132 4236256    0    0     0   988 4040 6607  2  2 96  1  0
 0  0      0 10172760   3132 4236256    0    0     0  2244 4392 6951  4  2 93  1  0
 0  0      0 10173336   3132 4236256    0    0     0    72 3795 6503  1  1 97  0  0
 0  0      0 10173656   3132 4236256    0    0     0    80 3745 6476  1  1 97  0  0
 0  0      0 10173944   3132 4236256    0    0     0    56 3909 6668  2  1 97  0  0
 3  1      0 10174456   3132 4236256    0    0     0  1560 4038 6547  3  2 95  1  0
 0  0      0 10175160   3132 4236256    0    0     0  2812 4739 7496  3  2 94  1  0
 0  0      0 10175608   3132 4236256    0    0     0  1032 4254 7138  1  2 96  1  0
 0  0      0 10176056   3132 4236256    0    0     0  1156 3957 6521  2  2 96  1  0
 0  0      0 10176312   3132 4236256    0    0     0    92 4116 7084  1  1 97  1  0
 0  0      0 10176664   3132 4236256    0    0     0   956 4181 7033  2  2 96  1  0
 0  0      0 10177432   3132 4236256    0    0     0  2256 4330 6852  4  2 94  1  0
 0  0      0 10177560   3132 4236256    0    0     0    96 3863 6625  1  1 97  1  0
 0  0      0 10177944   3132 4236256    0    0     0    36 3593 6257  1  1 98  0  0
 0  0      0 10178200   3132 4236256    0    0     0   268 4031 6872  2  1 97  1  0
 2  0      0 10178840   3132 4236256    0    0     0  1668 4358 6965  3  2 95  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 10176472   3132 4236256    0    0     0  2736 5712 8883  4  3 92  1  0
 0  0      0 10177112   3132 4236256    0    0     0   968 3818 6470  1  2 96  1  0
 1  0      0 10174296   3132 4238472    0    0     0  2484 6546 10457 13  3 83  1  0
 2  0      0 10160568   3132 4253704    0    0     0 16119 17735 32057 22  6 68  4  0
 3  0      0 10166168   3132 4247816    0    0     0 22805 16758 29949 21  6 68  5  0
 1  0      0 10176372   3132 4236416    0    0     0  2433 4698 7280  4  2 93  1  0
 0  0      0 10176556   3132 4236420    0    0     0    36 3724 6457  1  1 98  0  0
 0  0      0 10176908   3132 4236420    0    0     0    40 3619 6338  1  2 97  0  0
 0  0      0 10177416   3132 4236420    0    0     0   750 5323 8752  2  2 94  2  0
 3  0      0 10175688   3132 4236420    0    0     0  2716 7215 11319  4  3 89  4  0
 0  0      0 10176968   3132 4236420    0    0     0  3636 8065 12440  5  4 87  5  0
 0  0      0 10174856   3132 4236420    0    0     0  2060 7385 11789  3  3 90  4  0
 0  0      0 10175400   3132 4236420    0    0     0  1328 4502 7321  2  2 95  1  0
 1  0      0 10175688   3132 4236420    0    0     0    48 3841 6595  1  1 97  0  0
 0  0      0 10176104   3132 4236420    0    0     0   992 4376 7256  2  2 95  1  0
 0  0      0 10173544   3132 4236420    0    0     0  2284 4595 7331  4  2 94  1  0
 0  0      0 10173736   3132 4236424    0    0     0    48 3738 6458  1  1 97  0  0
 0  0      0 10174056   3132 4236424    0    0     0    68 4010 6947  1  1 97  1  0
 0  1      0 10174280   3132 4236424    0    0     0    60 3761 6430  1  2 96  0  0
 0  1      0 10174728   3132 4236424    0    0     0  2012 4312 6911  3  2 95  1  0
 0  0      0 10175272   3132 4236424    0    0     0  2352 4407 7088  2  2 95  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 10175784   3132 4236424    0    0     0  1044 4107 6851  2  2 96  1  0
 0  0      0 10176264   3132 4236424    0    0     0  1160 4173 6953  2  2 96  1  0
 0  0      0 10176456   3132 4236424    0    0     0    72 3894 6596  2  2 96  0  0
 0  0      0 10174024   3132 4236424    0    0     0   968 4284 7214  2  1 96  1  0
 0  0      0 10174088   3132 4236424    0    0     0  2272 4284 6768  4  2 93  1  0
 0  0      0 10174568   3132 4236424    0    0     0    80 3737 6368  1  2 97  1  0
 0  0      0 10174856   3132 4236424    0    0     0    64 3680 6277  2  2 97  0  0
 0  0      0 10175048   3132 4236424    0    0     0    48 3598 6134  1  2 97  0  0
 1  0      0 10175592   3132 4236424    0    0     0  2044 4432 7024  3  2 94  1  0
 0  0      0 10176168   3132 4236424    0    0     0  2324 4363 6968  3  2 95  1  0
 0  0      0 10176584   3132 4236424    0    0     0   968 3837 6449  2  2 96  1  0
 0  0      0 10177064   3132 4236424    0    0     0  1188 4022 6512  3  2 94  1  0
 0  0      0 10177288   3132 4236424    0    0     0   171 3775 6526  1  1 97  0  0
 0  0      0 10177768   3132 4236424    0    0     0   984 3993 6688  2  2 96  1  0
 1  0      0 10178152   3132 4236424    0    0     0  2296 4718 7453  4  2 93  1  0
 0  0      0 10178440   3132 4236424    0    0     0    44 3918 6821  1  1 98  0  0
 0  0      0 10178696   3132 4236424    0    0     0    36 3511 6052  1  2 97  0  0
 0  0      0 10178920   3132 4236424    0    0     0   105 3876 6629  1  2 97  1  0
 1  0      0 10179400   3132 4236424    0    0     0  2016 4440 7060  3  2 94  1  0
 0  0      0 10179380   3132 4236436    0    0     0  2324 5020 7539  3  3 92  1  0
 0  0      0 10176884   3132 4236436    0    0     0  1004 4189 7135  1  2 97  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 10177172   3132 4236436    0    0     0  1152 4552 7677  3  2 95  1  0
 0  0      0 10177332   3132 4236436    0    0     0    56 3865 6734  1  2 97  0  0
 0  0      0 10177812   3132 4236436    0    0     0  1012 4522 7496  3  2 95  1  0
 0  0      0 10175220   3132 4236436    0    0     0  2252 4432 7012  4  2 94  1  0
 0  0      0 10175444   3132 4236440    0    0     0    48 3754 6535  1  1 97  0  0
 1  0      0 10175700   3132 4236440    0    0     0    72 3769 6450  1  2 97  0  0
 1  0      0 10175956   3132 4236440    0    0     0    64 3678 6262  1  1 97  0  0
 1  0      0 10176372   3132 4236440    0    0     0  2272 4304 6823  4  2 93  1  0
 0  0      0 10177172   3132 4236440    0    0     0  2096 4548 7455  2  1 95  1  0
 0  0      0 10177524   3132 4236440    0    0     0  1036 4177 7164  1  2 96  1  0
 0  0      0 10177972   3132 4236440    0    0     0  1156 4000 6635  3  1 95  1  0
 0  0      0 10178260   3132 4236440    0    0     0    80 3996 6824  2  2 96  0  0
 0  0      0 10178676   3132 4236440    0    0     0   976 4281 7185  2  1 96  1  0
 0  0      0 10178996   3132 4236440    0    0     0  2260 4572 7222  4  2 93  1  0
 0  0      0 10179476   3132 4236440    0    0     0    88 3683 6292  1  1 97  1  0
 0  0      0 10179636   3132 4236440    0    0     0    40 3945 6782  1  2 97  0  0
 1  1      0 10180052   3132 4236440    0    0     0   260 3792 6519  2  1 97  1  0
 0  1      0 10174132   3132 4236440    0    0     0  2108 4313 6724  4  2 93  1  0
 0  0      0 10171796   3132 4236440    0    0     0  2084 4955 7708  3  2 94  1  0
 0  0      0 10172212   3132 4236440    0    0     0   976 3829 6443  2  2 96  1  0
 0  0      0 10172660   3132 4236440    0    0     0  1184 4052 6654  2  2 95  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 10172884   3132 4236440    0    0     0    44 3826 6581  1  1 97  0  0
 0  0      0 10173300   3132 4236440    0    0     0  1043 4602 7737  2  2 96  1  0
 1  0      0 10173748   3132 4237544    0    0     0  3288 5220 8159  8  2 89  2  0
 0  1      0 10162288   3132 4251120    0    0     0 13848 16022 28353 27  6 64  3  0
 0  1      0 10161000   3132 4252660    0    0     0 20795 16195 29102 21  5 69  4  0
 3  0      0 10174712   3132 4236604    0    0     0  3735 5740 9722  5  2 92  2  0
 0  0      0 10175220   3132 4236608    0    0     0  2060 4447 7131  3  2 94  1  0
 2  0      0 10175572   3132 4236608    0    0     0  2064 4396 7234  2  1 96  1  0
 0  0      0 10176496   3132 4236608    0    0     0  1048 4147 6984  2  2 96  1  0
 0  0      0 10177576   3132 4236608    0    0     0  1688 5725 9105  4  3 92  2  0
 0  0      0 10175176   3132 4236608    0    0     0   604 5884 9707  3  2 93  2  0
 2  0      0 10175528   3132 4236608    0    0     0  1024 4522 7571  2  2 95  1  0
 2  0      0 10176008   3132 4236608    0    0     0  2244 4571 7276  4  2 93  1  0
 0  0      0 10176296   3132 4236608    0    0     0    44 3648 6359  1  1 97  0  0
 0  0      0 10176584   3132 4236608    0    0     0    84 3901 6687  1  2 97  0  0
 3  0      0 10176808   3132 4236608    0    0     0   620 4776 7989  2  2 95  1  0
 0  0      0 10174824   3132 4236608    0    0     0  3140 8055 12498  5  3 88  4  0
 0  0      0 10176104   3132 4236608    0    0     0  3128 7828 12279  5  3 88  4  0
