Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-3) 	西元2026年06月19日 	_x86_64_	(4 CPU)

01時25分53秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01時25分54秒  all   20.00    0.00    7.18    7.18    1.28    1.79    0.00    0.00    0.00   62.56
01時25分55秒  all   21.28    0.00    7.18    7.18    2.31    1.79    0.00    0.00    0.00   60.26
01時25分56秒  all   19.39    0.00    5.87    6.89    1.02    3.57    0.00    0.00    0.00   63.27
01時25分57秒  all   19.49    0.00    6.67    7.69    1.03    2.31    0.00    0.00    0.00   62.82
01時25分58秒  all   20.10    0.00    5.67    7.22    0.52    2.84    0.00    0.00    0.00   63.66
01時25分59秒  all   21.03    0.00    6.92    7.69    1.28    1.54    0.00    0.00    0.00   61.54
01時26分00秒  all   19.23    0.00    5.90    7.95    0.77    1.79    0.00    0.00    0.00   64.36
01時26分01秒  all   22.70    0.00    6.89    6.63    1.02    2.04    0.00    0.00    0.00   60.71
01時26分02秒  all   20.10    0.00    6.87    7.12    0.76    2.04    0.00    0.00    0.00   63.10
01時26分03秒  all   16.32    0.00    7.25    7.77    1.04    1.81    0.00    0.00    0.00   65.80
01時26分04秒  all   20.00    0.00    5.90    7.18    1.03    1.54    0.00    0.00    0.00   64.36
01時26分05秒  all   17.69    0.00    6.15    7.44    0.51    2.56    0.00    0.00    0.00   65.64
01時26分06秒  all   17.22    0.00    5.82    7.34    1.01    1.52    0.00    0.00    0.00   67.09
01時26分07秒  all   21.12    0.00    6.62    6.36    1.27    1.53    0.00    0.00    0.00   63.10
01時26分08秒  all   20.31    0.00    6.17    8.23    0.51    2.06    0.00    0.00    0.00   62.72
01時26分09秒  all   20.00    0.00    6.23    7.27    1.04    1.82    0.00    0.00    0.00   63.64
01時26分10秒  all   19.05    0.00    7.02    7.52    1.00    2.01    0.00    0.00    0.00   63.41
01時26分11秒  all   22.47    0.00    7.07    7.32    1.26    1.77    0.00    0.00    0.00   60.10
01時26分12秒  all   23.33    0.00    7.44    7.44    1.03    2.05    0.00    0.00    0.00   58.72
01時26分13秒  all   23.35    0.00    6.60    7.36    0.51    2.03    0.00    0.00    0.00   60.15
01時26分14秒  all   21.32    0.00    6.60    7.36    1.02    2.03    0.00    0.00    0.00   61.68
01時26分15秒  all   20.10    0.00    7.04    8.29    1.26    1.76    0.00    0.00    0.00   61.56
01時26分16秒  all   18.53    0.00    6.85    7.36    1.02    1.78    0.00    0.00    0.00   64.47
01時26分17秒  all   19.90    0.00    6.63    7.91    0.51    2.04    0.00    0.00    0.00   63.01
01時26分18秒  all   20.10    0.00    7.04    7.29    1.26    1.76    0.00    0.00    0.00   62.56
01時26分19秒  all   21.79    0.00    6.41    7.18    1.03    2.05    0.00    0.00    0.00   61.54
01時26分20秒  all   21.16    0.00    6.30    7.30    1.01    2.02    0.00    0.00    0.00   62.22
01時26分21秒  all   23.08    0.00    7.18    6.92    1.03    2.05    0.00    0.00    0.00   59.74
01時26分22秒  all   21.85    0.00    6.17    7.46    0.77    2.06    0.00    0.00    0.00   61.70
01時26分23秒  all   20.51    0.00    6.67    8.21    1.03    1.54    0.00    0.00    0.00   62.05
01時26分24秒  all   19.90    0.00    6.38    7.40    1.02    2.04    0.00    0.00    0.00   63.27
01時26分25秒  all   19.40    0.00    6.80    7.81    1.01    1.76    0.00    0.00    0.00   63.22
01時26分26秒  all   18.77    0.00    6.68    7.46    0.77    1.54    0.00    0.00    0.00   64.78
01時26分27秒  all   19.24    0.00    6.58    8.10    0.76    2.28    0.00    0.00    0.00   63.04
01時26分28秒  all   21.39    0.00    6.44    7.99    1.03    1.80    0.00    0.00    0.00   61.34
01時26分29秒  all   20.81    0.00    5.84    8.12    1.02    1.78    0.00    0.00    0.00   62.44
01時26分30秒  all   20.66    0.00    6.38    7.65    1.02    2.04    0.00    0.00    0.00   62.24
01時26分31秒  all   19.28    0.00    6.17    7.46    0.51    1.54    0.00    0.00    0.00   65.04
01時26分32秒  all   19.34    0.00    6.62    7.89    1.27    2.04    0.00    0.00    0.00   62.85
01時26分33秒  all   20.00    0.00    6.58    7.85    0.51    1.77    0.00    0.00    0.00   63.29
01時26分34秒  all   19.90    0.00    7.40    8.16    1.28    1.79    0.00    0.00    0.00   61.48
01時26分35秒  all   20.10    0.00    6.36    8.14    0.76    2.04    0.00    0.00    0.00   62.60
01時26分36秒  all   18.58    0.00    6.11    8.65    1.02    1.78    0.00    0.00    0.00   63.87
01時26分37秒  all   20.16    0.00    7.24    7.75    0.78    1.81    0.00    0.00    0.00   62.27
01時26分38秒  all   21.57    0.00    6.60    7.61    1.02    1.78    0.00    0.00    0.00   61.42
01時26分39秒  all   19.59    0.00    5.85    7.38    1.02    1.78    0.00    0.00    0.00   64.38
01時26分40秒  all   19.12    0.00    5.94    8.01    1.03    1.81    0.00    0.00    0.00   64.08
01時26分41秒  all   22.50    0.00    7.00    6.75    0.75    1.75    0.00    0.00    0.00   61.25
01時26分42秒  all   21.52    0.00    6.33    7.85    1.01    2.03    0.00    0.00    0.00   61.27
01時26分43秒  all   24.81    0.00    7.77    6.77    0.75    2.01    0.00    0.00    0.00   57.89
01時26分44秒  all   22.73    0.00    6.57    8.08    1.26    2.02    0.00    0.00    0.00   59.34
01時26分45秒  all   19.79    0.00    5.73    8.33    1.04    1.30    0.00    0.00    0.00   63.80
01時26分46秒  all   18.48    0.00    6.58    7.34    0.51    1.77    0.00    0.00    0.00   65.32
01時26分47秒  all   20.80    0.00    6.52    8.02    1.00    2.01    0.00    0.00    0.00   61.65
01時26分48秒  all   21.28    0.00    6.92    8.21    1.28    2.05    0.00    0.00    0.00   60.26
01時26分49秒  all   21.32    0.00    6.60    7.36    0.76    2.03    0.00    0.00    0.00   61.93
01時26分50秒  all   23.66    0.00    6.62    7.38    1.02    1.78    0.00    0.00    0.00   59.54
01時26分51秒  all   19.95    0.00    6.31    8.08    0.76    1.77    0.00    0.00    0.00   63.13
01時26分52秒  all   21.68    0.00    6.63    7.65    1.28    1.79    0.00    0.00    0.00   60.97
01時26分53秒  all   18.60    0.00    5.17    7.49    0.52    1.29    0.00    0.00    0.00   66.93
01時26分54秒  all    1.00    0.00    1.00    0.00    0.25    0.50    0.00    0.00    0.00   97.25
01時26分55秒  all    1.00    0.00    0.00    0.00    0.25    0.25    0.00    0.00    0.00   98.50
01時26分56秒  all    0.50    0.00    0.25    0.00    0.25    0.00    0.00    0.00    0.00   98.99
01時26分57秒  all    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01時26分58秒  all    0.50    0.00    0.75    0.25    0.00    0.00    0.00    0.00    0.00   98.49
平均時間：  all   18.92    0.00    6.08    6.99    0.90    1.77    0.00    0.00    0.00   65.34
