procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  0      0 10856156   1076 988136    0    0   157   105  612  818  2  1 97  0  0
12  1      0 10948268   1076 990624    0    0   152  2960 42306 48163 61 15 22  1  0
 9  0      0 10969872   1076 992824    0    0   212  5199 37634 50515 57 16 25  2  0
14  1      0 10978924   1076 994864    0    0   180  4433 45001 51323 60 15 23  1  0
13  1      0 10974936   1076 997304    0    0   172  4183 47785 56216 58 17 24  2  0
10  0      0 10972704   1076 999208    0    0   140  4131 43503 51556 56 17 26  2  0
 8  0      0 10967980   1076 1001264    0    0   168  5612 40433 57915 58 16 25  2  0
10  0      0 10965872   1076 1003272    0    0   128  2737 35065 48694 60 16 23  2  0
 7  0      0 10962004   1076 1005328    0    0   128  5341 37872 51401 58 16 24  2  0
14  0      0 10956572   1076 1007844    0    0   236  3274 36435 50872 59 15 24  1  0
 4  0      0 10951340   1076 1009496    0    0   172  4738 37272 52963 56 16 27  2  0
10  0      0 10948040   1076 1011612    0    0   224  3013 34368 49742 58 15 26  2  0
12  0      0 10943840   1076 1013624    0    0   164  3515 32772 43910 61 15 22  1  0
10  0      0 10937256   1076 1015716    0    0   144  3673 35919 47317 59 16 23  1  0
 6  0      0 10935476   1076 1017540    0    0   140  5247 38989 53538 58 16 25  1  0
 4  0      0 10931636   1076 1019624    0    0   232  3180 37681 55301 58 15 26  2  0
 5  1      0 10928732   1076 1021612    0    0   116  4962 34981 47927 61 15 22  2  0
 6  0      0 10924104   1076 1023692    0    0   148  2862 41041 56529 58 16 25  1  0
 7  0      0 10920268   1076 1025684    0    0   236  4164 38768 54591 58 16 24  2  0
 6  1      0 10913296   1076 1028180    0    0   228  4743 40722 58405 59 15 24  2  0
 7  0      0 10908640   1076 1030676    0    0   216  5803 40686 60205 57 16 26  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 10902396   1076 1032960    0    0    96  5637 37796 54488 59 15 24  2  0
 3  0      0 10899184   1076 1035096    0    0   104  5422 37169 53473 60 15 24  2  0
 8  0      0 10896296   1076 1037200    0    0    48  2896 33842 48268 62 15 21  1  0
 5  1      0 10890172   1076 1040052    0    0    92  5484 40239 60205 57 16 26  2  0
 8  0      0 10848608   1076 1042560    0    0   148  4697 38319 54171 60 15 23  2  0
 6  0      0 10854312   1076 1044840    0    0    96  5458 38992 55818 57 17 26  1  0
13  1      0 10859980   1076 1047216    0    0   216  3091 34721 49952 60 15 24  1  0
10  0      0 10859996   1076 1049352    0    0   116  5727 40723 58730 59 16 24  1  0
12  0      0 10856720   1076 1051896    0    0   144  3629 38076 56148 58 15 24  2  0
 9  0      0 10851056   1076 1054116    0    0   148  4993 38559 57244 58 16 24  2  0
 5  0      0 10846976   1076 1056428    0    0   100  4197 37005 53044 60 15 23  2  0
 8  0      0 10841292   1076 1058672    0    0   176  5889 38612 55309 58 16 25  1  0
12  0      0 10838916   1076 1060896    0    0   144  2905 35547 49898 61 15 23  1  0
 5  0      0 10831944   1076 1063484    0    0   156  6175 37497 54364 61 15 22  2  0
 8  0      0 10825580   1076 1065616    0    0    88  3463 40762 60100 59 15 25  2  0
11  0      0 10819196   1076 1068080    0    0   116  4787 36822 53673 60 15 23  2  0
 6  1      0 10814836   1076 1070368    0    0    84  4287 38222 55203 59 15 24  2  0
 8  0      0 10778728   1076 1072304    0    0   180  5592 35573 52077 61 15 23  2  0
10  0      0 10775972   1076 1075196    0    0   120  3860 39816 57492 58 15 26  2  0
 7  0      0 10753384   1076 1077304    0    0    64  5545 36276 54609 58 16 25  1  0
 9  0      0 10747076   1076 1080036    0    0   156  4137 39680 57267 60 16 22  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 10751320   1076 1082244    0    0   176  4141 37650 53648 60 16 22  2  0
14  0      0 10759512   1076 1084848    0    0   144  4685 34595 49291 60 15 24  2  0
14  1      0 10754764   1076 1087100    0    0    72  5968 38895 55945 60 15 24  2  0
 4  0      0 10750608   1076 1089388    0    0    96  3150 37238 52969 59 16 23  2  0
13  0      0 10739736   1076 1091752    0    0   156  7266 37246 51818 59 16 24  2  0
11  0      0 10737748   1076 1093968    0    0   132  3273 34870 49090 62 16 21  1  0
 4  0      0 10732432   1076 1096184    0    0    64  4245 39846 57420 58 16 24  2  0
 8  0      0 10703780   1076 1098644    0    0   172  4975 40425 59696 59 16 24  1  0
 5  0      0 10707844   1076 1101316    0    0   152  5228 41921 62378 58 16 24  2  0
