procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 13681256   1068 1364116    0    0     9   810  135  125  4  2 93  1  0
 0  0      0 13683172   1068 1364160    0    0     0    61 4187 5764  2  2 95  0  0
 0  0      0 13682948   1068 1364160    0    0     0   256 4183 5662  1  2 97  0  0
 0  3      0 13683588   1068 1364176    0    0    24  4979 11193 17366  2  4 91  3  0
 0  0      0 13687076   1068 1364160    0    0     0 12096 30611 50457  5  7 76 12  0
 0  0      0 13687492   1068 1364144    0    0     0 13099 32087 52544  6  8 75 12  0
 0  0      0 13687140   1068 1364148    0    0     0   419 5280 7751  1  1 97  1  0
 0  0      0 13686948   1068 1364148    0    0     0   409 4597 6437  1  2 97  1  0
 1  0      0 13686564   1068 1364148    0    0     0   404 4193 6001  1  1 97  1  0
 0  0      0 13686244   1068 1364148    0    0     0   409 4055 5801  1  1 98  1  0
 1  0      0 13685924   1068 1364156    0    0     0   414 4240 6095  1  1 97  1  0
 0  0      0 13685604   1068 1364156    0    0     0   421 4423 6496  1  1 97  1  0
 3  1      0 13685188   1068 1364156    0    0     0  2136 8541 13450  2  3 93  2  0
 0  4      0 13687556   1068 1364340    0    0     0 31190 68893 107998 11 18 49 21  0
 1  0      0 13686684   1068 1364308    0    0    24 24466 54901 87685  9 11 60 20  0
 0  0      0 13686416   1068 1364336    0    0     0   530 5930 8760  1  2 96  1  0
 3  0      0 13686240   1068 1364336    0    0     0   422 4807 6876  1  2 96  1  0
 0  0      0 13685856   1068 1364336    0    0     0   413 4892 6917  1  2 97  1  0
 0  0      0 13685472   1068 1364340    0    0     0  1266 4198 5928  1  1 98  0  0
 0  0      0 13685088   1068 1364340    0    0     0   389 4145 5931  1  1 97  1  0
 0  0      0 13684928   1068 1364320    0    0     0   393 4420 6356  1  1 97  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 13684576   1068 1364332    0    0     0   412 4419 6394  1  2 97  0  0
 0  0      0 13684004   1068 1364592    0    0     0   667 4606 6539  1  1 97  1  0
 1  0      0 13683684   1068 1364592    0    0     0   364 3966 5611  1  2 97  1  0
 0  0      0 13683364   1068 1364592    0    0     0   345 3855 5534  1  1 97  0  0
 0  0      0 13683060   1068 1364596    0    0     0   321 4008 5746  1  1 97  0  0
 0  0      0 13682916   1068 1364600    0    0     0   377 4219 6081  1  1 97  1  0
 1  2      0 13682564   1068 1364600    0    0     0  1539 7058 10728  2  2 95  2  0
 0  0      0 13685772   1068 1364584    0    0     0 20167 47410 76706  7 12 64 17  0
 0  0      0 13685260   1068 1364572    0    0     0  6138 17786 28901  3  4 86  6  0
 0  0      0 13684844   1068 1364608    0    0     0   416 5088 7701  1  1 97  1  0
 0  0      0 13684492   1068 1364612    0    0     0   405 4430 6422  1  1 97  1  0
 0  0      0 13684140   1068 1364616    0    0     0   391 4781 6806  1  2 97  1  0
 0  0      0 13683724   1068 1364616    0    0     0   938 4283 6178  1  2 97  1  0
 0  0      0 13683468   1068 1364616    0    0     0   419 4197 6251  1  2 97  1  0
 0  0      0 13683404   1068 1364624    0    0     0   409 4597 6703  1  1 97  1  0
 0  0      0 13682864   1068 1364832    0    0     0   639 3908 5684  1  1 97  1  0
 0  0      0 13682448   1068 1364832    0    0     0   436 4679 6674  1  1 97  1  0
 0  0      0 13682096   1068 1364832    0    0     0   386 4096 5834  1  1 98  0  0
 0  0      0 13681808   1068 1364836    0    0     0   363 4002 5773  1  1 97  1  0
 0  0      0 13681760   1068 1364836    0    0     0   374 4069 5868  1  1 97  1  0
 0  0      0 13681600   1068 1364836    0    0     0   377 3861 5664  1  1 97  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 13681376   1068 1364840    0    0     0   397 4498 6451  1  1 98  0  0
 0  0      0 13680992   1068 1364764    0    0     0  2218 6752 10398  2  2 95  2  0
 0  0      0 13680736   1068 1364764    0    0     0   344 3905 5632  1  1 97  0  0
 0  0      0 13683956   1068 1364796    0    0     0   336 4763 6720  1  2 97  0  0
 0  0      0 13683700   1068 1364800    0    0     0   359 5314 6932  1  2 97  1  0
 0  0      0 13683476   1068 1364804    0    0     0   336 6348 7998  1  2 97  1  0
 0  0      0 13683636   1068 1364804    0    0     0   502 6599 8373  1  2 97  0  0
 0  0      0 13684468   1068 1364824    0    0     0   670 6244 8319  1  2 96  1  0
 1  0      0 13684132   1068 1364824    0    0     0   330 4158 5884  1  1 97  1  0
 0  0      0 13683988   1068 1364824    0    0     0   338 4411 6011  1  1 97  0  0
 0  0      0 13684164   1068 1364828    0    0     0   341 5613 7277  1  2 96  1  0
 0  0      0 13684020   1068 1364828    0    0     0   323 6154 7749  1  2 96  0  0
 0  0      0 13684404   1068 1364828    0    0     0   336 7102 8617  1  2 97  1  0
 0  0      0 13684628   1068 1364832    0    0     0   307 7090 8594  2  2 96  0  0
 1  0      0 13684628   1068 1364832    0    0     0   309 6983 8531  1  2 96  1  0
 0  0      0 13684564   1068 1364836    0    0     0   321 7670 9664  1  2 97  1  0
 0  0      0 13684412   1068 1364836    0    0     0   311 6932 8572  2  2 96  0  0
 0  0      0 13684444   1068 1364836    0    0     0   387 7122 8634  1  2 96  1  0
 3  0      0 13683964   1068 1364868    0    0     0   301 7605 9457  2  2 96  0  0
 0  0      0 13682812   1068 1364892    0    0     0   329 7924 9430  2  3 94  1  0
 0  0      0 13682332   1068 1364892    0    0     0   306 7869 9385  2  3 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 13682652   1068 1364896    0    0     0   301 7274 8688  1  2 96  1  0
 0  0      0 13682812   1068 1364896    0    0     0   565 7199 8445  1  2 96  0  0
 0  0      0 13682492   1068 1364896    0    0     0   310 7597 9211  2  2 96  1  0
 0  0      0 13682908   1068 1364896    0    0     0   301 7092 8640  2  2 96  0  0
 0  0      0 13683164   1068 1364896    0    0     0   307 7580 9354  1  2 96  0  0
 0  0      0 13682940   1068 1364896    0    0     0   301 7530 9381  2  2 96  1  0
 0  0      0 13683068   1068 1364896    0    0     0   345 6971 8528  1  2 96  0  0
 0  0      0 13682748   1068 1364896    0    0     0   312 7231 9053  2  2 96  1  0
 0  0      0 13682396   1068 1364900    0    0     0   304 6709 8002  1  2 96  0  0
 0  0      0 13682364   1068 1364904    0    0     0   315 7881 9589  2  2 96  1  0
 1  0      0 13682300   1068 1364904    0    0     0   781 6955 8719  1  2 97  0  0
 0  0      0 13682524   1068 1364904    0    0     0   355 7151 8592  2  2 96  0  0
 0  0      0 13683132   1068 1364908    0    0     0   303 7274 9018  1  2 96  0  0
 0  0      0 13683132   1068 1364920    0    0     0   295 7214 8758  1  2 97  0  0
 0  0      0 13682844   1068 1364920    0    0     0   299 7497 9198  1  2 96  1  0
 0  0      0 13683068   1068 1364928    0    0     0   317 6919 8588  1  2 96  0  0
 1  0      0 13682684   1068 1364928    0    0     0   355 6928 8707  1  2 97  0  0
 0  0      0 13682588   1068 1364928    0    0     0   298 5256 6751  1  2 97  0  0
 2  0      0 13682300   1068 1364928    0    0     0   322 5775 7256  1  2 96  1  0
 0  0      0 13682428   1068 1364928    0    0     0   290 6887 8482  1  2 96  0  0
 0  0      0 13682684   1068 1364928    0    0     0   305 7586 9232  2  2 96  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
