procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12742512   3132 3130660    0    0     8   213  193   99  2  2 95  1  0
 0  0      0 12744844   3132 3130672    0    0     0     0 1972 2886  1  1 98  0  0
 0  0      0 12741900   3132 3130676    0    0     0     0 1481 2301  0  1 99  0  0
 0  0      0 12741900   3132 3130676    0    0     0     0 1253 1950  1  1 99  0  0
 0  0      0 12742028   3132 3130680    0    0     0     0 1150 1790  0  1 99  0  0
 0  0      0 12742092   3132 3130680    0    0     0     0 1170 1888  0  1 99  0  0
 0  0      0 12742284   3132 3130684    0    0     0     0 1581 2233  1  1 99  0  0
 0  0      0 12739496   3132 3130684    0    0     0     0 1321 1898  1  1 99  0  0
 0  0      0 12739624   3132 3130688    0    0     0     0 1211 1904  0  1 99  0  0
 0  0      0 12739720   3132 3130688    0    0     0     0 1180 1829  0  1 99  0  0
 0  0      0 12739752   3132 3130692    0    0     0     0 1226 1959  0  1 99  0  0
 0  0      0 12739912   3132 3130696    0    0     0    16 1724 2557  1  1 99  0  0
 0  0      0 12740072   3132 3130700    0    0     0     0 1513 2315  1  1 99  0  0
 0  0      0 12740136   3132 3130700    0    0     0     0 1361 2046  1  1 99  0  0
 0  0      0 12740264   3132 3130704    0    0     0     0 1257 1969  0  1 99  0  0
 0  0      0 12740296   3132 3130704    0    0     0     0 1225 1932  0  1 99  0  0
 0  0      0 12740488   3132 3130712    0    0     0     0 1692 2530  1  1 98  0  0
 1  0      0 12740584   3132 3130712    0    0     0     0 1290 1984  0  0 99  0  0
 1  0      0 12740712   3132 3130716    0    0     0    24 1267 1980  0  1 99  0  0
 0  0      0 12740776   3132 3130716    0    0     0     0 1402 2307  1  0 99  0  0
 0  0      0 12740872   3132 3130716    0    0     0     0 1216 1950  0  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12741064   3132 3130720    0    0     0     0 1645 2486  0  1 99  0  0
 0  0      0 12741128   3132 3130720    0    0     0     0 1442 2249  0  1 99  0  0
 0  0      0 12741224   3132 3130728    0    0     0     0 1322 2032  1  1 99  0  0
 0  0      0 12741320   3132 3130728    0    0     0     0 1151 1825  0  1 99  0  0
 0  0      0 12741384   3132 3130728    0    0     0     0 1218 1972  1  1 99  0  0
 0  0      0 12741576   3132 3130732    0    0     0     0 1682 2491  1  1 99  0  0
 0  0      0 12741704   3132 3130736    0    0     0     0 1274 1927  0  1 99  0  0
 0  0      0 12741768   3132 3130736    0    0     0    80 1248 1942  0  1 99  0  0
 0  0      0 12741832   3132 3130736    0    0     0     0 1449 2299  0  1 99  0  0
 0  0      0 12741928   3132 3130740    0    0     0     0 1240 1993  0  0 99  0  0
 0  0      0 12742056   3132 3130744    0    0     0     0 1735 2576  1  1 98  0  0
 0  0      0 12742216   3132 3130748    0    0     0     0 1568 2428  0  1 99  0  0
 0  0      0 12742312   3132 3130752    0    0     0    32 1343 2010  1  1 99  0  0
 0  0      0 12742408   3132 3130752    0    0     0     0 1202 1892  0  1 99  0  0
 0  0      0 12742536   3132 3130752    0    0     0     0 1307 2118  0  1 99  0  0
 0  0      0 12742632   3132 3130752    0    0     0     0 1594 2342  1  1 99  0  0
 0  0      0 12742728   3132 3130756    0    0     0     0 1349 2065  1  1 99  0  0
 0  0      0 12742856   3132 3130760    0    0     0     0 1264 1934  0  0 99  0  0
 0  0      0 12742920   3132 3130760    0    0     0     0 1352 2172  1  1 99  0  0
 0  0      0 12743016   3132 3130764    0    0     0     0 1324 2175  0  0 99  0  0
 0  0      0 12743176   3132 3130764    0    0     0     0 1588 2321  1  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12743304   3132 3130772    0    0     0    46 1458 2310  0  1 99  0  0
 0  0      0 12743400   3132 3130772    0    0     0     0 1292 1993  1  0 99  0  0
 0  0      0 12743496   3132 3130772    0    0     0     0 1120 1772  0  1 99  0  0
 0  0      0 12743528   3132 3130776    0    0     0     0 1746 2681  1  1 98  0  0
 0  0      0 12743784   3132 3130784    0    0     0     0 1573 2284  1  1 99  0  0
 0  0      0 12743880   3132 3130784    0    0     0     0 1387 2034  1  1 99  0  0
 0  0      0 12744008   3132 3130788    0    0     0     0 1222 1904  0  1 99  0  0
 0  0      0 12744104   3132 3130792    0    0     0     0 1166 1815  1  1 99  0  0
 0  0      0 12744136   3132 3130792    0    0     0     0 1278 2102  0  1 99  0  0
 0  0      0 12744076   3132 3130792    0    0     0     0 1546 2304  1  1 99  0  0
 0  0      0 12744204   3132 3130800    0    0     0     0 1589 2386  1  1 99  0  0
 0  0      0 12744268   3132 3130800    0    0     0     0 1352 2017  0  1 99  0  0
 0  0      0 12744364   3132 3130800    0    0     0    20 1278 1986  0  1 99  0  0
 0  0      0 12744428   3132 3130800    0    0     0     0 1284 2075  0  1 99  0  0
 0  0      0 12744620   3132 3130804    0    0     0     0 1682 2555  1  1 99  0  0
 0  0      0 12744716   3132 3130804    0    0     0     0 1294 1926  1  1 99  0  0
 0  0      0 12744844   3132 3130808    0    0     0     0 1234 1892  1  1 99  0  0
 0  0      0 12744876   3132 3130812    0    0     0    72 1202 1853  0  1 99  0  0
 1  0      0 12745192   3132 3130812    0    0     0     0 1232 1950  1  1 99  0  0
 0  0      0 12745164   3132 3130820    0    0     0     7 2515 3300  2  3 96  0  0
 1  0      0 12745324   3132 3130824    0    0     0     0 1437 2156  1  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12745388   3132 3130828    0    0     0     0 1282 2001  1  1 99  0  0
 0  0      0 12745484   3132 3130828    0    0     0     0 1215 1945  0  1 99  0  0
 0  0      0 12745580   3132 3130828    0    0     0     0 1269 2080  0  1 99  0  0
 0  0      0 12745708   3132 3130836    0    0     0     0 1512 2247  1  1 99  0  0
 0  0      0 12745868   3132 3130840    0    0     0     0 1470 2117  1  1 99  0  0
 0  0      0 12745964   3132 3130840    0    0     0     0 1256 1937  1  1 99  0  0
 0  0      0 12746028   3132 3130844    0    0     0     0 1186 1853  0  1 99  0  0
 0  0      0 12746124   3132 3130844    0    0     0     0 1212 1927  0  1 99  0  0
 0  0      0 12746284   3132 3130852    0    0     0     0 1445 2143  1  1 99  0  0
 0  0      0 12746380   3132 3130852    0    0     0    16 1601 2434  1  1 99  0  0
 0  0      0 12746192   3132 3130856    0    0     0     0 1521 2155  1  1 98  0  0
 0  0      0 12746320   3132 3130856    0    0     0     0 1498 2157  0  1 99  0  0
 0  0      0 12746384   3132 3130860    0    0     0     0 1414 2267  1  1 99  0  0
 0  0      0 12746576   3132 3130860    0    0     0     0 1638 2516  1  1 99  0  0
 0  0      0 12746800   3132 3130860    0    0     0     0 1460 2192  0  1 99  0  0
 0  0      0 12746896   3132 3130868    0    0     0     0 1277 1959  0  1 99  0  0
 0  0      0 12746992   3132 3130868    0    0     0     0 1263 1989  1  1 99  0  0
 0  0      0 12747120   3132 3130868    0    0     0     0 1306 2016  1  1 98  0  0
 0  0      0 12747184   3132 3130872    0    0     0     0 1464 2191  1  1 98  0  0
 0  0      0 12747344   3132 3130880    0    0     0     0 1646 2503  1  1 98  0  0
 0  0      0 12747440   3132 3130880    0    0     0     0 1408 2199  1  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12747536   3132 3130884    0    0     0     0 1305 2121  0  1 99  0  0
 0  0      0 12747632   3132 3130884    0    0     0     0 1330 2160  1  0 99  0  0
 0  0      0 12747760   3132 3130884    0    0     0     0 1354 2125  0  1 99  0  0
 0  0      0 12744784   3132 3130884    0    0     0     0 1369 2012  1  1 99  0  0
 0  0      0 12744848   3132 3130892    0    0     0     0 1247 1909  1  1 99  0  0
 0  0      0 12744976   3132 3130892    0    0     0     0 1277 2049  1  1 99  0  0
 0  0      0 12745072   3132 3130892    0    0     0    88 1301 2062  0  0 99  0  0
 0  0      0 12745200   3132 3130896    0    0     0     0 1275 1927  1  1 99  0  0
 0  0      0 12745328   3132 3130900    0    0     0     0 1680 2517  1  1 99  0  0
 1  0      0 12745424   3132 3130900    0    0     0     0 1376 2029  1  1 99  0  0
 0  0      0 12742384   3132 3130904    0    0     0     0 1226 1953  1  1 99  0  0
 0  0      0 12742480   3132 3130904    0    0     0    24 1445 2356  0  1 99  0  0
 0  0      0 12742608   3132 3130908    0    0     0     0 1336 2050  1  1 99  0  0
 0  0      0 12742704   3132 3130912    0    0     0     0 1439 2081  1  1 99  0  0
 0  0      0 12742832   3132 3130916    0    0     0     0 1305 1958  0  1 99  0  0
 0  0      0 12742708   3132 3130916    0    0     0     0 1197 1838  0  1 99  0  0
 0  0      0 12742772   3132 3130916    0    0     0     0 1296 2036  1  1 99  0  0
 0  0      0 12742900   3132 3130920    0    0     0     0 1469 2299  0  1 99  0  0
 0  0      0 12742996   3132 3130928    0    0     0    46 1526 2281  1  1 99  0  0
 0  0      0 12743188   3132 3130932    0    0     0     0 1323 1959  1  1 99  0  0
 0  0      0 12743252   3132 3130932    0    0     0     0 1258 1993  0  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12743380   3132 3130932    0    0     0     0 1760 2733  1  1 98  0  0
 0  0      0 12743476   3132 3130932    0    0     0     0 1254 1918  1  1 99  0  0
 3  0      0 12743636   3132 3130940    0    0     0     0 1572 2309  1  0 99  0  0
 0  0      0 12743764   3132 3130940    0    0     0     0 1264 1888  1  1 99  0  0
 0  0      0 12743860   3132 3130940    0    0     0     0 1208 1859  0  1 99  0  0
 0  0      0 12743924   3132 3130944    0    0     0     0 1283 2027  1  1 99  0  0
 0  0      0 12744020   3132 3130944    0    0     0     0 1362 2207  1  1 99  0  0
 0  0      0 12744180   3132 3130948    0    0     0     0 1851 2728  1  1 98  0  0
