Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-3) 	西元2026年06月23日 	_x86_64_	(4 CPU)

00時20分04秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00時20分05秒  all    1.01    0.00    0.76    0.00    0.25    0.50    0.00    0.00    0.00   97.48
00時20分06秒  all    1.00    0.00    1.25    0.00    0.25    0.50    0.00    0.00    0.00   97.01
00時20分07秒  all    1.27    0.00    1.52    2.03    0.51    0.00    0.00    0.00    0.00   94.67
00時20分08秒  all    4.83    0.00    5.60    7.12    0.51    1.02    0.00    0.00    0.00   80.92
00時20分09秒  all   11.11    0.00    9.09   17.68    1.52    2.02    0.00    0.00    0.00   58.59
00時20分10秒  all   11.84    0.00   11.59   19.90    1.51    2.02    0.00    0.00    0.00   53.15
00時20分11秒  all   11.31    0.00   11.31   21.59    1.54    2.31    0.00    0.00    0.00   51.93
00時20分12秒  all   12.79    0.00   11.51   21.23    2.05    2.30    0.00    0.00    0.00   50.13
00時20分13秒  all   12.66    0.00   12.40   22.48    1.55    2.07    0.00    0.00    0.00   48.84
00時20分14秒  all   11.99    0.00   11.48   21.43    1.79    2.55    0.00    0.00    0.00   50.77
00時20分15秒  all   13.37    0.00   12.08   21.85    1.54    2.31    0.00    0.00    0.00   48.84
00時20分16秒  all   11.00    0.00   10.74   21.99    1.53    2.30    0.00    0.00    0.00   52.43
00時20分17秒  all   11.76    0.00   10.74   21.23    1.53    1.79    0.00    0.00    0.00   52.94
00時20分18秒  all   12.14    0.00   10.08   20.41    1.55    2.07    0.00    0.00    0.00   53.75
00時20分19秒  all   11.78    0.00   11.53   19.80    1.50    2.01    0.00    0.00    0.00   53.38
00時20分20秒  all   13.23    0.00   11.96   21.37    1.78    2.54    0.00    0.00    0.00   49.11
00時20分21秒  all   12.21    0.00   11.45   20.61    2.04    2.04    0.00    0.00    0.00   51.65
00時20分22秒  all   12.85    0.00   10.54   20.57    1.54    2.31    0.00    0.00    0.00   52.19
00時20分23秒  all   12.24    0.00   10.71   19.90    1.53    2.04    0.00    0.00    0.00   53.57
00時20分24秒  all   12.21    0.00   10.43   20.36    1.53    2.04    0.00    0.00    0.00   53.44
00時20分25秒  all   11.05    0.00   10.80   19.54    1.54    2.06    0.00    0.00    0.00   55.01
00時20分26秒  all   11.93    0.00   10.66   21.07    1.52    2.28    0.00    0.00    0.00   52.54
00時20分27秒  all   22.73    0.00   10.86   18.69    1.52    1.77    0.00    0.00    0.00   44.44
00時20分28秒  all   11.48    0.00    9.18   19.64    1.53    2.04    0.00    0.00    0.00   56.12
00時20分29秒  all   10.86    0.00   10.10   20.20    1.52    1.52    0.00    0.00    0.00   55.81
00時20分30秒  all    9.74    0.00    9.49   21.03    1.03    1.79    0.00    0.00    0.00   56.92
00時20分31秒  all   10.26    0.00   10.77   20.77    1.79    1.79    0.00    0.00    0.00   54.62
00時20分32秒  all   11.39    0.00    8.86   20.25    1.52    2.28    0.00    0.00    0.00   55.70
00時20分33秒  all   10.97    0.00   10.71   20.15    1.53    1.79    0.00    0.00    0.00   54.85
00時20分34秒  all   10.71    0.00    9.95   20.66    1.53    2.04    0.00    0.00    0.00   55.10
00時20分35秒  all   11.68    0.00    9.90   20.81    1.52    2.28    0.00    0.00    0.00   53.81
00時20分36秒  all    9.56    0.00    8.79   20.41    1.29    1.55    0.00    0.00    0.00   58.40
