2026/06/21 06:08:05 maxprocs: Leaving GOMAXPROCS=4: CPU quota undefined
[Current] DELIVERY - Takes(s): 9.0, Count: 21, TPM: 139.3, Sum(ms): 11537.9, Avg(ms): 548.9, 50th(ms): 469.8, 90th(ms): 704.6, 95th(ms): 872.4, 99th(ms): 1275.1, 99.9th(ms): 1275.1, Max(ms): 1275.1
[Current] NEW_ORDER - Takes(s): 9.7, Count: 242, TPM: 1493.4, Sum(ms): 82235.1, Avg(ms): 339.6, 50th(ms): 318.8, 90th(ms): 503.3, 95th(ms): 637.5, 99th(ms): 872.4, 99.9th(ms): 1040.2, Max(ms): 1040.2
[Current] ORDER_STATUS - Takes(s): 9.8, Count: 18, TPM: 109.8, Sum(ms): 1354.0, Avg(ms): 75.5, 50th(ms): 83.9, 90th(ms): 83.9, 95th(ms): 83.9, 99th(ms): 83.9, 99.9th(ms): 83.9, Max(ms): 83.9
[Current] PAYMENT - Takes(s): 9.8, Count: 253, TPM: 1552.1, Sum(ms): 59204.0, Avg(ms): 233.8, 50th(ms): 209.7, 90th(ms): 402.7, 95th(ms): 486.5, 99th(ms): 604.0, 99.9th(ms): 805.3, Max(ms): 805.3
[Current] STOCK_LEVEL - Takes(s): 9.6, Count: 20, TPM: 124.5, Sum(ms): 1077.0, Avg(ms): 54.0, 50th(ms): 54.5, 90th(ms): 56.6, 95th(ms): 56.6, 99th(ms): 56.6, 99.9th(ms): 56.6, Max(ms): 56.6
[Current] DELIVERY - Takes(s): 10.0, Count: 30, TPM: 180.6, Sum(ms): 16414.6, Avg(ms): 547.8, 50th(ms): 469.8, 90th(ms): 805.3, 95th(ms): 1040.2, 99th(ms): 1040.2, 99.9th(ms): 1040.2, Max(ms): 1040.2
[Current] NEW_ORDER - Takes(s): 10.0, Count: 274, TPM: 1645.6, Sum(ms): 86531.6, Avg(ms): 314.7, 50th(ms): 302.0, 90th(ms): 453.0, 95th(ms): 536.9, 99th(ms): 671.1, 99.9th(ms): 771.8, Max(ms): 771.8
[Current] ORDER_STATUS - Takes(s): 9.8, Count: 13, TPM: 79.8, Sum(ms): 933.0, Avg(ms): 72.0, 50th(ms): 67.1, 90th(ms): 83.9, 95th(ms): 83.9, 99th(ms): 83.9, 99.9th(ms): 83.9, Max(ms): 83.9
[Current] PAYMENT - Takes(s): 9.9, Count: 251, TPM: 1514.8, Sum(ms): 56269.2, Avg(ms): 224.1, 50th(ms): 201.3, 90th(ms): 352.3, 95th(ms): 402.7, 99th(ms): 520.1, 99.9th(ms): 872.4, Max(ms): 872.4
[Current] STOCK_LEVEL - Takes(s): 8.7, Count: 23, TPM: 158.6, Sum(ms): 1238.3, Avg(ms): 53.8, 50th(ms): 54.5, 90th(ms): 56.6, 95th(ms): 58.7, 99th(ms): 62.9, 99.9th(ms): 62.9, Max(ms): 62.9
[Current] DELIVERY - Takes(s): 9.8, Count: 20, TPM: 122.3, Sum(ms): 10113.9, Avg(ms): 507.1, 50th(ms): 486.5, 90th(ms): 604.0, 95th(ms): 704.6, 99th(ms): 838.9, 99.9th(ms): 838.9, Max(ms): 838.9
[Current] NEW_ORDER - Takes(s): 10.0, Count: 263, TPM: 1585.4, Sum(ms): 85048.1, Avg(ms): 323.4, 50th(ms): 302.0, 90th(ms): 486.5, 95th(ms): 604.0, 99th(ms): 771.8, 99.9th(ms): 872.4, Max(ms): 872.4
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 27, TPM: 163.1, Sum(ms): 2022.5, Avg(ms): 74.7, 50th(ms): 79.7, 90th(ms): 83.9, 95th(ms): 88.1, 99th(ms): 88.1, 99.9th(ms): 88.1, Max(ms): 88.1
[Current] PAYMENT - Takes(s): 9.9, Count: 228, TPM: 1376.5, Sum(ms): 58964.5, Avg(ms): 258.5, 50th(ms): 218.1, 90th(ms): 436.2, 95th(ms): 503.3, 99th(ms): 671.1, 99.9th(ms): 1006.6, Max(ms): 1006.6
[Current] STOCK_LEVEL - Takes(s): 9.8, Count: 33, TPM: 202.8, Sum(ms): 1826.8, Avg(ms): 55.3, 50th(ms): 54.5, 90th(ms): 58.7, 95th(ms): 58.7, 99th(ms): 92.3, 99.9th(ms): 92.3, Max(ms): 92.3
