procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  1      0 10118640   1056 1649968    0    0   144   254  153  590  3  1 95  0  0
 8  1      0 10107848   1056 1655888    0    0   784  9296 43449 72858 54 15 28  3  0
 3  1      0 10095880   1056 1662120    0    0   388  9547 44036 77304 55 15 27  3  0
 3  0      0 10085948   1056 1667732    0    0   256 12887 47265 75977 52 16 29  3  0
 3  0      0 10084028   1056 1672724    0    0   184  8156 49416 70475 51 16 30  3  0
 5  0      0 10092408   1056 1678320    0    0   172  9437 49047 74232 51 16 30  3  0
 2  0      0 10087088   1056 1683656    0    0   172  8894 47901 71087 52 15 30  3  0
 4  1      0 10080812   1056 1689164    0    0   116 10087 43536 77158 49 15 32  3  0
 6  1      0 10076120   1056 1694412    0    0   116  8794 42367 75237 53 15 29  3  0
 3  0      0 10071184   1056 1699868    0    0   180  9929 43312 80194 52 15 30  3  0
 6  0      0 10063304   1056 1705232    0    0   128  8916 43088 77808 52 15 30  3  0
 9  1      0 10056428   1056 1710952    0    0   180  9785 45258 81036 51 16 31  3  0
 8  0      0 10036208   1056 1716632    0    0   112  9098 42669 79034 53 15 28  3  0
 0  0      0 10025228   1056 1721728    0    0   140  9549 41807 76657 50 15 32  3  0
15  0      0 10012212   1056 1727440    0    0   176  9212 42456 77200 52 16 29  3  0
 5  0      0 10002516   1056 1733112    0    0   152  9778 43317 78165 53 14 30  3  0
 1  0      0 9993456   1056 1738096    0    0    68  8754 42676 79618 49 16 32  3  0
10  0      0 9980736   1056 1742988    0    0   100 11307 40916 74735 52 14 31  3  0
12  1      0 9973976   1056 1748392    0    0    88  9225 45632 81455 51 15 30  3  0
 6  0      0 9965816   1056 1754296    0    0   152 10325 46595 83804 51 17 30  3  0
13  0      0 9959744   1056 1759688    0    0   128  9372 40370 75321 53 14 30  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 9953700   1056 1765740    0    0   216  9729 44241 80811 54 15 29  3  0
 6  0      0 9943628   1056 1770844    0    0   116  9356 42194 78695 53 15 29  3  0
 2  0      0 9938608   1056 1776268    0    0   232  9334 43755 79809 50 14 32  3  0
 7  0      0 9930248   1056 1781124    0    0   124  7956 43553 77122 51 14 32  3  0
 2  1      0 9920752   1056 1786748    0    0   164 10151 42681 78778 52 16 28  3  0
12  0      0 9909868   1056 1792328    0    0   168  8964 40881 74675 53 14 31  3  0
 7  0      0 9899172   1056 1798080    0    0   104  9971 44359 82086 53 16 28  3  0
12  0      0 9889208   1056 1803632    0    0   140  9104 43286 79822 53 16 29  3  0
 5  0      0 9869716   1056 1809504    0    0   120 10481 41051 74509 53 16 28  3  0
10  0      0 9855856   1056 1815800    0    0   176  9985 44911 83088 53 15 29  3  0
 9  0      0 9841164   1056 1821368    0    0   108 11426 41646 76089 55 16 27  3  0
11  0      0 9835472   1056 1826568    0    0   148  9647 46649 86387 50 15 31  3  0
 7  1      0 9805052   1056 1831632    0    0   152  9442 43695 80335 50 15 32  3  0
 7  1      0 9799584   1056 1837192    0    0   100  9037 41243 77482 50 16 31  3  0
12  0      0 9794888   1056 1842768    0    0    88 10015 45858 83166 52 16 30  3  0
11  0      0 9789868   1056 1847668    0    0    68  8696 46512 85268 51 15 31  3  0
 3  0      0 9784536   1056 1853280    0    0    60 10586 44916 84436 51 15 31  4  0
10  0      0 9776836   1056 1858332    0    0   112  8621 42374 78781 51 14 32  3  0
 6  1      0 9763600   1056 1864240    0    0   116 10475 43555 79196 51 16 30  3  0
 5  0      0 9752876   1056 1870176    0    0    72  9337 42996 79006 54 15 28  3  0
 7  0      0 9744048   1056 1875640    0    0   132 10234 45124 82697 52 16 29  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 9728768   1056 1881364    0    0   156  9444 45033 84215 53 16 28  3  0
13  1      0 9718356   1056 1887212    0    0   136 10091 42635 77946 54 15 29  3  0
 6  0      0 9702340   1056 1892508    0    0    76 10778 41314 75646 53 15 29  3  0
 8  0      0 9696228   1056 1898592    0    0   152 10300 42412 78442 53 16 29  3  0
 4  0      0 9690936   1056 1904072    0    0   160  9029 45368 83221 50 15 31  3  0
13  1      0 9662552   1056 1909224    0    0   100 10075 43644 78754 52 14 31  3  0
11  1      0 9656464   1056 1914840    0    0   128  8983 44914 80162 51 15 31  3  0
 4  1      0 9650116   1056 1920568    0    0   160 10631 45769 83667 53 15 30  3  0
12  0      0 9644348   1056 1926104    0    0   160  8732 43942 79679 51 15 31  3  0
 6  0      0 9636624   1056 1931484    0    0    84 10097 43982 81843 51 16 30  3  0
 7  0      0 9626492   1056 1937000    0    0    68  8812 41677 77862 53 15 30  3  0
 3  0      0 9616968   1056 1942300    0    0    52 10272 45335 85600 49 15 33  3  0
 3  0      0 9607356   1056 1948016    0    0    88  9186 42302 76703 52 14 30  3  0
15  0      0 9598080   1056 1953376    0    0   148  9796 40095 74934 53 15 29  3  0
 4  1      0 9585828   1056 1959224    0    0   124  9270 42870 78438 51 15 31  3  0
 5  1      0 9573552   1056 1964276    0    0   108 11701 42587 78495 53 14 29  3  0
 7  0      0 9565820   1056 1969484    0    0   168  8192 42968 78276 53 15 30  3  0
12  1      0 9561232   1056 1974416    0    0   112  9851 41842 74566 52 15 31  3  0
 6  1      0 9546868   1056 1979452    0    0    84  7930 40827 71147 50 14 32  3  0
12  0      0 9544120   1056 1984172    0    0    76  9426 40751 68432 51 16 30  3  0
 3  0      0 9539252   1056 1989732    0    0   124  8822 45752 79850 51 15 31  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  1      0 9533152   1056 1995648    0    0    84 10670 43562 78135 53 15 29  3  0
11  0      0 9526484   1056 2000916    0    0   124  8807 40630 75829 51 14 32  3  0
