procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 13590704   1064 1215460    0    0    21   220  211   57  2  1 97  0  0
 0  0      0 13592392   1064 1215724    0    0     0  4000 15921 23718  4  5 88  4  0
 0  0      0 13592040   1064 1215724    0    0     0   665 5873 8693  1  2 96  1  0
 0  0      0 13592200   1064 1215724    0    0     0   396 4510 6865  1  1 97  1  0
 0  0      0 13591912   1064 1215724    0    0     0   603 4590 6855  1  2 97  1  0
 0  0      0 13591736   1064 1215728    0    0     0   977 6056 8521  1  3 95  1  0
 0  0      0 13591560   1064 1215728    0    0     0   586 4692 7047  2  2 96  1  0
 0  0      0 13591656   1064 1215732    0    0     0   640 5121 7549  1  2 96  1  0
 0  0      0 13591416   1064 1215732    0    0     0   386 4192 6390  1  2 97  1  0
 0  0      0 13591256   1064 1215732    0    0     0   585 4559 6772  1  2 96  1  0
 0  0      0 13591192   1064 1215716    0    0     0   949 5884 8295  1  3 96  1  0
 0  0      0 13591256   1064 1215716    0    0     0   614 4779 7048  1  2 96  1  0
 0  0      0 13591096   1064 1215724    0    0     0   597 5250 7660  2  2 96  1  0
 0  0      0 13591128   1064 1215724    0    0     0   340 4118 6136  1  2 97  0  0
 0  0      0 13590968   1064 1215724    0    0     0   561 4549 6708  1  2 96  1  0
 0  0      0 13589180   1064 1216512    0    0     0  5127 14209 20358  3  5 90  2  0
 0  0      0 13589116   1064 1216548    0    0     0   569 5306 8036  1  2 96  1  0
 0  0      0 13589180   1064 1216556    0    0     0   596 5079 7268  1  2 96  1  0
 0  0      0 13588924   1064 1216556    0    0     0   376 4068 6181  1  1 97  1  0
 0  0      0 13588924   1064 1216556    0    0     0   578 4517 6704  1  2 97  1  0
 0  0      0 13588828   1064 1216560    0    0     0   928 6093 8295  1  2 96  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 13588540   1064 1216560    0    0     0   552 4826 6921  1  2 97  1  0
 0  0      0 13588412   1064 1216564    0    0     0  1135 4920 7027  1  2 96  1  0
 0  0      0 13588284   1064 1216564    0    0     0   363 3789 5721  1  2 97  0  0
 0  0      0 13588284   1064 1216564    0    0     0   565 4509 6471  1  1 97  1  0
 1  0      0 13588380   1064 1216568    0    0     0   933 6228 8356  1  2 96  1  0
 0  0      0 13588636   1064 1216568    0    0     0   523 4359 6394  1  2 97  1  0
 1  0      0 13588060   1064 1216572    0    0     0   587 4943 7259  1  2 97  1  0
 0  0      0 13587968   1064 1216572    0    0     0   329 4039 5964  1  2 97  0  0
 0  0      0 13587492   1064 1216572    0    0     0   566 4527 6476  1  2 96  1  0
