Linux 4.18.0-553.124.1.el8_10.x86_64 (l-test-poc-3) 	西元2026年07月03日 	_x86_64_	(4 CPU)

14時43分55秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14時43分56秒  all    4.00    0.00    1.00    0.00    0.25    0.50    0.00    0.00    0.00   94.25
14時43分57秒  all    2.77    0.00    1.01    0.00    0.25    0.00    0.00    0.00    0.00   95.97
14時43分58秒  all    4.50    0.00    1.00    0.00    0.50    0.25    0.00    0.00    0.00   93.75
14時43分59秒  all    3.77    0.00    1.26    0.00    0.00    0.50    0.00    0.00    0.00   94.47
14時44分00秒  all    3.77    0.00    0.75    0.00    0.25    0.25    0.00    0.00    0.00   94.97
14時44分01秒  all    3.75    0.00    0.75    0.00    0.50    0.25    0.00    0.00    0.00   94.75
14時44分02秒  all    4.74    0.00    0.75    0.00    0.25    0.50    0.00    0.00    0.00   93.77
14時44分03秒  all    3.53    0.00    1.26    0.00    0.00    0.25    0.00    0.00    0.00   94.96
14時44分04秒  all    3.74    0.00    1.25    0.00    0.75    0.25    0.00    0.00    0.00   94.01
14時44分05秒  all    3.04    0.00    0.51    0.00    0.25    0.00    0.00    0.00    0.00   96.20
14時44分06秒  all    3.52    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   95.48
14時44分07秒  all    4.00    0.00    1.00    0.00    0.00    0.75    0.00    0.00    0.00   94.25
14時44分08秒  all    3.26    0.00    0.50    0.00    1.00    0.00    0.00    0.00    0.00   95.24
14時44分09秒  all    3.55    0.00    1.27    0.00    0.00    0.51    0.00    0.00    0.00   94.67
14時44分10秒  all    3.76    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   95.49
14時44分11秒  all    3.47    0.00    1.49    0.00    0.74    0.25    0.00    0.00    0.00   94.06
14時44分12秒  all    3.78    0.00    0.25    0.00    0.25    0.50    0.00    0.00    0.00   95.21
14時44分13秒  all    3.27    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   95.97
14時44分14秒  all    3.52    0.00    1.01    0.00    0.25    0.25    0.00    0.00    0.00   94.97
14時44分15秒  all    3.24    0.00    0.75    0.00    0.50    0.50    0.00    0.00    0.00   95.01
14時44分16秒  all    3.98    0.00    0.50    0.00    0.25    0.00    0.00    0.00    0.00   95.27
14時44分17秒  all    3.54    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.45
14時44分18秒  all    3.52    0.00    0.75    0.00    0.25    0.50    0.00    0.00    0.00   94.97
