ts_ns,query_type,latency_ms
1783061035223419140,select,10.173
1783061035239120712,update,18.804
1783061035363207102,select,8.192
1783061035375489582,update,10.255
1783061035491603275,select,7.540
1783061035502209499,update,7.487
1783061035614659989,select,7.237
1783061035624696320,update,8.205
1783061035738007517,select,7.837
1783061035749217163,update,9.391
1783061035863408485,select,7.721
1783061035874889228,update,9.997
1783061035990381640,select,8.202
1783061036002584396,update,8.136
1783061036115040879,select,8.155
1783061036126856742,update,8.260
1783061036240307530,select,8.290
1783061036251729558,update,8.582
1783061036365248929,select,8.509
1783061036377000736,update,8.820
1783061036490488808,select,7.225
1783061036500649449,update,8.229
1783061036614294457,select,9.426
1783061036626847790,update,8.411
1783061036740310428,select,8.503
1783061036752028046,update,8.045
1783061036865331117,select,7.743
1783061036876511957,update,8.952
1783061036989745726,select,8.099
1783061037000922081,update,10.355
1783061037115424161,select,7.969
1783061037127912208,update,8.784
1783061037241971549,select,9.819
1783061037254897028,update,8.871
1783061037368288427,select,8.169
1783061037380314762,update,8.344
1783061037493322766,select,7.420
1783061037504587351,update,8.199
1783061037617217839,select,8.589
1783061037629039617,update,7.705
1783061037741930194,select,7.420
1783061037753909477,update,8.871
1783061037867887900,select,7.220
1783061037878211028,update,8.478
1783061037991502088,select,7.443
1783061038002242761,update,10.183
1783061038117559456,select,7.420
1783061038128008049,update,7.737
1783061038240408084,select,7.521
1783061038251135540,update,7.926
1783061038364094404,select,8.045
1783061038375626849,update,8.539
1783061038488803626,select,7.922
1783061038500233002,update,8.072
1783061038613567663,select,7.523
1783061038624531846,update,8.771
1783061038737566123,select,6.941
1783061038747648834,update,8.256
1783061038860139345,select,7.454
1783061038871443626,update,9.929
1783061038986974227,select,8.682
1783061038998962423,update,8.858
1783061039113345523,select,7.318
1783061039123720634,update,7.685
1783061039236183132,select,8.456
1783061039248365661,update,8.984
1783061039362294524,select,8.026
1783061039374015268,update,8.973
1783061039487336726,select,7.696
1783061039498699065,update,8.957
1783061039612410744,select,8.042
1783061039624069301,update,8.673
1783061039737458128,select,7.815
1783061039748437285,update,8.927
1783061039862202517,select,7.457
1783061039872986404,update,8.401
1783061039987031176,select,10.837
1783061040002411406,update,9.186
1783061040116844012,select,8.026
1783061040127902222,update,9.978
1783061040244153889,select,7.651
1783061040256459409,update,8.074
1783061040369035678,select,7.859
1783061040379933279,update,7.905
1783061040492441610,select,8.136
1783061040505008697,update,10.526
1783061040621402356,select,8.043
1783061040633719404,update,9.053
1783061040747699296,select,7.012
1783061040758359276,update,8.783
1783061040871699832,select,7.474
1783061040883796841,update,8.065
1783061040996225131,select,7.634
1783061041008871503,update,9.827
1783061041123229066,select,7.771
1783061041134055485,update,8.597
1783061041247467895,select,7.478
1783061041258031745,update,8.687
1783061041371344257,select,7.766
1783061041383608627,update,8.853
1783061041497652440,select,8.281
1783061041510118952,update,8.796
1783061041625393400,select,8.683
1783061041637044828,update,8.824
1783061041750431414,select,8.464
1783061041762961126,update,8.277
1783061041876361634,select,9.295
1783061041888810333,update,7.864
1783061042002333623,select,9.292
1783061042015208490,update,9.044
1783061042128437682,select,7.349
1783061042138803404,update,8.837
1783061042253396180,select,7.326
1783061042264192956,update,8.209
1783061042378800479,select,8.770
1783061042391569145,update,9.056
1783061042505059555,select,7.468
1783061042515359432,update,8.372
1783061042628090733,select,8.708
1783061042639778334,update,8.498
1783061042753809992,select,8.018
1783061042765077804,update,8.822
1783061042879026481,select,6.997
1783061042890314717,update,8.400
1783061043003990617,select,8.717
1783061043016084595,update,9.142
1783061043130666003,select,7.597
1783061043141733767,update,8.599
1783061043255268747,select,8.624
1783061043266870412,update,8.803
1783061043380479319,select,8.847
1783061043392549049,update,9.826
1783061043507652679,select,7.115
1783061043517854639,update,8.232
1783061043630676720,select,6.863
1783061043640461726,update,7.624
1783061043752705396,select,6.938
1783061043763458536,update,7.763
1783061043876884580,select,8.052
1783061043888036991,update,7.958
1783061044001499259,select,8.227
1783061044012837703,update,8.190
1783061044126383788,select,8.335
1783061044137668757,update,7.540
1783061044249862347,select,7.312
1783061044260212707,update,8.539
1783061044373010764,select,7.820
1783061044384778133,update,9.170
1783061044498684076,select,7.970
1783061044510545204,update,8.224
1783061044623649535,select,8.921
1783061044636917868,update,8.148
1783061044751131086,select,7.028
1783061044761832887,update,8.125
1783061044874588097,select,7.411
1783061044884873806,update,8.393
1783061044998180494,select,7.358
1783061045008717973,update,8.793
1783061045122465913,select,7.601
1783061045134469460,update,7.778
1783061045246571848,select,7.170
1783061045257150591,update,9.119
1783061045370648536,select,7.389
1783061045381154017,update,7.883
1783061045493507698,select,6.929
1783061045503856353,update,8.578
1783061045617439058,select,9.420
1783061045629777786,update,8.366
1783061045743129670,select,6.826
1783061045753941403,update,8.274
1783061045866311556,select,9.670
1783061045878862639,update,8.333
1783061045992573719,select,8.217
1783061046004911133,update,10.320
1783061046119843611,select,7.666
1783061046131415655,update,7.756
1783061046243679031,select,6.919
1783061046253550920,update,8.358
1783061046366624216,select,8.179
1783061046377799918,update,8.551
1783061046490735108,select,8.277
1783061046503910915,update,9.058
1783061046618431727,select,8.224
1783061046629727697,update,8.593
1783061046743794895,select,7.679
1783061046754396407,update,8.820
1783061046867747815,select,7.045
1783061046877707077,update,9.015
1783061046991921817,select,8.263
1783061047003233223,update,8.955
1783061047116871983,select,7.316
1783061047127113470,update,8.573
1783061047240583498,select,7.406
1783061047251654588,update,7.987
1783061047365283566,select,7.112
1783061047376427322,update,8.241
1783061047488999900,select,7.591
1783061047499713064,update,8.167
1783061047612365373,select,8.195
1783061047623513753,update,10.915
1783061047740423665,select,7.364
1783061047751222850,update,7.225
1783061047862732009,select,8.640
1783061047874310036,update,7.907
1783061047986623686,select,7.228
1783061047997447763,update,9.742
1783061048112587671,select,7.238
1783061048123860223,update,8.264
1783061048237034591,select,9.595
1783061048250234789,update,8.501
1783061048364712801,select,7.494
1783061048375726914,update,9.486
1783061048490035582,select,7.829
1783061048501340077,update,8.229
1783061048615200496,select,7.541
1783061048626939696,update,10.608
1783061048742427688,select,7.235
1783061048752691699,update,8.075
1783061048865235351,select,8.362
1783061048878409017,update,9.285
1783061048994177212,select,9.565
1783061049006876319,update,9.933
1783061049121957731,select,9.008
1783061049135065323,update,9.571
1783061049249580298,select,8.322
1783061049261096986,update,8.404
1783061049375544974,select,8.471
1783061049387235591,update,8.890
1783061049501161104,select,7.772
1783061049512878361,update,9.513
1783061049629419699,select,8.277
1783061049640716392,update,9.914
1783061049756083327,select,7.541
1783061049766954890,update,9.831
1783061049881649387,select,7.169
1783061049892440531,update,8.820
1783061050006229027,select,8.917
1783061050018325124,update,8.220
1783061050131185572,select,8.652
1783061050143895005,update,8.319
1783061050256693979,select,8.429
1783061050268267595,update,9.468
1783061050382343282,select,7.042
1783061050392579434,update,8.150
1783061050505317302,select,7.635
1783061050518326319,update,8.687
1783061050632150246,select,8.245
1783061050643507495,update,10.039
1783061050759011439,select,9.377
1783061050771571467,update,9.907
1783061050886005425,select,8.290
1783061050898814393,update,10.090
1783061051013213438,select,7.934
1783061051024962295,update,9.454
1783061051139557177,select,8.208
1783061051151108250,update,9.436
1783061051264999903,select,8.496
1783061051277999360,update,8.678
1783061051391088490,select,9.361
1783061051403581708,update,8.316
1783061051516425959,select,7.880
1783061051527397664,update,9.327
1783061051641447518,select,7.297
1783061051652057474,update,8.504
1783061051764858560,select,8.571
1783061051777169640,update,9.218
1783061051891751093,select,8.141
1783061051903051876,update,8.585
1783061052016412599,select,8.591
1783061052027961113,update,9.828
1783061052143293087,select,7.513
1783061052153672329,update,8.935
1783061052267597423,select,7.549
1783061052278954316,update,8.059
1783061052391541353,select,7.383
1783061052402895686,update,8.790
1783061052516550141,select,7.271
1783061052527057568,update,9.233
1783061052642166065,select,8.879
1783061052654759244,update,8.112
1783061052768241006,select,7.696
1783061052780088944,update,8.331
1783061052893400816,select,8.314
1783061052904739106,update,7.932
1783061053018554396,select,7.810
1783061053029727906,update,8.544
1783061053143539322,select,7.803
