procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0   2560 920228   5796 6508816    0    0     0     1    0    0  0  0 100  0  0
 2  0   2560 887216   5796 6509212    0    0     0    65 9581 9723 18 20 63  0  0
 1  0   2560 887328   5796 6509348    0    0     0     0 9523 10866 12 21 67  0  0
 2  0   2560 882840   5796 6509388    0    0     0     0 8805 9961 11 20 69  0  0
 1  0   2560 886716   5796 6509384    0    0     0     0 7660 8179 10 16 74  0  0
 1  0   2560 886732   5796 6509400    0    0     0   216 9194 10196 11 22 67  0  0
 1  0   2560 887008   5796 6509400    0    0     0     0 9443 10629 11 22 67  0  0
 1  0   2560 862776   5796 6509432    0    0     0     4 9286 10440 13 22 64  0  0
 1  0   2560 862236   5796 6509452    0    0     0     0 9376 10591 11 23 66  0  0
 1  0   2560 862192   5796 6509452    0    0     0     0 9405 10532 11 22 67  0  0
 2  0   2560 862420   5796 6509452    0    0     0     0 9345 10450 11 22 67  0  0
 1  0   2560 862284   5796 6509452    0    0     0     0 9406 10605 11 22 67  0  0
 2  0   2560 862564   5796 6509456    0    0     0     0 9268 10338 12 22 67  0  0
 2  0   2560 862480   5796 6509476    0    0     0     0 9224 10222 11 22 67  0  0
 1  0   2560 862648   5796 6509492    0    0     0     0 8862 9357 11 22 67  0  0
 0  0   2560 861536   5796 6509492    0    0     0   157 6575 6457  8 14 78  0  0
 1  0   2560 863104   5796 6509512    0    0     0     0 9106 9939 11 22 67  0  0
 3  0   2560 861004   5796 6509512    0    0     0     0 9299 10358 11 23 67  0  0
 1  0   2560 862048   5796 6509512    0    0     0     0 9228 10274 11 22 67  0  0
 2  0   2560 862632   5796 6509512    0    0     0     0 8819 9348 11 22 67  0  0
 1  0   2560 861900   5796 6509512    0    0     0     0 8828 9326 11 23 66  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2560 862788   5796 6509512    0    0     0     0 9058 9847 11 23 67  0  0
 1  0   2560 861812   5796 6509512    0    0     0     0 9068 9982 12 22 67  0  0
 2  0   2560 862368   5796 6509512    0    0     0     0 9056 9891 11 22 67  0  0
 1  0   2560 863008   5796 6509516    0    0     0     0 8826 9480 11 23 67  0  0
 1  0   2560 887064   5796 6509516    0    0     0   276 8926 9717 17 24 59  0  0
 1  0   2560 887188   5796 6509544    0    0     0     0 9058 9932 11 22 67  0  0
 0  0   2560 886552   5796 6509544    0    0     0     0 8521 9220 10 20 69  0  0
 1  0   2560 887824   5796 6509548    0    0     0     0 6954 7195  9 15 76  0  0
 2  0   2560 887756   5796 6509572    0    0     0     0 8922 9569 11 22 67  0  0
 1  0   2560 887508   5796 6509572    0    0     0     0 8980 9826 11 22 67  0  0
 1  0   2560 887332   5796 6509572    0    0     0     0 8702 9235 11 22 67  0  0
 1  0   2560 887340   5796 6509576    0    0     0     0 9044 9861 11 23 66  0  0
 2  0   2560 887072   5796 6509576    0    0     0     0 9197 10117 10 22 67  0  0
 1  0   2560 887172   5796 6509576    0    0     0     0 8744 9227 12 22 67  0  0
 3  0   2560 887480   5796 6509576    0    0     0     0 8881 9534 11 22 67  0  0
 1  0   2560 886324   5796 6509576    0    0     0   112 9199 10194 11 23 67  0  0
 2  0   2560 886992   5796 6509580    0    0     0     0 9294 10417 11 22 67  0  0
 0  0   2560 886232   5796 6509580    0    0     0     0 7142 7405  9 15 76  0  0
 2  0   2560 886652   5796 6509588    0    0     0     0 6239 6378  7 14 79  0  0
 1  0   2560 886856   5796 6509624    0    0     0     0 9136 10103 11 22 67  0  0
