Linux 4.18.0-553.139.1.el8_10.x86_64 (g-test-poc-2) 	07/08/26 	_x86_64_	(4 CPU)

08:40:06     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:40:07     all    9.77    0.00    1.75    0.25    1.25    0.75    0.00    0.00    0.00   86.22
08:40:08     all   11.39    0.00    1.52    0.00    0.51    0.25    0.25    0.00    0.00   86.08
08:40:09     all    9.02    0.00    1.50    0.00    0.50    0.50    0.25    0.00    0.00   88.22
08:40:10     all   10.63    0.00    1.27    0.00    0.76    0.51    0.00    0.00    0.00   86.84
08:40:11     all    9.64    0.00    1.27    0.51    1.02    0.51    0.25    0.00    0.00   86.80
08:40:12     all    9.09    0.00    1.52    0.25    0.51    0.25    0.00    0.00    0.00   88.38
08:40:13     all   10.75    0.00    1.75    0.25    0.50    0.75    0.25    0.00    0.00   85.75
08:40:14     all    9.90    0.00    2.03    0.00    0.76    0.51    0.00    0.00    0.00   86.80
08:40:15     all   11.11    0.00    1.26    0.00    0.76    0.25    0.51    0.00    0.00   86.11
08:40:16     all    9.80    0.00    1.51    0.25    1.01    0.75    0.00    0.00    0.00   86.68
08:40:17     all   10.83    0.00    1.51    0.00    0.25    0.50    0.25    0.00    0.00   86.65
08:40:18     all   10.25    0.00    2.00    0.00    0.75    0.25    0.50    0.00    0.00   86.25
08:40:19     all    9.55    0.00    1.01    0.50    0.75    0.50    0.25    0.00    0.00   87.44
08:40:20     all   10.75    0.00    2.00    0.25    0.75    1.00    0.25    0.00    0.00   85.00
08:40:21     all    8.91    0.00    1.02    0.00    0.51    0.00    0.00    0.00    0.00   89.57
08:40:22     all    8.77    0.00    1.75    0.00    1.00    0.25    0.25    0.00    0.00   87.97
08:40:23     all   10.83    0.00    1.01    0.00    0.50    1.01    0.25    0.00    0.00   86.40
08:40:24     all   10.33    0.00    1.76    0.25    0.50    0.25    0.25    0.00    0.00   86.65
08:40:25     all   10.91    0.00    1.02    0.00    0.76    0.51    0.00    0.00    0.00   86.80
08:40:26     all    9.05    0.00    1.51    0.00    0.75    0.50    0.25    0.00    0.00   87.94
08:40:27     all    9.37    0.00    1.27    0.25    0.51    0.51    0.00    0.00    0.00   88.10
08:40:28     all   11.22    0.00    1.75    0.00    0.75    0.50    0.50    0.00    0.00   85.29
08:40:29     all    9.50    0.00    1.50    0.25    0.75    0.50    0.25    0.00    0.00   87.25
08:40:30     all   10.97    0.00    1.02    0.00    0.51    0.51    0.00    0.00    0.00   86.99
08:40:31     all    9.00    0.00    1.75    0.50    0.75    0.25    0.00    0.00    0.00   87.75
08:40:32     all    9.09    0.00    1.01    0.00    0.51    0.76    0.25    0.00    0.00   88.38
08:40:33     all   10.61    0.00    1.52    0.00    0.76    0.00    0.00    0.00    0.00   87.12
08:40:34     all    9.80    0.00    1.26    0.00    0.75    1.01    0.75    0.00    0.00   86.43
08:40:35     all   11.11    0.00    2.02    0.00    0.51    0.25    0.00    0.00    0.00   86.11
08:40:36     all    9.34    0.00    1.01    0.25    0.76    0.51    0.00    0.00    0.00   88.13
08:40:37     all    9.23    0.00    1.75    0.50    0.75    0.50    0.25    0.00    0.00   87.03
08:40:38     all   10.66    0.00    1.02    0.51    0.25    0.25    0.00    0.00    0.00   87.31
08:40:39     all    9.07    0.00    0.76    0.00    1.01    0.50    0.25    0.00    0.00   88.41
08:40:40     all   11.50    0.00    1.50    0.00    1.00    0.75    0.50    0.00    0.00   84.75
08:40:41     all    9.60    0.00    2.02    0.51    0.00    0.25    0.00    0.00    0.00   87.63
08:40:42     all    9.80    0.00    1.26    0.00    1.01    0.50    0.00    0.00    0.00   87.44
08:40:43     all   11.14    0.00    1.27    0.00    0.76    0.25    0.00    0.00    0.00   86.58
08:40:44     all    9.80    0.00    1.76    0.00    0.75    0.75    0.25    0.00    0.00   86.68
08:40:45     all   10.83    0.00    1.76    0.50    0.50    0.76    0.25    0.00    0.00   85.39
08:40:46     all    9.80    0.00    1.51    0.00    0.75    0.00    0.50    0.00    0.00   87.44
08:40:47     all    8.82    0.00    1.26    0.00    0.76    0.76    0.00    0.00    0.00   88.41
08:40:48     all   10.63    0.00    1.52    0.00    0.76    0.51    0.00    0.00    0.00   86.58
08:40:49     all    9.60    0.00    1.26    0.00    0.51    0.51    0.25    0.00    0.00   87.88
08:40:50     all   10.55    0.00    1.26    0.25    0.75    0.25    0.00    0.00    0.00   86.93
08:40:51     all    9.30    0.00    1.51    0.25    0.50    0.50    0.75    0.00    0.00   87.19
08:40:52     all   10.03    0.00    1.75    0.00    0.50    0.50    0.00    0.00    0.00   87.22
08:40:53     all   13.82    0.00    4.77    0.50    1.01    0.50    0.25    0.00    0.00   79.15
08:40:54     all   10.03    0.00    2.01    0.00    0.75    1.00    0.25    0.00    0.00   85.96
08:40:55     all   11.11    0.00    1.26    0.00    0.76    0.00    0.51    0.00    0.00   86.36
08:40:56     all    8.63    0.00    1.78    0.25    0.76    0.76    0.00    0.00    0.00   87.82
08:40:57     all    9.60    0.00    1.26    0.00    0.76    0.51    0.00    0.00    0.00   87.88
08:40:58     all   10.83    0.00    1.76    0.00    0.25    0.50    0.25    0.00    0.00   86.40
08:40:59     all    9.05    0.00    1.26    0.50    0.75    0.25    0.75    0.00    0.00   87.44
08:41:00     all   10.30    0.00    1.51    0.00    1.01    0.75    0.00    0.00    0.00   86.43
08:41:01     all    9.39    0.00    1.78    0.00    0.25    0.25    0.00    0.00    0.00   88.32
08:41:02     all    9.34    0.00    1.52    0.00    0.76    0.51    0.00    0.00    0.00   87.88
08:41:03     all   10.53    0.00    1.50    0.00    0.75    0.25    0.25    0.00    0.00   86.72
08:41:04     all   10.03    0.00    1.75    0.25    0.50    0.75    0.50    0.00    0.00   86.22
08:41:05     all   10.80    0.00    3.02    0.00    0.75    0.50    0.25    0.00    0.00   84.67
08:41:06     all    9.05    0.00    0.75    0.25    0.75    0.25    0.00    0.00    0.00   88.94
08:41:07     all    9.37    0.00    2.53    0.00    0.51    0.00    0.00    0.00    0.00   87.59
08:41:08     all    9.27    0.00    1.50    0.50    0.75    1.00    0.00    0.00    0.00   86.97
08:41:09     all    8.65    0.00    0.51    0.00    0.25    0.00    0.00    0.00    0.00   90.59
08:41:10     all    9.25    0.00    1.25    0.00    0.50    0.25    0.00    0.00    0.00   88.75
08:41:11     all    9.90    0.00    2.03    0.25    0.76    0.51    0.00    0.00    0.00   86.55
Average:     all   10.01    0.00    1.55    0.14    0.67    0.47    0.18    0.00    0.00   86.98
