procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 11381180   3132 2307864    0    0    33   218 1012 1507  3  2 94  0  0
 1  0      0 11383772   3132 2307996    0    0    24    48 4501 6857  2  4 93  0  0
 0  0      0 11381020   3132 2308000    0    0     0    55 4081 6009  2  2 96  0  0
 0  0      0 11381372   3132 2308000    0    0     0    48 3800 5855  1  2 96  0  0
 0  0      0 11381692   3132 2308000    0    0     0    48 3903 6102  2  2 96  0  0
 0  0      0 11382012   3132 2308000    0    0     0   113 3923 5978  2  3 95  1  0
 0  0      0 11382364   3132 2308004    0    0     0    77 4787 7187  2  2 95  0  0
 0  0      0 11382940   3132 2308004    0    0     0    32 5143 7916  3  3 94  0  0
 1  0      0 11383420   3132 2308004    0    0     0    48 4088 6050  2  3 95  0  0
 0  0      0 11383836   3132 2308004    0    0     0   284 4493 7054  2  2 95  0  0
 0  0      0 11384220   3132 2308004    0    0     0    28 4701 7111  2  2 96  0  0
 0  0      0 11384604   3132 2308004    0    0     0    68 3898 5883  2  2 95  0  0
 0  0      0 11385144   3132 2308008    0    0     0    78 3675 5608  2  2 96  0  0
 0  0      0 11385528   3132 2308008    0    0     0    28 3913 6106  2  2 96  0  0
 0  0      0 11385944   3132 2308008    0    0     0    92 4667 6768  2  3 94  0  1
 0  0      0 11386232   3132 2308008    0    0     0    48 3749 5803  2  2 96  0  0
 0  0      0 11386552   3132 2308008    0    0     0    24 4125 6407  2  2 95  0  0
 0  0      0 11383704   3132 2308008    0    0     0    48 3372 5147  2  2 96  0  0
 0  0      0 11384312   3132 2308008    0    0     0    48 5177 7492  2  3 95  0  0
 1  0      0 11384884   3132 2308008    0    0     0    54 3838 5852  2  2 95  0  0
 0  0      0 11385204   3132 2308012    0    0     0    54 3661 5707  2  2 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 11385556   3132 2308012    0    0     0    48 3776 5782  2  2 95  0  0
 0  0      0 11385844   3132 2308012    0    0     0    24 4175 6119  2  3 95  0  0
 0  0      0 11386228   3132 2308012    0    0     0    48 3971 6126  2  2 95  0  1
 0  0      0 11386580   3132 2308012    0    0     0    72 4282 6646  2  3 95  0  1
 0  0      0 11386868   3132 2308012    0    0     0    24 3989 6173  2  2 95  0  0
 0  0      0 11387348   3132 2308012    0    0     0    48 4472 6603  2  3 95  0  1
 0  0      0 11387636   3132 2308016    0    0     0    57 3727 5776  2  3 95  0  0
 0  0      0 11388148   3132 2308016    0    0     0    24 4505 6724  3  3 94  0  0
 0  0      0 11385300   3132 2308016    0    0     0    56 3667 5467  2  2 95  0  0
 0  0      0 11382772   3132 2308016    0    0     0    66 4331 6337  2  2 95  0  0
 1  0      0 11382964   3132 2308016    0    0     0    52 4057 6189  2  3 95  0  1
 0  0      0 11383188   3132 2308016    0    0     0    68 3353 5189  2  2 96  0  0
 1  0      0 11383476   3132 2308016    0    0     0    48 3645 5550  2  2 95  0  1
 0  0      0 11383932   3132 2308060    0    0     0    83 5848 7754  5  5 88  0  1
 0  0      0 11383900   3132 2308092    0    0     0   148 4841 6919  3  5 91  0  1
 0  0      0 11384252   3132 2308092    0    0     0    72 4206 6568  2  3 95  0  0
 0  0      0 11384572   3132 2308092    0    0     0    28 3958 6060  2  2 95  0  0
 0  0      0 11385180   3132 2308096    0    0     0    50 5118 7422  3  3 94  0  0
 0  0      0 11385784   3132 2308096    0    0     0   195 4202 6362  2  2 95  0  0
 0  0      0 11386168   3132 2308096    0    0     0    48 3838 5891  2  2 96  0  0
