procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 12395600   3132 1780452    0    0    33   138  568  834  2  1 97  0  0
 0  0      0 12398552   3132 1780668    0    0     0    47 2505 3578  1  2 97  0  0
 0  0      0 12398840   3132 1780668    0    0     0    48 2556 3703  1  1 98  0  0
 0  0      0 12399128   3132 1780668    0    0     0   161 2270 3505  1  1 98  0  0
 0  0      0 12399288   3132 1780672    0    0     0    54 2213 3441  1  1 98  0  0
 0  0      0 12399576   3132 1780672    0    0     0   126 2593 4073  1  2 98  0  0
 0  0      0 12399832   3132 1780672    0    0     0    68 2735 3965  1  1 98  0  0
 0  0      0 12400152   3132 1780672    0    0     0    48 2234 3425  1  1 98  0  0
 0  0      0 12400444   3132 1780676    0    0     0    33 2761 4118  1  2 97  0  0
 0  0      0 12397972   3132 1780676    0    0     0    68 2423 3762  1  1 98  0  0
 0  0      0 12398196   3132 1780676    0    0     0    48 2636 3840  1  1 98  0  0
 0  0      0 12398420   3132 1780676    0    0     0    48 2153 3298  1  1 98  0  0
 0  0      0 12398548   3132 1780676    0    0     0    72 2099 3308  1  1 99  0  0
 0  0      0 12398772   3132 1780676    0    0     0    52 2166 3411  1  1 98  0  0
 0  0      0 12399124   3132 1780676    0    0     0    68 2967 4314  1  1 97  0  0
 0  0      0 12399316   3132 1780680    0    0     0    54 1943 3141  1  1 99  0  0
 0  0      0 12399540   3132 1780680    0    0     0    24 2182 3366  1  1 98  0  0
 1  0      0 12399732   3132 1780680    0    0     0    48 2066 3186  1  1 98  0  0
 0  0      0 12400116   3132 1780680    0    0     0    52 3553 4954  1  2 97  0  0
 0  0      0 12400372   3132 1780680    0    0     0    74 2361 3686  1  1 98  0  0
 0  0      0 12400660   3132 1780680    0    0     0    24 2012 3136  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12400852   3132 1780680    0    0     0    48 2115 3310  1  1 98  0  0
 0  0      0 12401140   3132 1780684    0    0     0    33 2543 3623  1  1 98  0  0
 0  0      0 12401332   3132 1780684    0    0     0    48 2076 3314  1  1 98  0  0
 0  0      0 12401428   3132 1780684    0    0     0    68 2365 3760  1  1 98  0  0
 0  0      0 12401780   3132 1780684    0    0     0    48 2297 3638  1  1 98  0  0
 0  0      0 12402004   3132 1780684    0    0     0    24 2720 3864  1  2 98  0  0
 0  0      0 12402260   3132 1780684    0    0     0    48 1955 2999  1  1 98  0  0
 0  0      0 12402548   3132 1780684    0    0     0    52 2988 4365  1  2 97  0  0
 1  0      0 12399828   3132 1780684    0    0     0    44 2267 3414  1  2 98  0  0
 0  0      0 12399988   3132 1780688    0    0     0    54 2565 3714  1  2 97  0  0
 0  0      0 12400372   3132 1780688    0    0     0    32 2141 3271  1  1 98  0  0
