Linux 4.18.0-553.139.1.el8_10.x86_64 (g-test-poc-2) 	07/08/26 	_x86_64_	(4 CPU)

13:51:17     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:51:18     all    3.02    0.00    2.26    1.26    1.01    0.00    0.00    0.00    0.00   92.46
13:51:19     all    1.76    0.00    0.76    0.25    0.25    0.00    0.00    0.00    0.00   96.98
13:51:20     all    2.01    0.00    1.51    0.25    0.00    0.25    0.25    0.00    0.00   95.73
13:51:21     all    1.49    0.00    0.50    1.00    1.00    0.25    0.00    0.00    0.00   95.77
13:51:22     all    1.52    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.47
13:51:23     all    1.76    0.00    1.01    0.50    0.25    0.25    0.00    0.00    0.00   96.22
13:51:24     all    1.50    0.00    0.75    0.25    0.75    0.25    0.00    0.00    0.00   96.49
13:51:25     all    2.26    0.00    0.75    0.75    0.25    0.00    0.25    0.00    0.00   95.73
13:51:26     all    2.02    0.00    1.26    1.01    0.25    0.25    0.00    0.00    0.00   95.20
13:51:27     all    2.74    0.00    1.50    0.50    0.50    0.50    0.00    0.00    0.00   94.26
13:51:28     all    1.78    0.00    1.02    0.00    0.25    0.00    0.00    0.00    0.00   96.95
13:51:29     all    1.26    0.00    0.75    0.50    0.50    0.00    0.00    0.00    0.00   96.98
13:51:30     all    1.77    0.00    1.26    0.76    0.25    0.00    0.00    0.00    0.00   95.96
13:51:31     all    1.26    0.00    1.01    0.25    0.50    0.25    0.00    0.00    0.00   96.73
13:51:32     all    1.50    0.00    1.00    0.00    0.25    0.50    0.00    0.00    0.00   96.74
13:51:33     all    2.26    0.00    0.75    0.75    0.50    0.00    0.25    0.00    0.00   95.48
13:51:34     all    4.01    0.00    4.26    0.50    0.50    0.50    0.25    0.00    0.00   89.97
13:51:35     all    2.51    0.00    1.01    0.75    0.75    0.00    0.00    0.00    0.00   94.97
13:51:36     all    2.51    0.00    1.26    1.01    0.25    0.25    0.00    0.00    0.00   94.72
13:51:37     all    3.54    0.00    2.03    0.51    0.25    0.51    0.25    0.00    0.00   92.91
13:51:38     all    2.02    0.00    1.01    0.50    0.50    0.00    0.00    0.00    0.00   95.97
13:51:39     all    1.27    0.00    1.27    0.00    0.25    0.00    0.00    0.00    0.00   97.22
13:51:40     all    1.99    0.00    1.49    0.99    0.74    0.25    0.00    0.00    0.00   94.54
13:51:41     all    1.51    0.00    0.50    0.25    0.25    0.50    0.00    0.00    0.00   96.98
13:51:42     all    1.02    0.00    1.02    0.25    0.25    0.00    0.00    0.00    0.00   97.46
13:51:43     all    2.01    0.00    1.00    0.75    0.50    0.25    0.25    0.00    0.00   95.24
13:51:44     all    1.01    0.00    1.26    0.00    0.25    0.00    0.00    0.00    0.00   97.47
13:51:45     all    1.76    0.00    1.26    0.75    0.25    0.25    0.00    0.00    0.00   95.73
13:51:46     all    3.02    0.00    0.76    0.76    0.50    0.00    0.00    0.00    0.00   94.96
13:51:47     all    2.75    0.00    1.25    0.50    0.25    0.25    0.00    0.00    0.00   95.00
13:51:48     all    2.49    0.00    1.25    0.50    0.75    0.25    0.00    0.00    0.00   94.76
13:51:49     all    1.51    0.00    1.01    0.00    0.25    0.25    0.00    0.00    0.00   96.98
13:51:50     all    2.48    0.00    1.49    0.99    0.25    0.25    0.25    0.00    0.00   94.29
13:51:51     all    1.27    0.00    1.01    0.25    0.25    0.00    0.25    0.00    0.00   96.96
13:51:52     all    1.50    0.00    0.75    0.00    0.50    0.50    0.25    0.00    0.00   96.50
13:51:53     all    2.01    0.00    1.26    0.75    0.50    0.00    0.00    0.00    0.00   95.48
13:51:54     all    1.76    0.00    1.26    0.00    0.50    0.00    0.00    0.00    0.00   96.47
13:51:55     all    2.01    0.00    1.01    0.75    0.50    0.25    0.00    0.00    0.00   95.48
13:51:56     all    2.77    0.00    1.51    1.01    0.00    0.00    0.00    0.00    0.00   94.71
13:51:57     all    2.77    0.00    1.01    0.00    1.01    0.50    0.25    0.00    0.00   94.46
13:51:58     all    2.26    0.00    1.25    0.75    0.00    0.50    0.00    0.00    0.00   95.24
13:51:59     all   28.02    0.00    3.08    2.57    1.29    0.00    0.26    0.00    0.00   64.78
13:52:00     all    8.67    0.00    2.04    2.30    0.77    0.00    0.00    0.00    0.00   86.22
13:52:01     all    1.49    0.00    1.24    0.74    0.74    0.50    0.25    0.00    0.00   95.04
13:52:02     all    1.01    0.00    1.27    0.00    0.25    0.00    0.00    0.00    0.00   97.47
13:52:03     all    2.52    0.00    0.76    0.50    0.25    0.25    0.00    0.00    0.00   95.72
13:52:04     all    1.26    0.00    1.01    0.25    0.75    0.00    0.25    0.00    0.00   96.48
13:52:05     all    2.54    0.00    0.76    0.76    0.25    0.25    0.00    0.00    0.00   95.43
13:52:06     all    2.75    0.00    1.25    1.00    0.50    0.50    0.00    0.00    0.00   94.00
13:52:07     all    3.53    0.00    1.26    0.76    0.50    0.25    0.00    0.00    0.00   93.70
13:52:08     all    2.26    0.00    0.75    0.50    0.50    0.00    0.00    0.00    0.00   95.98
13:52:09     all    1.51    0.00    1.26    0.25    0.25    0.25    0.00    0.00    0.00   96.47
13:52:10     all    2.02    0.00    1.01    0.51    0.25    0.25    0.25    0.00    0.00   95.71
13:52:11     all    1.00    0.00    1.00    0.50    0.50    0.25    0.00    0.00    0.00   96.74
13:52:12     all    1.51    0.00    1.26    0.25    0.50    0.00    0.00    0.00    0.00   96.47
13:52:13     all    1.77    0.00    1.01    0.51    0.25    0.00    0.00    0.00    0.00   96.46
13:52:14     all    1.26    0.00    1.01    0.25    0.25    0.25    0.00    0.00    0.00   96.98
13:52:15     all    2.24    0.00    1.00    0.75    0.50    0.50    0.25    0.00    0.00   94.76
13:52:16     all    2.51    0.00    1.51    0.75    0.50    0.25    0.00    0.00    0.00   94.47
13:52:17     all    2.78    0.00    0.51    0.25    0.51    0.00    0.00    0.00    0.00   95.95
13:52:18     all    5.30    0.00    3.54    2.53    0.51    0.25    0.00    0.00    0.00   87.88
13:52:19     all    2.54    0.00    1.27    2.03    0.76    0.76    0.00    0.00    0.00   92.64
13:52:20     all    3.27    0.00    2.02    2.52    0.76    0.25    0.00    0.00    0.00   91.18
13:52:21     all    2.55    0.00    1.53    2.30    0.26    0.51    0.26    0.00    0.00   92.60
13:52:22     all    3.52    0.00    1.51    1.76    0.75    0.50    0.00    0.00    0.00   91.96
Average:     all    2.63    0.00    1.26    0.69    0.45    0.21    0.06    0.00    0.00   94.70
