Linux 4.18.0-425.3.1.el8.x86_64 (l-dbm-labroom-1) 	西元2026年07月08日 	_x86_64_	(4 CPU)

21時51分17秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21時51分18秒  all   35.37    0.00   18.07    0.00    0.51    0.25    0.00    0.00    0.00   45.80
21時51分19秒  all   32.49    0.00   21.83    0.00    0.51    0.76    0.00    0.00    0.00   44.42
21時51分20秒  all   34.09    0.00   22.22    0.00    1.01    0.25    0.00    0.00    0.00   42.42
21時51分21秒  all   31.06    0.00   13.89    0.00    0.00    0.51    0.00    0.00    0.00   54.55
21時51分22秒  all   30.58    0.00   21.05    0.00    1.00    0.25    0.00    0.00    0.00   47.12
21時51分23秒  all   29.37    0.00   21.01    0.00    0.51    0.76    0.00    0.00    0.00   48.35
21時51分24秒  all   30.20    0.00   13.96    0.00    0.51    0.25    0.00    0.00    0.00   55.08
21時51分25秒  all   29.72    0.00   22.42    0.00    0.76    0.50    0.00    0.00    0.00   46.60
21時51分26秒  all   29.72    0.00   22.42    0.00    0.50    0.25    0.00    0.00    0.00   47.10
21時51分27秒  all   31.23    0.00   19.14    0.00    0.76    0.25    0.00    0.00    0.00   48.61
21時51分28秒  all   28.86    0.00   15.19    0.00    0.51    0.76    0.00    0.00    0.00   54.68
21時51分29秒  all   29.44    0.00   21.83    0.00    0.51    0.51    0.00    0.00    0.00   47.72
21時51分30秒  all   29.55    0.00   21.97    0.00    0.76    0.25    0.00    0.00    0.00   47.47
21時51分31秒  all   27.09    0.00    9.37    0.00    0.51    0.00    0.00    0.00    0.00   63.04
21時51分32秒  all   30.53    0.00   20.10    0.00    0.76    0.76    0.00    0.00    0.00   47.84
21時51分33秒  all   28.75    0.00   21.63    0.00    0.51    0.00    0.00    0.00    0.00   49.11
21時51分34秒  all   29.32    0.00   12.03    0.00    0.50    0.50    0.00    0.00    0.00   57.64
21時51分35秒  all   27.20    0.00   14.61    0.00    0.76    0.25    0.00    0.00    0.00   57.18
21時51分36秒  all   28.86    0.00   22.78    0.00    0.25    0.25    0.00    0.00    0.00   47.85
21時51分37秒  all   31.98    0.00   20.56    0.00    0.76    0.51    0.00    0.00    0.00   46.19
21時51分38秒  all   25.37    0.00    5.97    0.00    0.50    0.25    0.00    0.00    0.00   67.91
21時51分39秒  all   29.34    0.00   22.19    0.00    0.51    0.00    0.00    0.00    0.00   47.96
21時51分40秒  all   28.82    0.00   22.06    0.00    0.75    0.75    0.00    0.00    0.00   47.62
21時51分41秒  all   30.90    0.00   16.83    0.00    0.50    0.25    0.00    0.00    0.00   51.51
21時51分42秒  all   24.87    0.00   10.55    0.00    0.50    0.25    0.00    0.00    0.00   63.82
21時51分43秒  all   23.37    0.00    6.53    0.00    0.25    0.25    0.00    0.00    0.00   69.60
21時51分44秒  all   25.63    0.00   13.20    0.00    0.76    0.51    0.00    0.00    0.00   59.90
21時51分45秒  all   24.75    0.00    6.75    0.00    1.00    1.25    0.00    0.00    0.00   66.25
21時51分46秒  all   19.50    0.00    6.00    0.00    0.75    0.75    0.00    0.00    0.00   73.00
21時51分47秒  all   25.06    0.00    5.63    0.00    0.26    0.77    0.00    0.00    0.00   68.29
21時51分48秒  all   20.20    0.00    6.23    0.00    1.00    1.00    0.00    0.00    0.00   71.57
21時51分49秒  all   20.91    0.00    6.05    0.00    1.01    0.76    0.00    0.00    0.00   71.28
21時51分50秒  all   23.54    0.00    5.82    0.00    0.51    1.01    0.00    0.00    0.00   69.11
21時51分51秒  all   20.30    0.00    5.33    0.00    0.76    0.76    0.00    0.00    0.00   72.84
21時51分52秒  all   24.31    0.00    6.27    0.00    0.50    1.00    0.00    0.00    0.00   67.92
21時51分53秒  all   21.75    0.00    6.25    0.00    1.00    0.75    0.00    0.00    0.00   70.25
21時51分54秒  all   21.17    0.00    5.10    0.00    0.51    0.77    0.00    0.00    0.00   72.45
21時51分55秒  all   25.56    0.00    7.27    0.00    0.75    1.00    0.00    0.00    0.00   65.41
21時51分56秒  all   21.52    0.00    5.57    0.00    1.01    1.01    0.00    0.00    0.00   70.89
21時51分57秒  all   21.72    0.00    5.81    0.00    0.51    1.01    0.00    0.00    0.00   70.96
21時51分58秒  all   24.24    0.00    5.56    0.00    1.01    1.01    0.00    0.00    0.00   68.18
21時51分59秒  all   20.85    0.00    5.28    0.00    0.50    1.01    0.00    0.00    0.00   72.36
21時52分00秒  all   24.37    0.00    5.84    0.00    0.76    0.76    0.00    0.00    0.00   68.27
21時52分01秒  all   24.06    0.00    6.27    0.00    0.75    1.00    0.00    0.00    0.00   67.92
21時52分02秒  all   21.16    0.00    6.05    0.00    1.01    0.76    0.00    0.00    0.00   71.03
21時52分03秒  all   25.57    0.00    5.82    0.00    0.51    0.76    0.00    0.00    0.00   67.34
21時52分04秒  all   20.15    0.00    5.04    0.00    0.50    0.76    0.00    0.00    0.00   73.55
21時52分05秒  all   20.40    0.00    5.79    0.00    1.01    1.01    0.00    0.00    0.00   71.79
21時52分06秒  all   24.19    0.00    6.23    0.00    1.00    1.00    0.00    0.00    0.00   67.58
21時52分07秒  all   22.45    0.00    5.61    0.00    0.26    0.77    0.00    0.00    0.00   70.92
21時52分08秒  all   21.66    0.00    6.30    0.00    0.76    0.76    0.00    0.00    0.00   70.53
21時52分09秒  all   23.68    0.00    5.79    0.00    1.01    1.01    0.00    0.00    0.00   68.51
21時52分10秒  all   20.80    0.00    6.02    0.00    0.75    1.00    0.00    0.00    0.00   71.43
21時52分11秒  all   23.54    0.00    6.58    0.00    0.25    1.01    0.00    0.00    0.00   68.61
21時52分12秒  all   22.03    0.00    5.32    0.00    1.01    0.76    0.00    0.00    0.00   70.89
21時52分13秒  all   20.20    0.00    5.56    0.00    0.76    0.76    0.00    0.00    0.00   72.73
21時52分14秒  all   25.57    0.00    6.84    0.00    0.76    0.51    0.00    0.00    0.00   66.33
21時52分15秒  all   21.63    0.00    5.34    0.00    0.51    1.27    0.00    0.00    0.00   71.25
21時52分16秒  all   21.21    0.00    5.30    0.00    1.01    0.76    0.00    0.00    0.00   71.72
21時52分17秒  all   25.94    0.00    6.30    0.00    0.76    1.01    0.00    0.00    0.00   65.99
21時52分18秒  all    3.02    0.00    2.02    0.00    0.50    1.01    0.00    0.00    0.00   93.45
21時52分19秒  all    4.03    0.00    2.52    0.00    0.25    0.76    0.00    0.00    0.00   92.44
21時52分20秒  all    3.75    0.00    2.25    0.00    0.50    0.75    0.00    0.00    0.00   92.75
21時52分21秒  all    1.51    0.00    1.26    0.00    0.50    0.75    0.00    0.00    0.00   95.98
21時52分22秒  all    0.76    0.00    1.27    0.00    0.51    1.01    0.00    0.00    0.00   96.46
平均時間：  all   23.85    0.00   10.41    0.00    0.65    0.68    0.00    0.00    0.00   64.41
